Node Number	LOC_DEFX ()
1	7,8044e-002
2	-0,34252
3	-0,89681
4	-1,7
5	-2,0827
6	-1,9264
7	-1,2796
8	-0,34252
9	-0,34252
10	-0,34252
11	-0,34252
12	0,90194
13	-6,1109e-002
14	-1,0341
15	-1,9827
16	-2,8735
17	-3,6751
18	-4,3593
19	-4,9019
20	-5,2839
21	-5,4918
22	-5,5182
23	-5,3623
24	-5,0294
25	-4,5314
26	-3,8858
27	-3,1154
28	-2,2472
29	-1,312
30	0,28402
31	0,48999
32	0,69597
33	-0,34252
34	-0,34252
35	-0,34252
36	-0,34252
37	-0,34252
38	-0,34252
39	-0,34252
40	-0,34252
41	-0,34252
42	-0,34252
43	-0,34252
44	-0,34252
45	-0,34252
46	-0,34252
47	-0,34252
48	-0,34252
49	-0,34252
50	-0,34252
51	-0,34252
52	-0,34252
53	0,90194
54	0,90194
55	0,90194
56	0,90194
57	0,90194
58	0,90194
59	7,8044e-002
60	0,8104
61	0,71886
62	0,62731
63	0,53577
64	0,44422
65	0,35268
66	0,26113
67	0,16959
68	7,8045e-002
69	7,8044e-002
70	7,8044e-002
71	7,8044e-002
72	7,8044e-002
73	-0,74106
74	-1,1372
75	-1,5287
76	-1,9132
77	-2,2884
78	-2,6521
79	-3,0021
80	-3,3364
81	-3,653
82	-3,9501
83	-4,2258
84	-4,4785
85	-4,7069
86	-4,9094
87	-5,0849
88	-5,2323
89	-5,3509
90	-5,4399
91	-5,4987
92	-5,527
93	-5,5247
94	-5,4918
95	-5,4284
96	-5,335
97	-5,212
98	-5,0603
99	-4,8806
100	-4,6742
101	-4,4421
102	-4,1858
103	-3,9068
104	-3,6067
105	-3,2873
106	-2,9505
107	-2,5983
108	-2,2327
109	-1,856
110	-1,4703
111	-1,078
112	-0,68129
113	-0,2826
114	0,11574
115	0,51136
116	-0,31328
117	-0,70609
118	-1,0805
119	-1,4175
120	-1,7
121	-1,9137
122	-2,0478
123	-2,0955
124	-2,0543
125	-1,9264
126	-1,7183
127	-1,4404
128	-1,1069
129	-0,73464
130	-1,2861
131	4,831e-002
132	-3,6449e-002
133	-0,16753
134	-0,33731
135	-0,53972
136	-0,76929
137	-1,0203
138	-1,0293
139	-0,76339
140	-0,49142
141	-0,21773
142	5,1587e-002
143	0,30811
144	0,5397
145	0,72949
146	0,85674
147	-2,0597
148	-2,3855
149	-2,6858
150	-2,9568
151	-3,1951
152	-3,3978
153	-3,5624
154	-3,6867
155	-3,7692
156	-3,8089
157	-3,8053
158	-3,7584
159	-3,6689
160	-3,5378
161	-3,3667
162	-3,1579
163	-2,9139
164	-2,6378
165	-2,333
166	-2,0033
167	-1,6529
168	-0,38305
169	-0,49711
170	-0,67
171	-0,88916
172	-1,1453
173	-1,4307
174	-1,7381
175	-1,8713
176	-1,6713
177	-1,4622
178	-1,2481
179	-1,0343
180	-0,82802
181	-0,63993
182	-0,48457
183	-0,37983
184	0,40963
185	-0,7791
186	0,24068
187	-0,85201
188	0,14009
189	-0,11474
190	-1,2353
191	-0,38124
192	-1,4494
193	-0,56301
194	-1,6644
195	-0,8793
196	-1,8713
197	-1,1378
198	-2,0614
199	-1,3675
200	-2,2343
201	-2,3984
202	-2,7237
203	-3,049
204	-3,3261
205	-3,5762
206	-3,7816
207	-3,9351
208	-4,0682
209	-4,1354
210	-4,1553
211	-4,1275
212	-4,0524
213	-3,931
214	-3,7647
215	-3,5468
216	-3,3067
217	-3,0228
218	-2,6986
219	-2,3516
220	-1,9419
221	-1,5931
222	-1,0448
223	-1,3667
224	-1,7487
225	-2,1272
226	-2,4844
227	-2,836
228	-3,1799
229	-3,7921
230	-4,0731
231	-4,335
232	-4,5732
233	-4,7863
234	-4,9731
235	-5,1326
236	-5,2638
237	-5,3658
238	-5,4382
239	-5,4804
240	-5,4923
241	-5,4737
242	-5,4248
243	-5,3458
244	-5,2373
245	-5,0998
246	-4,9342
247	-4,7429
248	-4,5246
249	-4,2796
250	-4,0126
251	-3,7241
252	-3,4157
253	-3,0891
254	-2,7463
255	-2,3907
256	-2,0262
257	-1,6481
258	-1,2484
259	-0,84656
260	-0,43771
261	-2,4874e-002
262	-3,4984
263	-1,139
264	-0,20273
265	-0,60849
266	-1,6131
267	-0,78484
268	-1,8586
269	-2,0671
270	-1,268
271	-2,2653
272	-1,5026
273	-2,4333
274	-1,7285
275	-2,5811
276	-3,1289
277	-3,4045
278	-3,6886
279	-3,9911
280	-4,1596
281	-4,2987
282	-4,3981
283	-4,4645
284	-4,4602
285	-4,4045
286	-4,298
287	-4,1421
288	-3,9416
289	-3,7227
290	-3,4522
291	-3,1041
292	-2,7434
293	-2,3752
294	-1,5282
295	-1,9652
296	-2,2905
297	-2,6074
298	-3,0023
299	-3,3164
300	-3,8821
301	-3,6043
302	-4,15
303	-4,3802
304	-4,5992
305	-4,7984
306	-4,9654
307	-5,103
308	-5,2221
309	-5,2994
310	-5,3599
311	-5,3787
312	-5,3736
313	-5,3437
314	-5,275
315	-5,1843
316	-5,0556
317	-4,9083
318	-4,7331
319	-4,5376
320	-4,3027
321	-4,054
322	-3,7789
323	-3,4857
324	-3,1739
325	-2,8328
326	-2,502
327	-2,1582
328	-1,7881
329	-1,3884
330	-0,99421
331	-0,61939
332	-1,2016
333	-2,8843
334	-2,1194
335	-1,0967
336	-2,2166
337	-2,4479
338	-1,6428
339	-2,6345
340	-1,8819
341	-2,7915
342	-3,17
343	-3,4438
344	-4,023
345	-4,3541
346	-4,5046
347	-4,6331
348	-4,726
349	-4,7489
350	-4,7168
351	-4,6301
352	-4,4897
353	-4,3161
354	-4,1144
355	-3,1439
356	-2,8164
357	-2,5183
358	-2,8202
359	-3,1581
360	-3,4023
361	-3,9338
362	-3,6335
363	-4,1796
364	-4,358
365	-4,5662
366	-4,7484
367	-4,9063
368	-5,0539
369	-5,1105
370	-5,173
371	-5,2428
372	-5,2173
373	-5,1855
374	-5,1841
375	-5,0762
376	-4,9455
377	-4,7858
378	-4,7001
379	-4,5048
380	-4,2771
381	-4,0237
382	-3,813
383	-3,535
384	-3,2022
385	-2,8642
386	-2,5375
387	-2,239
388	-1,8971
389	-1,5091
390	-3,7249
391	-4,2449
392	-3,867
393	-3,5375
394	-2,2763
395	-2,9912
396	-3,4653
397	-3,72
398	-4,0092
399	-4,2971
400	-4,4908
401	-4,648
402	-4,8407
403	-4,9367
404	-5,0071
405	-4,9907
406	-4,9449
407	-4,8023
408	-4,642
409	-4,4889
410	-4,2244
411	-3,9414
412	-3,6178
413	-3,2089
414	-2,8634
415	-2,6182
416	-3,3137
417	-1,9917
418	-0,30778
419	-0,87728
420	-0,3435
421	-0,94413
422	-0,56151
423	-1,021
424	-0,76028
425	-1,2617
426	-0,97286
427	-1,5278
428	-1,2102
429	-1,7358
430	-2,34
431	-2,6164
432	-2,8558
433	-2,9364
434	-3,1723
435	-3,3679
436	-3,3799
437	-3,4212
438	-3,5349
439	-3,4354
440	-3,3275
441	-3,3245
442	-3,1094
443	-2,8988
444	-2,7886
445	-2,4665
446	-2,1925
447	-1,892
448	-1,5512
449	-0,5802
450	-0,95373
451	-1,3454
452	-1,6361
453	-1,8669
454	-2,0289
455	-2,115
456	-2,115
457	-2,0282
458	-1,8496
459	-1,547
460	-1,2446
461	-2,0292
462	-0,62091
463	-1,2477
464	-1,3277
465	-0,96501
466	-1,1905
467	-1,618
468	-1,3956
469	-1,9644
470	-2,3679
471	-2,6065
472	-2,8132
473	-3,0517
474	-3,0412
475	-3,2157
476	-3,008
477	-2,9924
478	-2,5689
479	-2,52
480	-2,064
481	-1,783
482	-1,5648
483	-1,262
484	-1,6248
485	-1,8726
486	-2,049
487	-2,1758
488	-2,2178
489	-2,1718
490	-2,0507
491	-1,8156
492	-2,5518
493	-2,2384
494	-1,5255
495	-1,4223
496	-1,6987
