Node Number	LOC_DEFY (mm)
1	6,1198
2	9,5747
3	6,1585
4	6,7124
5	7,6098
6	8,5728
7	9,3032
8	13,009
9	10,433
10	11,292
11	12,15
12	2,7858
13	2,642
14	2,6807
15	2,9005
16	3,2937
17	3,8465
18	4,5393
19	5,3478
20	6,2435
21	7,1948
22	8,1682
23	9,1294
24	10,044
25	10,881
26	11,61
27	12,206
28	12,647
29	12,918
30	5,2863
31	4,4528
32	3,6193
33	9,5747
34	9,5747
35	9,5747
36	9,5747
37	9,5747
38	9,5747
39	13,009
40	9,9563
41	10,338
42	10,719
43	11,101
44	11,483
45	11,864
46	12,246
47	12,627
48	13,009
49	13,009
50	13,009
51	13,009
52	13,009
53	2,7858
54	2,7858
55	2,7858
56	2,7858
57	2,7858
58	2,7858
59	6,1198
60	3,1563
61	3,5267
62	3,8972
63	4,2676
64	4,638
65	5,0085
66	5,3789
67	5,7494
68	6,1198
69	6,1198
70	6,1198
71	6,1198
72	6,1198
73	12,994
74	12,948
75	12,871
76	12,765
77	12,63
78	12,466
79	12,275
80	12,058
81	11,815
82	11,549
83	11,261
84	10,952
85	10,625
86	10,282
87	9,9236
88	9,553
89	9,1722
90	8,7834
91	8,3889
92	7,9911
93	7,5923
94	7,1948
95	6,801
96	6,4133
97	6,0339
98	5,6651
99	5,309
100	4,9677
101	4,6434
102	4,3378
103	4,0528
104	3,7901
105	3,5512
106	3,3376
107	3,1505
108	2,991
109	2,86
110	2,7584
111	2,6867
112	2,6454
113	2,6347
114	2,6546
115	2,7051
116	6,0689
117	6,1067
118	6,2315
119	6,4369
120	6,7124
121	7,0441
122	7,4153
123	7,807
124	8,1995
125	8,5728
126	8,9081
127	9,1883
128	9,3993
129	9,5303
130	4,4822
131	6,0712
132	5,9387
133	5,7485
134	5,522
135	5,2735
136	5,0126
137	4,7468
138	4,2283
139	3,9861
140	3,7568
141	3,5419
142	3,3434
143	3,1651
144	3,012
145	2,8916
146	2,8132
147	10,837
148	10,627
149	10,381
150	10,104
151	9,7977
152	9,4669
153	9,1157
154	8,7482
155	8,3692
156	7,9834
157	7,5955
158	7,2104
159	6,833
160	6,468
161	6,1198
162	5,7929
163	5,4914
164	5,219
165	4,9791
166	4,7747
167	4,6084
168	9,6147
169	9,723
170	9,8762
171	10,055
172	10,248
173	10,446
174	10,644
175	11,145
176	11,444
177	11,732
178	12,006
179	12,264
180	12,498
181	12,702
182	12,865
183	12,971
184	2,7262
185	12,926
186	2,8023
187	12,771
188	2,9465
189	3,0586
190	12,579
191	3,2507
192	12,307
193	3,4507
194	12,047
195	3,5789
196	11,77
197	3,8629
198	11,478
199	4,0839
200	11,204
201	10,934
202	10,821
203	10,488
204	10,168
205	9,8156
206	9,4337
207	9,0355
208	8,6328
209	8,2119
210	7,7862
211	7,3609
212	6,9414
213	6,5328
214	6,1404
215	5,7834
216	5,4463
217	5,1326
218	4,8515
219	4,581
220	4,3269
221	4,3007
222	12,935
223	12,872
224	12,772
225	12,649
226	12,502
227	12,321
228	12,117
229	11,647
230	11,373
231	11,075
232	10,758
233	10,424
234	10,075
235	9,7129
236	9,3393
237	8,9567
238	8,5674
239	8,1737
240	7,7779
241	7,3824
242	6,9894
243	6,6014
244	6,2206
245	5,8493
246	5,4896
247	5,1454
248	4,8156
249	4,5017
250	4,2088
251	3,9375
252	3,6892
253	3,4653
254	3,2671
255	3,0964
256	2,9546
257	2,8407
258	2,7553
259	2,6986
260	2,6782
261	2,6847
262	11,892
263	12,829
264	2,8118
265	2,977
266	12,514
267	3,2452
268	12,311
269	12,062
270	3,5875
271	11,78
272	3,7755
273	11,476
274	4,0169
275	11,169
276	10,865
277	10,571
278	10,213
279	9,8098
280	9,3506
281	8,9189
282	8,4719
283	8,014
284	7,5527
285	7,0948
286	6,6461
287	6,2119
288	5,8339
289	5,4739
290	5,1315
291	4,7932
292	4,4874
293	4,1896
294	12,713
295	12,555
296	12,483
297	12,282
298	12,086
299	11,896
300	11,409
301	11,672
302	11,13
303	10,835
304	10,516
305	10,172
306	9,8167
307	9,4704
308	9,1041
309	8,7216
310	8,3336
311	7,9516
312	7,5647
313	7,1758
314	6,7965
315	6,4272
316	6,0502
317	5,6884
318	5,3511
319	5,0275
320	4,7076
321	4,4077
322	4,1376
323	3,8845
324	3,6546
325	3,4406
326	3,2701
327	3,1218
328	3,0011
329	2,9055
330	2,844
331	2,7754
332	3,3195
333	11,116
334	3,9494
335	3,0476
336	12,315
337	12,047
338	3,445
339	11,736
340	3,6977
341	11,433
342	11,258
343	10,95
344	10,248
345	9,6499
346	9,2325
347	8,7716
348	8,2727
349	7,7807
350	7,2892
351	6,8043
352	6,3321
353	5,9323
354	5,5454
355	4,4382
356	4,1637
357	3,9062
358	11,95
359	11,792
360	11,674
361	11,102
362	11,392
363	10,881
364	10,588
365	10,234
366	9,8667
367	9,5188
368	9,2222
369	8,8746
370	8,4564
371	8,1173
372	7,7738
373	7,3476
374	7,0005
375	6,6676
376	6,2718
377	5,9011
378	5,5634
379	5,2831
380	4,9557
381	4,6366
382	4,3489
383	4,1324
384	3,8764
385	3,6565
386	3,4777
387	3,3422
388	3,2258
389	3,1305
390	10,641
391	9,9811
392	5,1797
393	4,8084
394	3,626
395	11,627
396	11,236
397	11,02
398	10,703
399	10,291
400	9,9372
401	9,5569
402	9,1168
403	8,5962
404	8,08
405	7,5492
406	7,0311
407	6,5239
408	6,0818
409	5,64
410	5,2435
411	4,8724
412	4,4671
413	4,1446
414	3,8859
415	3,6992
416	11,51
417	3,455
418	6,0079
419	9,5405
420	5,9029
421	9,673
422	5,8126
423	9,8256
424	5,6204
425	9,9153
426	5,387
427	10,071
428	5,1638
429	10,264
430	10,128
431	9,9317
432	9,7502
433	9,3886
434	9,0632
435	8,8045
436	8,4564
437	8,0585
438	7,7598
439	7,4344
440	7,0316
441	6,7191
442	6,4461
443	6,1007
444	5,8124
445	5,653
446	5,3741
447	5,1834
448	4,9708
449	6,0599
450	6,1315
451	6,3345
452	6,5859
453	6,8943
454	7,2424
455	7,626
456	8,0239
457	8,414
458	8,7936
459	9,1679
460	9,3527
461	10,302
462	5,9788
463	9,4497
464	9,6156
465	5,9379
466	5,7338
467	9,7198
468	5,4983
469	9,8745
470	9,7903
471	9,5875
472	8,9048
473	8,6433
474	8,1348
475	7,7268
476	7,2877
477	6,8117
478	6,4414
479	6,025
480	5,6918
481	5,4907
482	5,2648
483	6,1719
484	6,3956
485	6,73
486	7,0532
487	7,4276
488	7,8437
489	8,2535
490	8,6432
491	9,0679
492	9,212
493	5,9193
494	9,3416
495	6,0585
496	9,4021
497	5,8582
498	9,4707
499	9,5094
500	8,4255
501	8,7778
502	7,6927
503	6,9394
504	6,2001
505	6,5857
506	6,8614
507	7,1607
508	7,6396
509	8,0914
510	8,5063
511	8,8931
512	7,948
513	7,3644
514	6,492
515	6,7303
516	6,2364
517	9,1976
518	9,1732
519	8,36
520	6,9899
521	6,0024
522	6,7797
523	11,147
524	11,037
525	10,68
526	10,792
527	10,758
528	12,373
529	12,311
530	11,988
531	11,856
532	11,613
533	11,354
534	10,982
535	10,016
536	10,08
537	10,335
538	10,499
539	10,698
540	10,349
541	11,274
542	11,694
543	12,102
544	12,5
545	10,4
546	11,539
547	10,85
548	11,566
549	11,166
550	12,001
551	3,1538
552	3,2902
553	3,4022
554	3,4775
555	3,6869
556	3,9128
557	4,1926
558	4,4813
559	5,6427
560	5,4808
561	5,3009
562	5,0715
563	4,7233
564	3,5206
565	4,1727
566	4,511
567	4,8693
568	5,2494
569	3,8534
570	3,6458
571	3,7728
572	4,0456
573	4,3438
574	5,0781
575	4,8895
576	4,6992
577	4,3376
578	3,9901
579	4,6954
580	4,1231
581	4,4532
582	6,0687
583	6,126
584	6,329
585	6,5666
586	6,8722
587	7,2342
588	7,6029
589	7,9775
590	8,3435
591	8,6595
592	8,9613
593	9,2261
594	9,414
