Node Number	LOC_DEFY (mm)
1	-3,044
2	0,36963
3	-2,1896
4	-1,3727
5	-0,65813
6	-0,10279
7	0,24913
8	5,1956
9	1,3348
10	2,3
11	3,2652
12	4,2304
13	-3,6566
14	-2,7066
15	-1,7558
16	-0,81835
17	9,2074e-002
18	0,96207
19	1,7788
20	2,5304
21	3,2057
22	3,7948
23	4,2891
24	4,6813
25	4,9656
26	5,1379
27	-3,1665
28	-3,289
29	-3,4116
30	-3,5341
31	0,36963
32	0,36963
33	0,36963
34	0,36963
35	0,36963
36	5,1956
37	0,74086
38	1,1121
39	1,4833
40	1,8546
41	2,2258
42	2,597
43	2,9682
44	3,3395
45	3,7107
46	4,0819
47	4,4532
48	4,8244
49	5,1956
50	5,1956
51	5,1956
52	5,1956
53	-3,6566
54	-3,6566
55	-3,6566
56	-3,6566
57	-3,6566
58	-3,044
59	-3,6095
60	-3,5624
61	-3,5153
62	-3,4681
63	-3,421
64	-3,3739
65	-3,3267
66	-3,2796
67	-3,2325
68	-3,1854
69	-3,1382
70	-3,0911
71	-3,044
72	-3,044
73	-3,044
74	-3,044
75	5,1858
76	5,1565
77	5,1076
78	5,0394
79	4,952
80	4,8456
81	4,7205
82	4,5769
83	4,4154
84	4,2362
85	4,0397
86	3,8266
87	3,5973
88	3,3524
89	3,0925
90	2,8183
91	2,5304
92	2,2296
93	1,9165
94	1,5921
95	1,2571
96	0,91224
97	0,55852
98	0,19678
99	-0,17209
100	-0,54716
101	-0,9275
102	-1,3122
103	-1,7002
104	-2,0906
105	-2,4824
106	-2,8747
107	-3,2664
108	-2,6493
109	-2,2549
110	-1,8673
111	-1,4933
112	-1,1391
113	-0,81079
114	-0,514
115	-0,25376
116	-3,4508e-002
117	0,14002
118	0,26685
119	0,34383
120	-0,88519
121	-3,0172
122	-2,9396
123	-2,8178
124	-2,6587
125	-2,468
126	-2,2504
127	-2,0097
128	-1,7494
129	-1,4728
130	-1,1834
131	-1,1332
132	-1,3888
133	-1,6504
134	-1,9159
135	-2,1827
136	-2,4474
137	-2,7053
138	-2,9507
139	-3,1759
140	-3,3708
141	-3,5238
142	-3,6225
143	2,2184
144	2,0354
145	1,8288
146	1,5997
147	1,3492
148	1,0786
149	0,78921
150	0,48255
151	0,16013
152	-0,17644
153	-0,52546
154	0,4004
155	0,48764
156	0,61927
157	0,78275
158	0,96776
159	1,1668
160	1,3743
161	1,5861
162	1,7992
163	2,0108
164	2,5432
165	2,8611
166	3,1713
167	3,4722
168	3,7624
169	4,0394
170	4,3001
171	4,5405
172	4,755
173	4,9364
174	5,0761
175	5,1651
176	-3,1441
177	-3,0747
178	5,0456
179	-2,8568
180	4,891
181	-2,6604
182	4,7178
183	-2,4371
184	4,5528
