Node Number	Normal Stress (MPa)
26958	-6,0444e-003
26964	-9,4862e-003
26970	-1,379e-002
26971	-1,1082e-002
26972	-9,6843e-003
26973	-1,1137e-002
26974	-1,4139e-002
26975	-8,3118e-003
26976	-1,3687e-002
26977	-8,4898e-003
26978	-7,4183e-003
26979	-1,5917e-002
26980	-1,0177e-002
26981	-6,2372e-003
26982	-7,1166e-003
26983	-9,0799e-003
26984	-6,3811e-003
26985	-1,1659e-002
26986	-8,055e-003
26987	-1,2744e-002
26988	-6,9359e-003
26989	-6,9851e-003
26990	-1,0211e-002
26991	-6,2048e-003
26992	-6,4077e-003
26993	-1,1524e-002
26994	-6,5818e-003
26995	-6,7597e-003
26996	-8,8233e-003
26997	-5,5713e-003
26998	-9,5565e-003
26999	-6,5871e-003
27000	-8,1753e-003
27001	-4,9624e-003
27002	-5,4762e-003
27003	-9,3224e-003
27004	-5,5045e-003
27005	-7,9571e-003
27006	-5,0817e-003
27007	-9,4121e-003
27008	-6,1976e-003
27009	-5,9962e-003
27010	-7,6405e-003
27011	-4,0172e-003
27012	-6,8561e-003
27013	-4,2987e-003
27014	-4,5637e-003
27015	-6,5106e-003
27016	-3,3453e-003
27017	-5,2207e-003
27018	-2,5649e-003
27019	-4,4454e-003
27020	-3,6366e-003
27021	-4,1333e-003
27022	-3,0534e-003
27023	-2,985e-003
27024	-3,9718e-003
27025	-2,7464e-003
27026	-3,7335e-003
27027	-2,1068e-003
27028	-3,5535e-003
27029	-2,3418e-003
27030	-2,1784e-003
27031	-3,6442e-003
27032	-2,0183e-003
27033	-4,2297e-003
27034	-2,9183e-003
27035	-2,4401e-003
27036	-3,0473e-003
27037	-6,8054e-003
27043	-1,6123e-004
27044	-3,1111e-003
27045	-2,7908e-003
27046	-3,6719e-003
27047	-2,7651e-003
27048	-2,8914e-003
27049	-9,0936e-004
27050	-2,1572e-003
27051	-3,2537e-003
27052	-2,5397e-003
27053	-2,447e-003
27054	-3,8369e-003
27055	-2,4511e-003
27056	-2,4537e-003
27057	-3,6565e-003
27058	-2,6196e-003
27059	-5,5077e-003
27060	-3,6371e-003
27061	-5,0216e-003
27062	-4,3276e-003
27063	-5,9983e-003
27064	-5,3331e-003
27065	-5,7891e-003
27066	-7,4743e-003
27067	-7,7366e-003
27068	-6,975e-003
27069	-1,2535e-002
27070	-8,4896e-003
27071	-1,1852e-002
27072	-1,1598e-002
27073	-1,2999e-002
27074	-1,3795e-002
27075	-1,87e-002
27076	-1,2313e-002
27077	-2,5384e-002
27078	-2,5219e-002
27079	-1,6723e-002
27080	-3,112e-002
27081	-2,4234e-002
27082	-3,4359e-002
27083	-2,6757e-002
27084	-4,5615e-002
27085	-3,5905e-002
27086	-4,4305e-002
27087	-5,6309e-002
27088	-3,9004e-002
27089	-6,3352e-002
27090	-4,2966e-002
27091	-4,4511e-002
27092	-6,9269e-002
27093	-5,3373e-002
27094	-6,4354e-002
27095	-8,5655e-002
27096	-5,4939e-002
27097	-6,2514e-002
27098	-9,5908e-002
27099	-5,9506e-002
27100	-0,10048
27101	-6,0039e-002
27102	-7,0034e-002
27103	-3,5453e-002
27104	-7,6905e-002
27105	-7,5917e-002
27106	-0,10128
27107	-7,5081e-002
27108	-8,8844e-002
27109	-7,6767e-002
27110	-7,0321e-002
27111	-5,5138e-002
27112	-7,2406e-002
27113	-7,214e-002
27114	-6,0356e-002
27115	-5,9837e-002
27116	-5,7376e-002
27117	-3,5712e-002
27118	-6,1431e-002
27119	-3,5878e-002
27120	-5,1001e-002
27121	-3,1126e-002
27122	-4,1597e-002
27123	-2,392e-002
27124	-3,6235e-002
27125	-2,317e-002
27126	-2,9186e-002
27127	-1,7196e-002
27128	-2,5119e-002
27129	-1,3801e-002
27130	-2,4004e-002
27131	-1,5113e-002
27132	-2,0446e-002
27133	-1,4808e-002
27134	-1,2574e-002
27135	-1,5903e-002
27136	-7,9556e-003
27137	-7,4556e-003
27138	-1,1995e-002
27139	-7,6498e-003
27140	-1,0054e-002
27141	-5,7015e-003
27142	-7,5061e-003
27143	-4,6099e-003
27144	-6,2179e-003
27145	-4,0858e-003
27146	-4,3223e-003
27147	-6,8814e-003
27148	-4,7184e-003
27149	-4,4869e-003
27150	-5,7647e-003
27151	-3,6185e-003
27152	-3,6009e-003
27153	-4,2822e-003
27154	-8,9326e-003
27155	-2,5247e-003
27161	-1,5744e-003
27162	-1,7523e-003
27163	-1,3046e-003
27164	-2,529e-003
27165	-1,5373e-003
27166	-2,7349e-003
27167	-1,3504e-003
27168	-1,3174e-003
27169	-1,9626e-003
27170	-1,3324e-003
27171	-2,2534e-003
27172	-2,2948e-003
27173	-7,2352e-004
27174	-2,0084e-003
27175	-1,5778e-003
27176	-1,7779e-003
27177	-2,7188e-003
27178	-1,7971e-003
27179	-3,0008e-003
27180	-2,1519e-003
27181	-3,1568e-003
27182	-1,957e-003
27183	-2,9267e-003
27184	-2,1125e-003
27185	-3,5468e-003
27186	-2,0548e-003
27187	-3,9978e-003
27188	-2,2951e-003
27189	-4,1255e-003
27190	-3,0348e-003
27191	-4,3374e-003
27192	-3,0897e-003
27193	-2,9511e-003
27194	-3,9052e-003
27195	-2,8158e-003
27196	-5,9586e-003
27197	-3,5092e-003
27198	-5,0125e-003
27199	-3,3771e-003
27200	-5,2033e-003
27201	-3,7376e-003
27202	-4,7774e-003
27203	-3,2949e-003
27204	-6,5536e-003
27205	-4,7848e-003
27206	-4,5571e-003
27207	-6,4935e-003
27208	-3,9961e-003
27209	-4,3058e-003
27210	-6,0943e-003
27211	-4,1045e-003
27212	-6,3262e-003
27213	-5,0727e-003
27214	-4,9864e-003
27215	-5,867e-003
27216	-4,0952e-003
27217	-7,672e-003
27218	-4,902e-003
27219	-7,2156e-003
27220	-4,4197e-003
27221	-7,3043e-003
27222	-5,1827e-003
27223	-5,403e-003
27224	-7,1696e-003
27225	-5,5436e-003
27226	-4,9628e-003
27227	-5,8366e-003
27228	-1,6387e-003
27229	-3,8431e-003
27230	-3,12e-003
27231	-3,8517e-003
27232	-2,6684e-003
27233	-3,0905e-003
27234	-4,7428e-003
27235	-2,6159e-003
27236	-4,1991e-003
27237	-3,3724e-003
27238	-3,2056e-003
27239	-5,1427e-003
27240	-3,5193e-003
27241	-3,6871e-003
27242	-5,0899e-003
27243	-2,885e-003
27244	-4,3565e-003
27245	-3,1169e-003
27246	-4,752e-003
27247	-4,3307e-003
27248	-5,2457e-003
27249	-3,3889e-003
27250	-3,656e-003
27251	-5,795e-003
27252	-3,9889e-003
27253	-5,3624e-003
27254	-5,9096e-003
27255	-4,8516e-003
27256	-4,7306e-003
27257	-7,7622e-003
27258	-6,1193e-003
27259	-6,0113e-003
27260	-8,6131e-003
27261	-4,1317e-003
27262	-5,9307e-003
27263	-5,1002e-003
27264	-4,2782e-003
27265	-8,0268e-003
27266	-5,2198e-003
27267	-7,1079e-003
27268	-5,947e-003
27269	-8,1933e-003
27270	-5,7523e-003
27271	-6,4206e-003
27272	-8,1393e-003
27273	-7,1364e-003
27274	-6,1991e-003
27275	-8,3689e-003
27276	-6,6579e-003
27277	-4,9606e-003
27278	-9,037e-003
27279	-5,2571e-003
27280	-7,6339e-003
27281	-4,6776e-003
27282	-4,9422e-003
27283	-7,2758e-003
27284	-4,8817e-003
27285	-7,1044e-003
27286	-5,3689e-003
27287	-5,5858e-003
27288	-8,5493e-003
27289	-5,7448e-003
27290	-4,9176e-003
27291	-8,1594e-003
27292	-5,3417e-003
27293	-5,5867e-003
27294	-5,3809e-003
27295	-5,4391e-003
27296	-6,9094e-003
27297	-4,8274e-003
27298	-4,802e-003
27299	-6,0547e-003
27300	-6,9605e-003
27301	-3,8161e-003
27302	-3,569e-003
27303	-5,9351e-003
27304	-6,0721e-003
27305	-5,6101e-003
