Node Number	LOC_DEFX ()
1	2,016
2	-1,1421
3	1,253
4	0,39021
5	-0,53643
6	-1,4883
7	-2,4257
8	-3,3097
9	-4,1033
10	-4,7736
11	-5,2925
12	-5,6385
13	-5,7971
14	-5,7617
15	-5,5339
16	-5,123
17	-4,5463
18	-3,8277
19	-2,9972
20	-2,0894
21	-1,1421
22	-1,1421
23	-1,1421
24	-1,1421
25	-1,1421
26	5,1637
27	4,4104
28	3,596
29	2,7294
30	1,8201
31	0,87815
32	-8,6022e-002
33	-1,0618
34	-2,0385
35	-3,0053
36	-3,9516
37	-4,867
38	-5,7413
39	-6,5649
40	-7,3288
41	-8,0246
42	-8,6445
43	-9,1818
44	-9,6305
45	-9,9857
46	-10,243
47	-10,401
48	-10,456
49	-10,409
50	-10,26
51	-10,011
52	-9,6632
53	-9,222
54	-8,6918
55	-8,0784
56	-7,3886
57	-6,63
58	-5,8109
59	-4,9404
60	-4,0281
61	-3,0839
62	-2,1184
63	2,6455
64	3,2751
65	3,9046
66	4,5342
67	-1,1421
68	-1,1421
69	-1,1421
70	-1,1421
71	-1,1421
72	-1,1421
73	-1,1421
74	-1,1421
75	-1,1421
76	-1,1421
77	-1,1421
78	-1,1421
79	-1,1421
80	-1,1421
81	-1,1421
82	-1,1421
83	-1,1421
84	-1,1421
85	-1,1421
86	-1,1421
87	-1,1421
88	5,1637
89	5,1637
90	5,1637
91	5,1637
92	5,1637
93	2,016
94	4,9014
95	4,6391
96	4,3768
97	4,1145
98	3,8522
99	3,5898
100	3,3275
101	3,0652
102	2,8029
103	2,5406
104	2,2783
105	2,016
106	2,016
107	2,016
108	2,016
109	-1,5397
110	-1,9365
111	-2,3319
112	-2,7251
113	-3,1154
114	-3,5022
115	-3,8846
116	-4,2621
117	-4,6338
118	-4,9992
119	-5,3576
120	-5,7082
121	-6,0506
122	-6,384
123	-6,7078
124	-7,0216
125	-7,3245
126	-7,6163
127	-7,8962
128	-8,1638
129	-8,4186
130	-8,6602
131	-8,888
132	-9,1018
133	-9,301
134	-9,4854
135	-9,6545
136	-9,8081
137	-9,946
138	-10,068
139	-10,173
140	-10,262
141	-10,335
142	-10,391
143	-10,429
144	-10,451
145	-10,456
146	-10,444
147	-10,415
148	-10,369
149	-10,307
150	-10,227
151	-10,131
152	-10,019
153	-9,8903
154	-9,7458
155	-9,5857
156	-9,4101
157	-9,2195
158	-9,0142
159	-8,7945
160	-8,5609
161	-8,3137
162	-8,0535
163	-7,7806
164	-7,4957
165	-7,1992
166	-6,8917
167	-6,5737
168	-6,2457
169	-5,9085
170	-5,5626
171	-5,2086
172	-4,8473
173	-4,4791
174	-4,1049
175	-3,7253
176	-3,341
177	-2,9527
178	-2,561
179	-2,1668
180	-1,7707
181	-1,3735
182	-0,97585
183	-0,57851
184	-0,18219
185	0,21238
186	0,60449
187	0,9934
188	1,3784
189	1,7589
190	2,134
191	2,5032
192	2,8657
193	3,2209
194	3,5682
195	3,9069
196	4,2364
197	4,5561
198	4,8654
199	1,7151
200	1,3938
201	1,0545
202	0,69945
203	0,33131
204	-4,7328e-002
205	-0,43378
206	-0,82527
207	-1,219
208	-1,6122
209	-2,0021
210	-2,3858
211	-2,7607
212	-3,124
213	-3,4732
214	-3,8057
215	-4,1193
216	-4,4117
217	-4,6807
218	-4,9245
219	-5,1414
220	-5,3297
221	-5,4882
222	-5,6157
223	-5,7112
224	-5,7743
225	-5,8043
226	-5,801
227	-5,7645
228	-5,6951
229	-5,5932
230	-5,4596
231	-5,2952
232	-5,1012
233	-4,879
234	-4,6301
235	-4,3564
236	-4,0597
237	-3,7422
238	-3,4062
239	-3,0541
240	-2,6883
241	-2,3115
242	-1,9264
243	-1,5356
244	1,6094
245	2,0141
246	2,0079
247	1,9961
248	1,9774
249	1,9507
250	1,9153
251	1,871
252	1,8178
253	1,7559
254	1,6861
255	1,995
256	2,3806
257	2,7643
258	3,143
259	3,513
260	3,8692
261	4,205
262	4,5112
263	4,7755
264	4,9831
265	5,1172
266	-3,4669
267	-3,8339
268	-4,1924
269	-4,5412
270	-4,8793
271	-5,2056
272	-5,519
273	-5,8185
274	-6,1032
275	-6,3723
276	-6,6248
277	-6,8599
278	-7,0769
279	-7,2752
280	-7,454
281	-7,6129
282	-7,7512
283	-7,8687
284	-7,9649
285	-8,0395
286	-8,0922
287	-8,123
288	-8,1316
289	-8,1182
290	-8,0826
291	-8,0251
292	-7,9458
293	-7,845
294	-7,723
295	-7,5801
296	-7,4169
297	-7,2337
298	-7,0314
299	-6,8103
300	-6,5714
301	-6,3152
302	-6,0427
303	-5,7547
