0	Time [s]	Pressure sensor 44 (NormX) [MPa]	Pressure sensor 44 (NormY) [MPa]	Pressure sensor 44 (NormZ) [MPa]	Pressure sensor 44 (ShearXY) [MPa]	Pressure sensor 44 (ShearYZ) [MPa]	Pressure sensor 44 (ShearXZ) [MPa]	Pressure sensor 44 (Equivalent (von-Mises)) [MPa]	Pressure sensor 44 (Maximum Principal) [MPa]	Pressure sensor 44 (Middle Principal) [MPa]	Pressure sensor 44 (Minimum Principal) [MPa]	Pressure sensor 44 (Intensity) [MPa] 
1	5,8333e-003	-4,8266e-007	-4,8272e-007	-5,0187e-007	7,7841e-011	-1,7389e-006	8,5103e-007	3,3533e-006	1,4437e-006	-4,8261e-007	-2,4284e-006	3,8721e-006 
2	1,1667e-002	-1,1099e-006	-1,11e-006	-1,1541e-006	1,5681e-010	-4,0116e-006	1,9641e-006	7,7365e-006	3,3346e-006	-1,1098e-006	-5,5987e-006	8,9333e-006 
3	2,0417e-002	-1,9223e-006	-1,9224e-006	-1,9991e-006	2,1964e-010	-6,9483e-006	3,4047e-006	1,3402e-005	5,7769e-006	-1,9222e-006	-9,6985e-006	1,5475e-005 
4	3,3542e-002	-3,1271e-006	-3,1271e-006	-3,2523e-006	2,331e-010	-1,1291e-005	5,537e-006	2,1782e-005	9,386e-006	-3,1269e-006	-1,5766e-005	2,5151e-005 
5	5,3229e-002	-4,9316e-006	-4,9312e-006	-5,13e-006	7,886e-011	-1,7789e-005	8,7284e-006	3,4321e-005	1,4785e-005	-4,9315e-006	-2,4846e-005	3,963e-005 
6	8,276e-002	-7,5852e-006	-7,5835e-006	-7,8922e-006	-5,1786e-010	-2,7317e-005	1,3405e-005	5,2706e-005	2,2692e-005	-7,5853e-006	-3,8167e-005	6,0859e-005 
7	0,11229	-1,0229e-005	-1,0225e-005	-1,0645e-005	-1,5481e-009	-3,6806e-005	1,806e-005	7,1012e-005	3,0564e-005	-1,0229e-005	-5,1433e-005	8,1997e-005 
8	0,15659	-1,4135e-005	-1,4128e-005	-1,4716e-005	-3,9032e-009	-5,0796e-005	2,4959e-005	9,8031e-005	4,2176e-005	-1,4137e-005	-7,1019e-005	1,132e-004 
9	0,20089	-1,8024e-005	-1,8011e-005	-1,8772e-005	-7,2106e-009	-6,4719e-005	3,1826e-005	1,2492e-004	5,3732e-005	-1,8027e-005	-9,0512e-005	1,4424e-004 
10	0,26733	-2,3761e-005	-2,3738e-005	-2,476e-005	-1,3854e-008	-8,5213e-005	4,1973e-005	1,6453e-004	7,0745e-005	-2,3768e-005	-1,1924e-004	1,8998e-004 
11	0,367	-3,2246e-005	-3,2201e-005	-3,3627e-005	-2,7448e-008	-1,1551e-004	5,6956e-005	2,2307e-004	9,5884e-005	-3,2259e-005	-1,617e-004	2,5758e-004 
12	0,5165	-4,4815e-005	-4,4725e-005	-4,6788e-005	-5,5804e-008	-1,6042e-004	7,9122e-005	3,0982e-004	1,3313e-004	-4,4841e-005	-2,2462e-004	3,5775e-004 
13	0,68317	-5,8615e-005	-5,8458e-005	-6,1273e-005	-9,8121e-008	-2,0983e-004	1,0338e-004	4,0516e-004	1,7407e-004	-5,8662e-005	-2,9376e-004	4,6783e-004 
14	0,84983	-7,248e-005	-7,2236e-005	-7,5863e-005	-1,5269e-007	-2,5968e-004	1,2779e-004	5,0131e-004	2,1542e-004	-7,2553e-005	-3,6344e-004	5,7886e-004 
15	1,	-8,4738e-005	-8,4402e-005	-8,8792e-005	-2,1064e-007	-3,0379e-004	1,4926e-004	5,8628e-004	2,5194e-004	-8,4839e-005	-4,2503e-004	6,7697e-004 
