Node Number	Normal Stress (MPa)
15315	-1,8226e-003
15321	-2,9194e-003
15327	-2,2921e-003
15328	-3,2212e-003
15329	-2,2718e-003
15330	-2,9293e-003
15331	-4,3002e-003
15332	-2,6039e-003
15333	-4,0675e-003
15334	-2,9244e-003
15335	-2,2841e-003
15336	-4,741e-003
15337	-3,0697e-003
15338	-1,9452e-003
15339	-2,2353e-003
15340	-3,1115e-003
15341	-2,1788e-003
15342	-2,9933e-003
15343	-2,131e-003
15344	-3,422e-003
15345	-1,9418e-003
15346	-2,0134e-003
15347	-2,9267e-003
15348	-1,8505e-003
15349	-1,8541e-003
15350	-2,8399e-003
15351	-1,8633e-003
15352	-1,84e-003
15353	-2,5322e-003
15354	-1,849e-003
15355	-2,4779e-003
15356	-1,7688e-003
15357	-2,1623e-003
15358	-1,4445e-003
15359	-1,4283e-003
15360	-2,5301e-003
15361	-1,4598e-003
15362	-1,9662e-003
15363	-1,2581e-003
15364	-2,4224e-003
15365	-2,0641e-003
15366	-1,6065e-003
15367	-2,3271e-003
15368	-1,1965e-003
15369	-2,0425e-003
15370	-1,2943e-003
15371	-1,3841e-003
15372	-1,8793e-003
15373	-1,1648e-003
15374	-1,7112e-003
15375	-9,4236e-004
15376	-1,6776e-003
15377	-1,1039e-003
15378	-1,5566e-003
15379	-1,0902e-003
15380	-1,0117e-003
15381	-1,3556e-003
15382	-1,1015e-003
15383	-1,5544e-003
15384	-9,7703e-004
15385	-1,3669e-003
15386	-1,0193e-003
15387	-9,1861e-004
15388	-1,6037e-003
15389	-9,7647e-004
15390	-1,844e-003
15391	-1,2363e-003
15392	-1,0963e-003
15393	-1,5022e-003
15394	-2,0596e-002
15400	-9,6059e-003
15401	-9,6477e-003
15402	-7,3052e-003
15403	-1,3128e-002
15404	-1,1396e-002
15405	-8,3781e-003
15406	-1,2703e-002
15407	-1,0208e-002
15408	-1,4376e-002
15409	-1,0049e-002
15410	-1,2296e-002
15411	-1,6463e-002
15412	-1,5451e-002
15413	-1,3155e-002
15414	-2,2475e-002
15415	-1,7654e-002
15416	-2,8338e-002
15417	-1,8028e-002
15418	-3,2905e-002
15419	-2,8406e-002
15420	-3,7968e-002
15421	-2,8548e-002
15422	-3,3674e-002
15423	-6,0902e-002
15424	-4,5338e-002
15425	-4,6419e-002
15426	-7,9099e-002
15427	-5,9419e-002
15428	-5,6623e-002
15429	-7,6681e-002
15430	-5,8743e-002
15431	-6,8217e-002
15432	-9,6294e-002
15433	-6,6694e-002
15434	-9,8319e-002
15435	-0,10069
15436	-6,5501e-002
15437	-0,11383
15438	-8,6041e-002
15439	-8,9345e-002
15440	-0,11574
15441	-6,8299e-002
15442	-6,4346e-002
15443	-0,1261
15444	-7,5629e-002
15445	-7,7964e-002
15446	-9,9709e-002
15447	-5,0035e-002
15448	-8,4577e-002
15449	-5,5393e-002
15450	-9,3071e-002
15451	-5,3249e-002
15452	-6,4645e-002
15453	-3,9809e-002
15454	-4,4418e-002
15455	-6,6218e-002
15456	-4,0461e-002
15457	-3,8113e-002
15458	-4,3751e-002
15459	-2,9237e-002
15460	-3,0553e-002
15461	-4,3492e-002
15462	-2,5604e-002
15463	-3,5e-002
15464	-2,1683e-002
15465	-1,9145e-002
15466	-2,2023e-002
15467	-1,203e-002
15468	-1,7353e-002
15469	-1,2007e-002
15470	-1,736e-002
15471	-1,1319e-002
15472	-1,1876e-002
15473	-9,6489e-003
15474	-6,6393e-003
15475	-1,049e-002
15476	-6,9157e-003
15477	-9,4586e-003
15478	-5,569e-003
15479	-7,1767e-003
15480	-4,6394e-003
15481	-4,6542e-003
15482	-7,106e-003
15483	-3,8556e-003
15484	-5,308e-003
15485	-3,5357e-003
15486	-3,6122e-003
15487	-4,3556e-003
15488	-3,2789e-003
15489	-4,2203e-003
15490	-3,1802e-003
15491	-2,545e-003
15492	-3,2566e-003
15493	-1,8241e-003
15494	-1,7974e-003
15495	-2,4404e-003
15496	-1,3533e-003
15497	-2,0737e-003
15498	-1,1938e-003
15499	-1,7323e-003
15500	-9,9925e-004
15501	-1,419e-003
15502	-9,3549e-004
15503	-8,4811e-004
15504	-1,2607e-003
15505	-1,2897e-003
15506	-9,6357e-004
15507	-1,4273e-003
15508	-9,5065e-004
15509	-1,0388e-003
15510	-1,0545e-003
15511	-1,3899e-003
15512	-4,7473e-003
15518	-3,6813e-003
15519	-2,5265e-003
15520	-2,7457e-003
15521	-4,3492e-003
15522	-2,474e-003
15523	-4,639e-003
15524	-2,5462e-003
15525	-2,4882e-003
15526	-3,5428e-003
15527	-2,3723e-003
15528	-4,3962e-003
15529	-2,7351e-003
15530	-3,459e-003
15531	-4,1906e-003
15532	-3,2717e-003
15533	-3,2957e-003
15534	-6,0047e-003
15535	-4,0463e-003
15536	-6,2994e-003
15537	-3,8737e-003
15538	-7,0014e-003
15539	-4,8153e-003
15540	-8,0734e-003
15541	-6,6562e-003
15542	-9,2253e-003
15543	-5,8236e-003
15544	-1,0902e-002
15545	-7,0495e-003
15546	-1,2876e-002
15547	-1,0174e-002
15548	-1,2832e-002
15549	-1,2493e-002
15550	-1,1144e-002
15551	-1,3857e-002
15552	-1,0531e-002
15553	-2,1202e-002
15554	-1,1368e-002
15555	-1,7359e-002
15556	-1,1851e-002
15557	-1,6057e-002
15558	-1,1186e-002
15559	-1,7668e-002
15560	-1,1967e-002
15561	-2,2316e-002
15562	-1,674e-002
15563	-1,7715e-002
15564	-2,2766e-002
15565	-1,3461e-002
15566	-1,4505e-002
15567	-1,9704e-002
15568	-1,4505e-002
15569	-2,1362e-002
15570	-1,4921e-002
15571	-1,5139e-002
15572	-1,8396e-002
15573	-1,3514e-002
15574	-2,5941e-002
15575	-1,5987e-002
15576	-2,4105e-002
15577	-1,6794e-002
15578	-2,0852e-002
15579	-1,496e-002
15580	-1,4627e-002
15581	-2,2896e-002
15582	-1,5625e-002
15583	-1,7642e-002
15584	-1,5597e-002
15585	-4,614e-004
15586	-8,8222e-004
15587	-7,8291e-004
15588	-1,1048e-003
15589	-6,9206e-004
15590	-8,7891e-004
15591	-1,4859e-003
15592	-8,1011e-004
15593	-1,403e-003
15594	-9,4523e-004
15595	-7,9596e-004
15596	-1,2953e-003
15597	-9,5251e-004
15598	-9,1281e-004
15599	-1,3602e-003
15600	-7,8802e-004
15601	-1,5405e-003
15602	-1,0813e-003
15603	-1,7807e-003
15604	-1,1769e-003
15605	-1,8491e-003
15606	-1,6984e-003
15607	-1,8024e-003
15608	-2,1828e-003
15609	-1,8302e-003
15610	-1,9205e-003
15611	-2,7373e-003
15612	-1,8968e-003
15613	-2,2206e-003
15614	-1,4823e-003
15615	-2,6803e-003
15616	-2,0058e-003
15617	-3,7411e-003
15618	-2,673e-003
15619	-3,2903e-003
15620	-2,5993e-003
15621	-2,6334e-003
15622	-4,207e-003
15623	-2,6721e-003
15624	-4,1556e-003
15625	-3,0202e-003
15626	-5,0228e-003
15627	-4,7211e-003
15628	-6,7595e-003
15629	-5,2469e-003
15630	-5,8585e-003
15631	-4,4043e-003
15632	-7,9692e-003
15633	-5,115e-003
15634	-4,7978e-003
15635	-6,5649e-003
15636	-4,5332e-003
15637	-6,5639e-003
15638	-4,5982e-003
15639	-4,5733e-003
15640	-7,9392e-003
15641	-5,0233e-003
