0	Time [s]	Pressure sensor 39 (NormX) [MPa]	Pressure sensor 39 (NormY) [MPa]	Pressure sensor 39 (NormZ) [MPa]	Pressure sensor 39 (ShearXY) [MPa]	Pressure sensor 39 (ShearYZ) [MPa]	Pressure sensor 39 (ShearXZ) [MPa]	Pressure sensor 39 (Equivalent (von-Mises)) [MPa]	Pressure sensor 39 (Maximum Principal) [MPa]	Pressure sensor 39 (Middle Principal) [MPa]	Pressure sensor 39 (Minimum Principal) [MPa]	Pressure sensor 39 (Intensity) [MPa] 
1	1,6667e-002	-1,2173e-006	-1,2198e-006	-1,2679e-006	8,4555e-010	-5,3128e-006	3,3908e-006	1,0917e-005	5,0589e-006	-1,2172e-006	-7,5466e-006	1,2605e-005 
2	3,3333e-002	-2,4385e-006	-2,4434e-006	-2,5404e-006	1,5479e-009	-1,0795e-005	6,8569e-006	2,2151e-005	1,0297e-005	-2,4385e-006	-1,5281e-005	2,5578e-005 
3	5,8333e-002	-4,2463e-006	-4,2544e-006	-4,4251e-006	2,2619e-009	-1,9015e-005	1,203e-005	3,8974e-005	1,8162e-005	-4,2466e-006	-2,6841e-005	4,5003e-005 
4	9,5833e-002	-6,9355e-006	-6,948e-006	-7,2312e-006	2,5783e-009	-3,1463e-005	1,9814e-005	6,4402e-005	3,0094e-005	-6,9368e-006	-4,4272e-005	7,4365e-005 
5	0,15208	-1,095e-005	-1,0968e-005	-1,1426e-005	1,2716e-009	-5,0279e-005	3,1534e-005	1,028e-004	4,8155e-005	-1,0954e-005	-7,0545e-005	1,187e-004 
6	0,23646	-1,6884e-005	-1,6904e-005	-1,7637e-005	-4,6865e-009	-7,8595e-005	4,9055e-005	1,6047e-004	7,5383e-005	-1,6894e-005	-1,0991e-004	1,853e-004 
7	0,36302	-2,5435e-005	-2,5451e-005	-2,6617e-005	-2,2629e-008	-1,2109e-004	7,5115e-005	2,4681e-004	1,1647e-004	-2,546e-005	-1,6852e-004	2,8499e-004 
8	0,48958	-3,3942e-005	-3,3943e-005	-3,5583e-005	-5,16e-008	-1,638e-004	1,012e-004	3,3349e-004	1,578e-004	-3,3989e-005	-2,2728e-004	3,8508e-004 
9	0,65625	-4,4916e-005	-4,4879e-005	-4,7199e-005	-1,0612e-007	-2,2014e-004	1,3532e-004	4,4757e-004	2,1241e-004	-4,5001e-005	-3,044e-004	5,1681e-004 
10	0,82292	-5,5658e-005	-5,5564e-005	-5,8629e-005	-1,7939e-007	-2,7634e-004	1,6928e-004	5,6131e-004	2,6704e-004	-5,5792e-005	-3,811e-004	6,4814e-004 
11	0,91146	-6,1256e-005	-6,1124e-005	-6,4607e-005	-2,2529e-007	-3,0572e-004	1,8704e-004	6,2077e-004	2,9562e-004	-6,142e-005	-4,2118e-004	7,168e-004 
12	1,	-6,6919e-005	-6,6743e-005	-7,0672e-005	-2,773e-007	-3,3588e-004	2,0509e-004	6,8164e-004	3,2494e-004	-6,7118e-005	-4,6216e-004	7,8709e-004 
