0	Time [s]	Pressure sensor 3 (NormX) [MPa]	Pressure sensor 3 (NormY) [MPa]	Pressure sensor 3 (NormZ) [MPa]	Pressure sensor 3 (ShearXY) [MPa]	Pressure sensor 3 (ShearYZ) [MPa]	Pressure sensor 3 (ShearXZ) [MPa]	Pressure sensor 3 (Equivalent (von-Mises)) [MPa]	Pressure sensor 3 (Maximum Principal) [MPa]	Pressure sensor 3 (Middle Principal) [MPa]	Pressure sensor 3 (Minimum Principal) [MPa]	Pressure sensor 3 (Intensity) [MPa] 
1	5,8333e-003	-4,0025e-005	-4,0025e-005	-4,1494e-005	-5,1153e-008	6,7689e-005	3,3771e-005	1,3103e-004	3,4869e-005	-3,9984e-005	-1,1643e-004	1,513e-004 
2	1,1667e-002	-8,9862e-005	-8,9825e-005	-9,3267e-005	-8,4322e-008	1,5043e-004	7,385e-005	2,9027e-004	7,6003e-005	-8,9788e-005	-2,5917e-004	3,3517e-004 
3	2,0417e-002	-1,5864e-004	-1,5847e-004	-1,6488e-004	-7,971e-008	2,6325e-004	1,2765e-004	5,0678e-004	1,3086e-004	-1,5855e-004	-4,5431e-004	5,8516e-004 
4	3,3542e-002	-2,6541e-004	-2,6488e-004	-2,7642e-004	3,4213e-008	4,3521e-004	2,0831e-004	8,3578e-004	2,1185e-004	-2,6534e-004	-7,5322e-004	9,6506e-004 
5	5,3229e-002	-4,2618e-004	-4,2469e-004	-4,4511e-004	4,3898e-007	6,9284e-004	3,2652e-004	1,3268e-003	3,3113e-004	-4,2625e-004	-1,2009e-003	1,532e-003 
6	8,276e-002	-6,8035e-004	-6,7643e-004	-7,1353e-004	1,5949e-006	1,0891e-003	5,0385e-004	2,0788e-003	5,0547e-004	-6,8087e-004	-1,8949e-003	2,4004e-003 
7	0,12706	-1,0664e-003	-1,0566e-003	-1,125e-003	4,4941e-006	1,6853e-003	7,6347e-004	3,2053e-003	7,6054e-004	-1,0681e-003	-2,9405e-003	3,701e-003 
8	0,17135	-1,458e-003	-1,4395e-003	-1,547e-003	8,8157e-006	2,2866e-003	1,0214e-003	4,3389e-003	1,0135e-003	-1,4615e-003	-3,9965e-003	5,01e-003 
9	0,2378	-2,049e-003	-2,0124e-003	-2,1922e-003	1,781e-005	3,1826e-003	1,3982e-003	6,0233e-003	1,3788e-003	-2,0562e-003	-5,5762e-003	6,9549e-003 
10	0,33747	-2,9562e-003	-2,88e-003	-3,2009e-003	3,6997e-005	4,5371e-003	1,9539e-003	8,5613e-003	1,9098e-003	-2,9712e-003	-7,9758e-003	9,8855e-003 
11	0,48697	-4,3164e-003	-4,1542e-003	-4,7555e-003	7,8023e-005	6,5633e-003	2,7671e-003	1,235e-002	2,6907e-003	-4,3478e-003	-1,1569e-002	1,426e-002 
12	0,65364	-5,8339e-003	-5,5373e-003	-6,548e-003	1,4057e-004	8,8155e-003	3,651e-003	1,6553e-002	3,5419e-003	-5,8899e-003	-1,5571e-002	1,9113e-002 
13	0,8203	-7,3369e-003	-6,866e-003	-8,3855e-003	2,2015e-004	1,1058e-002	4,5146e-003	2,0734e-002	4,3883e-003	-7,4237e-003	-1,9553e-002	2,3941e-002 
14	0,91015	-8,1231e-003	-7,5428e-003	-9,3743e-003	2,6978e-004	1,2252e-002	4,9741e-003	2,2965e-002	4,8528e-003	-8,2291e-003	-2,1664e-002	2,6517e-002 
15	1,	-8,9081e-003	-8,2072e-003	-1,0377e-002	3,2354e-004	1,344e-002	5,4214e-003	2,518e-002	5,3083e-003	-9,0345e-003	-2,3767e-002	2,9075e-002 
