Node Number	Normal Stress (MPa)
1	-9,1603e-002
2	-0,10051
3	-6,4313e-002
4	-7,0108e-002
5	-6,9439e-002
6	-7,0728e-002
7	-6,9769e-002
8	-6,8854e-002
9	-6,8285e-002
10	-6,6958e-002
11	-6,6153e-002
12	-6,5809e-002
13	-6,5351e-002
14	-6,4581e-002
15	-6,5297e-002
16	-6,7546e-002
17	-6,7716e-002
18	-6,9336e-002
19	-7,0869e-002
20	-7,0245e-002
21	-7,0249e-002
22	-6,6302e-002
23	-0,1087
24	-9,825e-002
25	-8,3281e-002
26	-0,11349
27	-7,624e-002
28	-7,9867e-002
29	-8,3882e-002
30	-8,2699e-002
31	-0,10162
32	-8,9763e-002
33	-8,9465e-002
34	-9,0194e-002
35	-9,6862e-002
36	-9,364e-002
37	-9,0248e-002
38	-9,1575e-002
39	-9,1275e-002
40	-9,254e-002
41	-9,4654e-002
42	-9,1796e-002
43	-9,1475e-002
44	-9,4654e-002
45	-9,1467e-002
46	-9,0262e-002
47	-9,0612e-002
48	-9,0226e-002
49	-9,2029e-002
50	-8,4296e-002
51	-0,10149
52	-8,7184e-002
53	-8,187e-002
54	-7,7962e-002
55	-7,8546e-002
56	-7,826e-002
57	-8,0272e-002
58	-1,0644e-002
59	-3,7031e-002
60	-5,197e-002
61	-6,6496e-003
62	-1,9205e-002
63	-2,3119e-002
64	-3,0281e-002
65	-3,1544e-002
66	-2,9598e-002
67	-2,8252e-002
68	-1,658e-002
69	-4,7371e-002
70	-3,2072e-002
71	-7,2358e-003
72	-4,8134e-002
73	-3,2317e-002
74	-1,2358e-002
75	-1,7999e-002
76	-2,7238e-002
77	-2,8812e-002
78	-3,0814e-002
79	-2,8834e-002
80	-2,4369e-002
81	-1,8085e-002
82	-3,6708e-002
83	-4,6782e-002
84	-1,8856e-002
85	-2,9563e-002
86	-3,4146e-002
87	-3,2148e-002
88	-3,0839e-002
89	-3,0191e-002
90	-3,0191e-002
91	-2,9407e-002
92	-2,9318e-002
93	-2,7328e-002
94	-2,6924e-002
95	-2,6025e-002
96	-2,5738e-002
97	-2,5195e-002
98	-2,5615e-002
99	-2,6376e-002
100	-2,5538e-002
101	-2,5714e-002
102	-2,3584e-002
103	-2,2832e-002
104	-2,2771e-002
105	-2,5666e-002
106	-2,4951e-002
107	-2,5145e-002
108	-2,4355e-002
109	-2,4594e-002
110	-2,6389e-002
111	-2,4392e-002
112	-2,3764e-002
113	-2,3529e-002
114	-2,4972e-002
115	-2,5211e-002
116	-2,5363e-002
117	-2,5576e-002
118	-2,5898e-002
119	-2,6244e-002
120	-2,6039e-002
121	-2,5721e-002
122	-2,5559e-002
123	-2,2643e-002
124	-2,4901e-002
125	-2,5293e-002
126	-2,5205e-002
127	-2,5014e-002
128	-2,5297e-002
129	-2,3607e-002
130	-2,2813e-002
131	-2,4811e-002
132	-2,6217e-002
133	-2,5636e-002
134	-2,4188e-002
135	-2,4483e-002
136	-2,6483e-002
137	-2,5987e-002
138	-2,4932e-002
139	-2,4921e-002
140	-2,4635e-002
141	-2,36e-002
142	-2,4397e-002
143	-2,4107e-002
144	-2,4978e-002
145	-2,709e-002
146	-2,725e-002
147	-2,9237e-002
148	-2,8682e-002
149	-2,7405e-002
150	-2,714e-002
151	-2,9174e-002
152	-3,0026e-002
153	-3,1997e-002
154	-3,3701e-002
155	-3,0135e-002
156	-2,7839e-002
157	-1,8743e-002
158	-2,2259e-002
159	-3,1476e-002
160	-3,4825e-002
161	-3,4237e-002
162	-3,3598e-002
163	-3,379e-002
164	-3,3085e-002
165	-3,3752e-002
166	-3,3434e-002
167	-3,3314e-002
168	-3,2588e-002
169	-3,2581e-002
170	-3,2806e-002
171	-3,3351e-002
172	-3,3905e-002
173	-3,1383e-002
174	-3,0827e-002
175	-3,1257e-002
176	-3,1288e-002
177	-3,0872e-002
178	-3,0744e-002
179	-3,1667e-002
180	-3,2732e-002
181	-3,2282e-002
182	-3,1461e-002
183	-3,1739e-002
184	-3,1894e-002
185	-3,2447e-002
186	-3,1351e-002
187	-3,191e-002
188	-3,2118e-002
189	-3,2568e-002
190	-3,2151e-002
191	-3,2614e-002
192	-3,3866e-002
193	-3,3256e-002
194	-3,1704e-002
195	-3,3659e-002
196	-3,3799e-002
197	-3,2599e-002
198	-3,3383e-002
199	-3,3869e-002
200	-3,245e-002
201	-3,32e-002
202	-3,3466e-002
203	-3,2779e-002
204	-3,3383e-002
205	-3,45e-002
206	-3,3054e-002
207	-3,1204e-002
208	-2,3539e-002
209	-0,15407
210	-6,2027e-004
211	5,2454e-003
212	-2,0155e-002
213	-0,16751
214	-0,18303
215	-0,15667
216	-0,18104
217	-0,20548
218	-0,1974
219	-0,11553
220	-2,6233e-002
221	7,2112e-003
222	5,7876e-004
223	-0,14687
224	-0,152
225	-0,12477
226	-0,14822
227	-0,13905
228	-0,1432
229	-0,13794
230	-0,14207
231	-0,14193
232	-0,15369
233	-0,14561
234	-0,14712
235	-0,1419
236	-0,13797
237	-0,14929
238	-0,15713
239	-0,15639
240	-0,13942
241	-0,13174
242	-0,14275
243	-0,14466
244	-0,14389
245	-0,14638
246	-0,1451
247	-0,11896
248	-0,14272
249	-0,14559
250	-0,14774
251	-0,12835
252	-0,14056
253	-0,1491
254	-0,14584
255	-0,13988
256	-0,13347
257	-0,13477
258	-0,14702
259	-0,14455
260	-0,14337
261	-0,14633
262	-0,15109
263	-0,14518
264	-0,14423
265	-0,14675
266	-0,14722
267	-0,14936
268	-0,14396
269	-0,14297
270	-0,14452
271	-0,14315
272	-0,13962
273	-0,13761
274	-0,13912
275	-0,1315
276	-0,12824
277	-0,14818
278	-0,15526
279	-0,16078
280	-0,20479
281	-0,22552
282	-0,15191
283	-7,7268e-003
284	4,7017e-003
285	1,1522e-003
286	-9,3641e-004
287	6,552e-003
288	-1,0631e-002
289	-0,16544
290	-0,19693
291	-0,1725
292	-1,2172e-002
293	-1,619e-002
294	-2,3142e-002
295	-2,3357e-002
296	-7,1406e-002
297	-4,413e-002
298	-0,10662
299	-9,1016e-002
300	-0,12042
301	-0,10796
302	-1,9177e-002
303	-2,1933e-002
304	-1,9914e-002
305	-1,8915e-002
306	-1,896e-002
307	-1,7732e-002
308	-1,8461e-002
309	-1,8435e-002
310	-1,6799e-002
311	-1,7042e-002
312	-1,748e-002
313	-1,9052e-002
314	-1,8226e-002
315	-1,7534e-002
316	-1,702e-002
317	-1,8537e-002
318	-1,766e-002
319	-1,824e-002
320	-1,6652e-002
321	-1,6092e-002
322	-1,6484e-002
323	-1,8359e-002
324	-1,8527e-002
325	-1,7615e-002
326	-1,8778e-002
327	-1,6299e-002
328	-1,613e-002
329	-1,8057e-002
330	-2,1163e-002
331	-1,882e-002
332	-1,8791e-002
333	-1,7122e-002
334	-1,6863e-002
335	-1,7846e-002
336	-1,7812e-002
337	-1,7344e-002
338	-1,8497e-002
339	-1,8073e-002
340	-1,7693e-002
341	-1,827e-002
342	-1,7926e-002
343	-1,7121e-002
344	-1,6934e-002
345	-1,6228e-002
346	-1,5885e-002
347	-1,8569e-002
348	-1,7594e-002
349	-1,7267e-002
350	-2,2791e-002
351	-1,9422e-002
352	-0,14277
353	-0,123
354	-0,10813
355	-0,10966
356	-0,11417
357	-0,11297
358	-0,11744
359	-0,11843
360	-0,11216
361	-0,11262
362	-0,11184
363	-0,11357
364	-0,10857
365	-0,12654
366	-0,11822
367	-0,12745
368	-0,13748
369	-0,10462
370	-0,11774
371	-0,12139
372	-0,11538
373	-0,13345
374	-0,13347
375	-0,12397
376	-0,12284
377	-0,13283
378	-0,12349
379	-0,13009
380	-0,13095
381	-0,11493
382	-0,11692
383	-0,13289
384	-0,14937
385	-0,12896
386	-0,11843
387	-0,10898
388	-0,11877
389	-0,12605
390	-0,13439
391	-0,11139
392	-0,11077
393	-0,1147
394	-0,13581
395	-0,11729
396	-0,11166
397	-0,11841
398	-0,11545
399	-0,12398
400	-0,13425
401	-0,11054
402	-0,11293
403	-0,10918
404	-0,11238
405	-0,12551
406	-0,1513
407	-0,13147
408	-1,5104e-002
409	-1,6909e-002
410	-1,0997e-002
411	-2,1581e-002
412	-1,9736e-002
413	-7,7417e-002
414	-6,8188e-002
415	-0,11171
416	-0,10064
417	-1,183e-002
418	-6,9816e-003
419	-9,5852e-003
420	-8,4e-003
421	-8,649e-003
422	-1,1148e-002
423	-1,0339e-002
424	-1,0931e-002
425	-1,0369e-002
426	-9,7165e-003
427	-1,004e-002
428	-1,026e-002
429	-6,678e-003
430	-1,166e-002
431	-1,1014e-002
432	-7,7364e-003
433	-8,1096e-003
434	-9,7793e-003
435	-1,058e-002
436	-9,723e-003
437	-1,0071e-002
438	-8,3396e-003
439	-8,6646e-003
440	-7,2763e-003
441	-1,0875e-002
442	-7,6485e-003
443	-7,2899e-003
444	-7,3925e-003
445	-9,5492e-003
446	-9,0253e-003
447	-1,1474e-002
448	-1,1668e-002
449	-1,0457e-002
450	-6,6336e-003
451	-7,1764e-003
452	-9,5328e-003
453	-7,4491e-003
454	-9,0162e-003
455	-8,1181e-003
456	-8,585e-003
457	-9,6718e-003
458	-8,6025e-003
459	-5,8446e-003
460	-1,2613e-002
461	-9,6125e-003
462	-8,4307e-003
463	-0,10185
464	-8,8487e-002
465	-9,0895e-002
466	-9,1384e-002
467	-9,7923e-002
468	-0,10071
469	-8,3168e-002
470	-8,8563e-002
471	-8,0241e-002
472	-8,9551e-002
473	-9,0441e-002
474	-9,1517e-002
475	-9,0683e-002
476	-7,5686e-002
477	-8,8706e-002
478	-8,5254e-002
479	-9,4786e-002
480	-9,8552e-002
481	-0,10141
482	-8,4257e-002
483	-8,9712e-002
484	-9,155e-002
485	-9,2541e-002
486	-9,1756e-002
487	-8,4694e-002
488	-9,2099e-002
489	-8,5272e-002
490	-0,10654
491	-0,10232
492	-9,1455e-002
493	-9,2408e-002
494	-9,8801e-002
495	-9,7562e-002
496	-9,6181e-002
497	-9,5625e-002
498	-9,0982e-002
499	-9,5072e-002
500	-8,5874e-002
501	-8,7566e-002
502	-9,3271e-002
503	-8,7976e-002
504	-9,2586e-002
505	-8,6823e-002
506	-9,2261e-002
507	-9,6247e-002
508	-9,6753e-002
509	-9,5883e-002
510	-9,067e-002
511	-9,1335e-002
512	-9,5936e-002
513	-0,10112
514	-0,10417
515	-9,2351e-002
516	-1,445e-002
517	-7,6918e-002
518	-6,5189e-003
519	-3,6352e-002
520	-1,5299e-002
521	-7,6477e-003
522	-1,0105e-002
523	-1,1055e-002
524	-5,0158e-003
525	-1,357e-002
526	-7,9012e-003
527	-4,1028e-003
528	-6,1421e-003
529	-1,0505e-002
530	-1,2285e-003
531	-1,0423e-003
532	-4,4479e-003
533	-3,2767e-003
534	-1,5996e-002
535	-1,0866e-002
536	-7,5784e-003
537	-7,5337e-003
538	-1,1319e-002
539	-6,3401e-003
540	-2,4686e-003
541	-1,1157e-002
542	-1,168e-002
543	-2,5817e-003
544	-2,6377e-003
545	-9,2579e-003
