0	Time [s]	Pressure sensor 13 (NormX) [MPa]	Pressure sensor 13 (NormY) [MPa]	Pressure sensor 13 (NormZ) [MPa]	Pressure sensor 13 (ShearXY) [MPa]	Pressure sensor 13 (ShearYZ) [MPa]	Pressure sensor 13 (ShearXZ) [MPa]	Pressure sensor 13 (Equivalent (von-Mises)) [MPa]	Pressure sensor 13 (Maximum Principal) [MPa]	Pressure sensor 13 (Middle Principal) [MPa]	Pressure sensor 13 (Minimum Principal) [MPa]	Pressure sensor 13 (Intensity) [MPa] 
1	5,8333e-003	-4,5717e-005	-4,555e-005	-4,7504e-005	-6,0598e-008	2,2954e-005	3,4242e-005	7,1426e-005	-5,3791e-006	-4,5546e-005	-8,7846e-005	8,2467e-005 
2	1,1667e-002	-9,9709e-005	-9,9352e-005	-1,0366e-004	-1,153e-007	4,8715e-005	7,2617e-005	1,5151e-004	-1,4216e-005	-9,9356e-005	-1,8915e-004	1,7493e-004 
3	2,0417e-002	-1,7601e-004	-1,7539e-004	-1,8308e-004	-1,7673e-007	8,499e-005	1,2666e-004	2,643e-004	-2,6952e-005	-1,7542e-004	-3,3211e-004	3,0515e-004 
4	3,3542e-002	-2,9708e-004	-2,9609e-004	-3,0927e-004	-2,2005e-007	1,4003e-004	2,074e-004	4,3362e-004	-5,2807e-005	-2,962e-004	-5,5344e-004	5,0063e-004 
5	5,3229e-002	-4,8502e-004	-4,8349e-004	-5,0546e-004	-2,0283e-007	2,2374e-004	3,3111e-004	6,9249e-004	-9,5338e-005	-4,8378e-004	-8,9485e-004	7,9952e-004 
6	8,276e-002	-7,7201e-004	-7,6979e-004	-8,0571e-004	-2,2369e-009	3,5069e-004	5,1838e-004	1,0846e-003	-1,6242e-004	-7,7049e-004	-1,4146e-003	1,2522e-003 
7	0,12706	-1,2342e-003	-1,2311e-003	-1,2908e-003	7,7485e-007	5,4321e-004	7,9999e-004	1,6759e-003	-2,942e-004	-1,2328e-003	-2,2291e-003	1,9349e-003 
8	0,1935	-1,9307e-003	-1,927e-003	-2,0251e-003	2,8343e-006	8,3103e-004	1,2191e-003	2,5572e-003	-4,9979e-004	-1,9308e-003	-3,4522e-003	2,9524e-003 
9	0,29317	-3,0449e-003	-3,0416e-003	-3,2072e-003	8,1657e-006	1,2713e-003	1,856e-003	3,8999e-003	-8,7046e-004	-3,0503e-003	-5,373e-003	4,5025e-003 
10	0,39284	-4,2202e-003	-4,219e-003	-4,4629e-003	1,6197e-005	1,718e-003	2,4962e-003	5,2544e-003	-1,3007e-003	-4,2345e-003	-7,3669e-003	6,0661e-003 
11	0,54234	-5,9169e-003	-5,9222e-003	-6,2939e-003	3,2714e-005	2,3807e-003	3,4525e-003	7,2736e-003	-1,8923e-003	-5,9511e-003	-1,029e-002	8,3973e-003 
12	0,70901	-7,9196e-003	-7,9361e-003	-8,4757e-003	5,8011e-005	3,1263e-003	4,5055e-003	9,5147e-003	-2,6809e-003	-7,9851e-003	-1,3665e-002	1,0984e-002 
13	0,87567	-9,9283e-003	-9,9607e-003	-1,069e-002	9,0519e-005	3,8784e-003	5,5656e-003	1,1774e-002	-3,4756e-003	-1,0035e-002	-1,7069e-002	1,3593e-002 
14	1,	-1,1434e-002	-1,1481e-002	-1,2365e-002	1,1906e-004	4,4341e-003	6,3434e-003	1,3438e-002	-4,0948e-003	-1,1577e-002	-1,9608e-002	1,5513e-002 
