Node Number	LOC_DEFX ()
1	0,
2	0,
3	-0,96877
4	-1,9159
5	-2,8202
6	-3,6616
7	-4,4211
8	-5,0819
9	-5,6292
10	-6,0507
11	-6,337
12	-6,4818
13	-6,4818
14	-6,337
15	-6,0507
16	-5,6292
17	-5,0819
18	-4,4211
19	-3,6616
20	-2,8202
21	-1,9159
22	-0,96877
23	0,
24	0,
25	0,
26	0,
27	-0,99302
28	-1,9752
29	-2,9357
30	-3,864
31	-4,75
32	-5,584
33	-6,3567
34	-7,0599
35	-7,6857
36	-8,2272
37	-8,6787
38	-9,035
39	-9,2924
40	-9,448
41	-9,5
42	-9,448
43	-9,2924
44	-9,035
45	-8,6787
46	-8,2272
47	-7,6857
48	-7,0599
49	-6,3567
50	-5,584
51	-4,75
52	-3,864
53	-2,9357
54	-1,9752
55	-0,99302
56	0,
57	0,
58	3,0937e-007
59	3,0524e-007
60	2,1409e-007
61	3,0497e-007
62	3,0678e-007
63	3,1388e-007
64	3,2355e-007
65	3,2387e-007
66	3,1861e-007
67	3,0911e-007
68	3,0053e-007
69	2,1377e-007
70	3,0471e-007
71	3,0249e-007
72	2,1478e-007
73	3,0223e-007
74	3,0466e-007
75	2,9752e-007
76	3,0398e-007
77	3,1356e-007
78	3,1901e-007
79	3,1945e-007
80	3,1034e-007
81	3,0256e-007
82	3,0307e-007
83	2,1355e-007
84	-0,39782
85	-0,79494
86	-1,1907
87	-1,5843
88	-1,9752
89	-2,3626
90	-2,7458
91	-3,1242
92	-3,4972
93	-3,864
94	-4,224
95	-4,5767
96	-4,9213
97	-5,2572
98	-5,584
99	-5,9009
100	-6,2075
101	-6,5032
102	-6,7875
103	-7,0599
104	-7,3199
105	-7,567
106	-7,8009
107	-8,0211
108	-8,2272
109	-8,4189
110	-8,5959
111	-8,7577
112	-8,9042
113	-9,035
114	-9,15
115	-9,249
116	-9,3317
117	-9,3981
118	-9,448
119	-9,4813
120	-9,4979
121	-9,4979
122	-9,4813
123	-9,448
124	-9,3981
125	-9,3317
126	-9,249
127	-9,15
128	-9,035
129	-8,9042
130	-8,7577
131	-8,5959
132	-8,4189
133	-8,2272
134	-8,0211
135	-7,8009
136	-7,567
137	-7,3199
138	-7,0599
