Node Number	LOC_DEFX ()
1	-1,2341
2	1,0172
3	-1,2841
4	-1,0351
5	-0,51967
6	0,1954
7	1,0172
8	1,0172
9	1,0172
10	1,0172
11	1,0172
12	-5,6615
13	-5,8248
14	-5,8554
15	-5,7527
16	-5,5187
17	-5,158
18	-4,6775
19	-4,0866
20	-3,3967
21	-2,6213
22	-1,7752
23	-0,87507
24	6,1797e-002
25	-2,1196
26	-3,0051
27	-3,8906
28	-4,7761
29	1,0172
30	1,0172
31	1,0172
32	1,0172
33	1,0172
34	1,0172
35	1,0172
36	1,0172
37	1,0172
38	1,0172
39	1,0172
40	1,0172
41	1,0172
42	1,0172
43	1,0172
44	1,0172
45	1,0172
46	1,0172
47	1,0172
48	1,0172
49	1,0172
50	-5,6615
51	-5,6615
52	-5,6615
53	-5,6615
54	-5,6615
55	-1,2341
56	-5,2926
57	-4,9236
58	-4,5547
59	-4,1857
60	-3,8168
61	-3,4478
62	-3,0789
63	-2,7099
64	-2,341
65	-1,972
66	-1,6031
67	-1,2341
68	-1,2341
69	-1,2341
70	-1,2341
71	0,62801
72	0,24008
73	-0,14536
74	-0,52708
75	-0,90385
76	-1,2745
77	-1,6377
78	-1,9925
79	-2,3376
80	-2,672
81	-2,9945
82	-3,3042
83	-3,6
84	-3,8811
85	-4,1464
86	-4,3952
87	-4,6266
88	-4,84
89	-5,0346
90	-5,2098
91	-5,365
92	-5,4998
93	-5,6137
94	-5,7064
95	-5,7775
96	-5,8268
97	-5,8542
98	-5,8596
99	-5,8429
100	-5,8042
101	-5,7437
102	-1,2944
103	-1,2921
104	-1,2272
105	-1,1017
106	-0,91874
107	-0,68342
108	-0,40206
109	-8,2289e-002
110	0,26724
111	0,63707
112	-3,4045
113	-1,2758
114	-1,3929
115	-1,5678
116	-1,7833
117	-2,0267
118	-2,2885
119	-2,5621
120	-2,8423
121	-3,1244
122	-3,687
123	-3,9588
124	-4,2192
125	-4,4671
126	-4,7012
127	-4,9195
128	-5,1194
129	-5,2969
130	-5,4468
131	-5,5624
132	-5,6362
133	-1,2624
134	-1,5971
135	-1,9124
136	-2,2061
137	-2,4759
138	-2,7199
139	-2,9362
140	-3,1233
141	-3,2798
142	0,98256
143	0,88301
144	0,72853
145	0,52885
146	0,29164
147	2,3046e-002
148	-0,27169
149	-0,58767
150	-0,91976
151	-1,0553
152	-0,83702
153	-0,60953
154	-0,37533
155	-0,13783
156	9,8575e-002
157	0,32803
158	0,54272
159	0,73217
160	0,8836
161	0,98263
162	0,35136
163	-3,2643e-002
164	-0,38358
165	-0,74568
166	-1,1164
167	-1,4745
168	-1,818
169	-2,1574
170	-2,4937
171	-2,8216
172	-3,1364
173	-3,4372
174	-3,7242
175	-3,9965
176	-4,2527
177	-4,492
178	-4,7136
179	-4,9169
180	-5,1011
181	-5,2658
182	-5,4103
183	-5,5342
184	-5,6367
185	-5,7175
186	-5,7764
187	-5,8134
188	-5,8287
189	-5,8204
190	-5,7899
191	-5,7369
192	-5,6297
193	0,65353
194	0,38167
195	-5,5151
196	0,36212
197	-1,4932
198	-1,9376
199	-2,2923
200	-2,5954
201	-2,8717
202	-3,1193
203	-3,3363
