Node Number	Normal Stress (MPa)
9615	-3,9794e-003
9621	-5,2668e-003
9627	-8,4022e-003
9628	-6,9287e-003
9629	-5,9192e-003
9630	-7,2749e-003
9631	-1,0306e-002
9632	-4,8005e-003
9633	-8,2003e-003
9634	-5,7806e-003
9635	-5,0727e-003
9636	-9,6548e-003
9637	-6,4381e-003
9638	-3,9909e-003
9639	-4,4078e-003
9640	-6,0306e-003
9641	-3,2734e-003
9642	-6,3191e-003
9643	-4,488e-003
9644	-6,8295e-003
9645	-4,3528e-003
9646	-3,8399e-003
9647	-7,7754e-003
9648	-3,9153e-003
9649	-3,7848e-003
9650	-6,1387e-003
9651	-4,1869e-003
9652	-4,24e-003
9653	-5,7837e-003
9654	-3,5358e-003
9655	-5,9251e-003
9656	-4,1953e-003
9657	-5,1109e-003
9658	-3,5239e-003
9659	-4,1943e-003
9660	-7,6413e-003
9661	-3,0818e-003
9662	-4,2305e-003
9663	-3,0352e-003
9664	-5,5538e-003
9665	-4,7721e-003
9666	-3,6391e-003
9667	-5,2321e-003
9668	-3,2478e-003
9669	-4,7244e-003
9670	-2,8306e-003
9671	-3,078e-003
9672	-4,6995e-003
9673	-2,1754e-003
9674	-3,9607e-003
9675	-2,1685e-003
9676	-3,6517e-003
9677	-2,7432e-003
9678	-3,3706e-003
9679	-2,0423e-003
9680	-2,3879e-003
9681	-3,9789e-003
9682	-2,0289e-003
9683	-3,1175e-003
9684	-1,636e-003
9685	-3,0303e-003
9686	-2,0947e-003
9687	-1,8117e-003
9688	-3,0817e-003
9689	-1,8553e-003
9690	-3,7687e-003
9691	-2,4364e-003
9692	-2,0618e-003
9693	-2,8718e-003
9694	-9,0586e-003
9700	-1,8448e-003
9701	-4,804e-003
9702	-3,5635e-003
9703	-4,8077e-003
9704	-3,9901e-003
9705	-3,3345e-003
9706	-3,8239e-003
9707	-3,3342e-003
9708	-4,7802e-003
9709	-3,4886e-003
9710	-3,7094e-003
9711	-2,1972e-003
9712	-3,7802e-003
9713	-3,7464e-003
9714	-4,9876e-003
9715	-3,8476e-003
9716	-7,0006e-003
9717	-4,8936e-003
9718	-6,2408e-003
9719	-4,3042e-003
9720	-7,9235e-003
9721	-6,9298e-003
9722	-6,0806e-003
9723	-1,139e-002
9724	-1,0109e-002
9725	-1,083e-002
9726	-1,5765e-002
9727	-1,1011e-002
9728	-9,6925e-003
9729	-1,1494e-002
9730	-1,313e-002
9731	-1,4169e-002
9732	-2,1274e-002
9733	-1,2624e-002
9734	-2,1064e-002
9735	-2,1699e-002
9736	-1,4466e-002
9737	-2,4624e-002
9738	-2,2142e-002
9739	-1,9772e-002
9740	-3,121e-002
9741	-2,1976e-002
9742	-2,9989e-002
9743	-4,7496e-004
9744	-3,2243e-002
9745	-2,616e-002
9746	-3,9438e-002
9747	-2,9176e-002
9748	-4,1037e-002
9749	-2,8718e-002
9750	-5,3613e-002
9751	-3,0785e-002
9752	-4,4593e-002
9753	-2,9463e-002
9754	-2,9036e-002
9755	-5,3167e-002
9756	-3,6079e-002
9757	-3,7752e-002
9758	-5,5404e-002
9759	-3,678e-002
9760	-3,6284e-002
9761	-5,6803e-002
9762	-3,5275e-002
9763	-4,3013e-002
9764	-3,4985e-002
9765	-3,3054e-002
9766	-4,4899e-002
9767	-2,2625e-002
9768	-3,6634e-002
9769	-2,5497e-002
9770	-3,8867e-002
9771	-2,4112e-002
9772	-2,5885e-002
9773	-3,439e-002
9774	-2,0118e-002
9775	-2,743e-002
9776	-1,9581e-002
9777	-2,8076e-002
9778	-1,6118e-002
9779	-2,3286e-002
9780	-1,251e-002
9781	-1,1175e-002
9782	-1,7134e-002
9783	-1,0563e-002
9784	-1,3955e-002
9785	-9,2919e-003
9786	-9,774e-003
9787	-1,1923e-002
9788	-8,3508e-003
9789	-1,0609e-002
9790	-8,2301e-003
9791	-5,6788e-003
9792	-7,4439e-003
9793	-4,4992e-003
9794	-4,3742e-003
9795	-6,3892e-003
9796	-4,0419e-003
9797	-5,8921e-003
9798	-3,4903e-003
9799	-4,3518e-003
9800	-2,5986e-003
9801	-3,9428e-003
9802	-2,7012e-003
9803	-2,5905e-003
9804	-3,3555e-003
9805	-3,402e-003
9806	-2,6743e-003
9807	-4,0643e-003
9808	-2,6354e-003
9809	-2,7e-003
9810	-2,2932e-003
9811	-5,5683e-003
9812	-4,7378e-003
9818	-3,052e-003
9819	-3,6054e-003
9820	-2,5414e-003
9821	-4,6191e-003
9822	-3,2343e-003
9823	-5,2923e-003
9824	-2,674e-003
9825	-2,5798e-003
9826	-4,3811e-003
9827	-2,5159e-003
9828	-3,35e-003
9829	-4,2993e-003
9830	-1,0531e-003
9831	-3,7041e-003
9832	-3,0918e-003
9833	-3,0322e-003
9834	-5,0447e-003
9835	-3,2911e-003
9836	-4,9969e-003
9837	-2,9546e-003
9838	-4,6456e-003
9839	-3,6084e-003
9840	-5,3444e-003
9841	-3,3842e-003
9842	-5,3673e-003
9843	-3,6015e-003
9844	-6,3989e-003
9845	-4,0664e-003
9846	-6,7726e-003
9847	-4,7051e-003
9848	-6,5184e-003
9849	-4,6738e-003
9850	-4,0384e-003
9851	-6,4638e-003
9852	-4,7999e-003
9853	-7,8091e-003
9854	-4,757e-003
9855	-6,6571e-003
9856	-4,0613e-003
9857	-6,8603e-003
9858	-4,9483e-003
9859	-7,8692e-003
9860	-4,3239e-003
9861	-7,5128e-003
9862	-5,133e-003
9863	-5,5593e-003
9864	-8,8144e-003
9865	-4,2948e-003
9866	-4,7095e-003
9867	-7,834e-003
9868	-4,5031e-003
9869	-7,0454e-003
9870	-4,4204e-003
9871	-4,386e-003
9872	-5,7889e-003
9873	-4,5417e-003
9874	-8,8022e-003
9875	-5,1347e-003
9876	-8,0447e-003
9877	-5,4009e-003
9878	-7,2522e-003
9879	-5,8971e-003
9880	-5,8617e-003
9881	-8,5026e-003
9882	-4,9932e-003
9883	-4,7423e-003
9884	-6,3361e-003
9885	-2,1526e-003
9886	-1,5958e-003
9887	-1,8166e-003
9888	-2,9812e-003
9889	-1,6372e-003
9890	-1,7147e-003
9891	-3,3812e-003
9892	-1,8828e-003
9893	-3,0834e-003
9894	-1,936e-003
9895	-1,8758e-003
9896	-3,0951e-003
9897	-1,864e-003
9898	-2,2104e-003
9899	-3,4828e-003
9900	-2,3439e-003
9901	-3,3782e-003
9902	-2,6081e-003
9903	-3,7112e-003
9904	-2,9655e-003
9905	-3,8124e-003
9906	-2,8534e-003
9907	-3,1913e-003
9908	-4,9413e-003
9909	-3,3982e-003
9910	-3,8732e-003
9911	-6,1725e-003
9912	-4,5468e-003
9913	-4,8493e-003
9914	-6,6921e-003
9915	-5,1061e-003
9916	-5,3742e-003
9917	-8,0319e-003
9918	-5,2158e-003
9919	-7,2909e-003
9920	-5,7326e-003
9921	-5,7424e-003
9922	-7,4883e-003
9923	-5,388e-003
9924	-7,5271e-003
9925	-5,5288e-003
9926	-9,4085e-003
9927	-7,8068e-003
9928	-1,1826e-002
9929	-9,4169e-003
9930	-1,1998e-002
9931	-9,7e-003
9932	-1,3353e-002
9933	-8,1431e-003
9934	-7,9736e-003
9935	-1,2101e-002
9936	-6,3199e-003
9937	-1,0621e-002
9938	-8,3013e-003
9939	-7,9518e-003
9940	-1,2817e-002
9941	-8,8826e-003
9942	-1,206e-002
9943	-7,8564e-003
9944	-7,6668e-003
9945	-1,2067e-002
9946	-9,2478e-003
9947	-9,0432e-003
9948	-1,325e-002
9949	-1,0235e-002
9950	-6,1645e-003
9951	-1,1816e-002
9952	-1,0024e-002
9953	-1,3424e-002
9954	-7,5996e-003
9955	-7,3279e-003
9956	-1,0986e-002
9957	-1,2751e-002
9958	-7,8739e-003
9959	-7,2194e-003
9960	-1,1948e-002
9961	-8,1714e-003
9962	-8,1746e-003
9963	-5,9238e-003
9964	-9,0393e-003
9965	-6,9176e-003
9966	-6,478e-003
9967	-8,7029e-003
9968	-6,294e-003
9969	-8,0273e-003
9970	-4,9932e-003
9971	-4,9605e-003
9972	-6,9579e-003
9973	-4,2204e-003
9974	-7,8387e-003
9975	-4,0642e-003
9976	-3,8582e-003
9977	-5,8415e-003
9978	-3,4792e-003
9979	-3,8351e-003
9980	-5,0269e-003
9981	-3,303e-003
9982	-4,4628e-003
9983	-3,0997e-003
9984	-4,7286e-003
9985	-3,2376e-003
9986	-3,6454e-003
9987	-2,4434e-003
9988	-2,2571e-003
9989	-3,7243e-003
9990	-2,4551e-003
9991	-2,955e-003
9992	-1,1308e-003
9993	-2,3727e-003
9994	-2,0562e-003
9995	-1,8807e-003
9996	-2,8371e-003
10234	-7,939e-003
10235	-8,8163e-004
10236	-5,0174e-004
10237	-1,2876e-003
10238	-1,183e-002
10239	2,0825e-004
10240	8,4987e-005
10241	6,9338e-004
10242	-3,384e-002
10243	-3,3513e-002
10244	-8,0347e-005
10245	2,6308e-005
10246	-9,2527e-005
10247	3,378e-006
10248	-8,2965e-005
10249	-4,2483e-002
10250	-1,154e-003
10251	-1,0391e-002
10252	-8,5674e-005
10253	-1,2103e-005
10254	-1,156e-003
10255	-7,331e-005
10256	-9,7351e-003
10257	-4,6598e-005
10258	-2,5742e-002
10259	4,08e-004
10260	9,3171e-006
10261	-4,5888e-004
10262	-8,0674e-005
10263	-5,6307e-004
10264	7,1987e-005
10265	-2,0236e-003
10266	-1,8846e-002
10267	-7,8784e-003
10268	-1,5665e-004
10269	-1,5834e-003
10270	-3,1375e-003
10271	-1,3307e-004
10272	-5,9507e-003
10273	-1,4229e-004
10274	9,2791e-005
10275	-6,1844e-005
10276	-1,8827e-004
10277	6,2004e-004
10278	-3,6673e-005
10279	-7,9294e-004
10280	-2,7749e-002
10281	-2,4542e-004
10282	-5,8761e-003
10283	-1,5728e-002
10284	-3,1067e-005
10285	-9,3587e-003
10286	-3,557e-002
10287	-5,5025e-005
10288	-9,9306e-005
10289	-1,9585e-004
10290	-8,1814e-005
10291	6,0812e-004
10292	3,4104e-005
10293	-1,0077e-004
10294	-1,2435e-004
10295	-2,4624e-004
10296	-5,21e-003
10297	-3,017e-006
10298	-1,9526e-004
10299	-9,436e-006
10300	9,3155e-005
10301	-1,9784e-005
10302	-4,7963e-004
10303	-2,9427e-002
10304	-1,3234e-004
10305	-2,172e-002
10306	-1,3159e-003
10307	1,6442e-004
10308	-7,516e-005
10309	-2,6228e-004
10310	-3,3526e-004
10311	2,3583e-004
10312	-3,8704e-004
10313	6,0747e-005
10314	-3,0546e-003
10315	-3,9671e-005
10316	-2,546e-004
10317	-3,4116e-004
10318	-2,0428e-004
10319	-3,8208e-003
10320	-1,2834e-004
10321	-4,8457e-005
10322	-2,8176e-004
10323	5,0825e-005
10324	-2,7694e-002
10325	-4,1284e-003
10326	-1,3987e-003
10327	-4,5975e-002
10328	-6,4423e-005
10329	-2,7643e-004
10330	-1,1677e-004
10331	-6,7232e-005
10332	-4,0811e-005
10333	9,0574e-005
10334	5,5783e-005
10335	-1,169e-002
10336	-2,6206e-003
10337	-1,6147e-004
10338	-1,3963e-004
10339	-1,8401e-004
10340	-3,0139e-004
10341	-8,3928e-004
10342	-1,3405e-003
10343	-4,2562e-003
10344	1,1435e-004
10345	-4,5155e-003
10346	3,2258e-004
10347	-2,9129e-003
10348	-2,9245e-002
10349	-1,2432e-002
10350	-3,8498e-004
10351	-6,6456e-005
10352	-1,4037e-002
10353	-1,1444e-004
10354	-2,135e-005
10355	-2,0846e-005
10356	3,8582e-004
10357	-1,9025e-004
10358	-2,052e-002
10359	-2,1186e-004
10360	-7,4323e-004
10361	-9,9152e-004
10362	-2,2746e-004
10363	-2,0444e-002
10364	-3,0422e-002
10365	-1,7536e-004
10366	-3,8919e-004
10367	-7,0825e-004
10368	-3,8512e-004
10369	-1,196e-004
10370	-3,7227e-004
10371	1,0326e-004
10372	1,434e-004
10373	-1,9173e-002
10374	-3,3113e-004
10375	2,9202e-004
10376	3,7617e-005
10377	6,0067e-005
10378	-1,4299e-004
10379	9,172e-005
10380	-8,1922e-005
10381	-5,7215e-004
10382	-1,0966e-004
10383	-1,8398e-005
10384	-3,8119e-005
10385	-1,4369e-004
10386	-2,4421e-003
10387	-1,2394e-004
10388	-1,0038e-002
10389	2,3977e-004
10390	-7,5576e-004
10391	-1,2399e-003
10392	-2,527e-004
10393	-4,8502e-005
10394	-8,3068e-004
10395	-3,252e-003
10396	-3,2763e-002
10397	9,3169e-005
10398	-2,4155e-004
10399	-1,1699e-003
10400	-3,3517e-003
10401	-3,1702e-004
10402	-3,9036e-003
10403	-2,2983e-003
10404	-6,0771e-003
10405	-5,9756e-003
10406	-1,0737e-002
10407	-1,694e-002
10408	-1,4838e-002
10409	-2,0199e-003
10410	-4,3732e-003
10411	-5,0843e-003
10412	3,1111e-007
10413	8,3701e-005
10414	2,4923e-005
10415	-1,3257e-004
10416	-1,3198e-004
10417	-1,1921e-004
10418	-2,8356e-004
10419	4,87e-005
10420	-2,3774e-004
10421	-3,321e-002
10422	-1,2943e-003
10423	-9,0721e-003
10424	-1,8741e-002
10425	4,2229e-004
10426	-6,2505e-005
10427	-3,3421e-004
10428	-2,577e-004
10429	-4,0799e-003
