0	Time [s]	Pressure sensor 7 (NormX) [MPa]	Pressure sensor 7 (NormY) [MPa]	Pressure sensor 7 (NormZ) [MPa]	Pressure sensor 7 (ShearXY) [MPa]	Pressure sensor 7 (ShearYZ) [MPa]	Pressure sensor 7 (ShearXZ) [MPa]	Pressure sensor 7 (Equivalent (von-Mises)) [MPa]	Pressure sensor 7 (Maximum Principal) [MPa]	Pressure sensor 7 (Middle Principal) [MPa]	Pressure sensor 7 (Minimum Principal) [MPa]	Pressure sensor 7 (Intensity) [MPa] 
1	5,8333e-003	8,3461e-007	8,0995e-007	8,8744e-007	-8,2185e-009	1,31e-005	-3,6253e-006	2,3542e-005	1,4444e-005	8,2863e-007	-1,274e-005	2,7184e-005 
2	1,1667e-002	1,854e-006	1,8025e-006	1,9679e-006	-1,7963e-008	2,8253e-005	-7,9604e-006	5,0841e-005	3,1245e-005	1,8409e-006	-2,7461e-005	5,8706e-005 
3	2,0417e-002	3,2672e-006	3,1818e-006	3,4616e-006	-3,1993e-008	4,9257e-005	-1,4132e-005	8,8758e-005	5,4578e-005	3,2438e-006	-4,7911e-005	1,0249e-004 
4	3,3542e-002	5,4081e-006	5,2797e-006	5,7142e-006	-5,5163e-008	8,0474e-005	-2,3312e-005	1,4512e-004	8,9299e-005	5,3686e-006	-7,8266e-005	1,6757e-004 
5	5,3229e-002	8,8436e-006	8,6666e-006	9,3058e-006	-9,5005e-008	1,2723e-004	-3,7194e-005	2,296e-004	1,4158e-004	8,7785e-006	-1,2354e-004	2,6512e-004 
6	8,276e-002	1,3857e-005	1,3644e-005	1,4499e-005	-1,6686e-007	1,9841e-004	-5,8907e-005	3,5849e-004	2,211e-004	1,3749e-005	-1,9285e-004	4,1395e-004 
7	0,12706	2,1865e-005	2,168e-005	2,2689e-005	-2,9966e-007	3,03e-004	-9,1089e-005	5,4801e-004	3,3867e-004	2,1685e-005	-2,9412e-004	6,3278e-004 
8	0,1935	3,516e-005	3,5193e-005	3,607e-005	-5,6065e-007	4,5917e-004	-1,4055e-004	8,3174e-004	5,1599e-004	3,4849e-005	-4,4442e-004	9,6041e-004 
9	0,25995	4,8686e-005	4,9149e-005	4,9409e-005	-8,9391e-007	6,1373e-004	-1,8983e-004	1,1127e-003	6,9193e-004	4,8222e-005	-5,929e-004	1,2848e-003 
10	0,35962	7,1775e-005	7,3263e-005	7,1806e-005	-1,5342e-006	8,4392e-004	-2,6476e-004	1,532e-003	9,5739e-004	7,1032e-005	-8,1158e-004	1,769e-003 
11	0,50912	1,0691e-004	1,1077e-004	1,0478e-004	-2,7986e-006	1,1849e-003	-3,7643e-004	2,1534e-003	1,3516e-003	1,0565e-004	-1,1348e-003	2,4865e-003 
12	0,67578	1,5034e-004	1,5797e-004	1,4444e-004	-4,6238e-006	1,558e-003	-4,9979e-004	2,834e-003	1,7884e-003	1,4837e-004	-1,484e-003	3,2724e-003 
13	0,84245	1,95e-004	2,0757e-004	1,8374e-004	-6,8904e-006	1,9279e-003	-6,2267e-004	3,5091e-003	2,2231e-003	1,9215e-004	-1,8289e-003	4,052e-003 
14	1,	2,4111e-004	2,5928e-004	2,2369e-004	-9,3673e-006	2,2679e-003	-7,3511e-004	4,1295e-003	2,6275e-003	2,3734e-004	-2,1408e-003	4,7683e-003 
