Node Number	Normal Stress (MPa)
11327	-2,8845e-003
11333	-1,9103e-003
11339	-2,8483e-003
11340	-2,3301e-003
11341	-2,0218e-003
11342	-2,4842e-003
11343	-3,4296e-003
11344	-1,5933e-003
11345	-2,7837e-003
11346	-1,5231e-003
11347	-1,569e-003
11348	-2,2365e-003
11349	-2,2041e-003
11350	-1,3819e-003
11351	-1,5783e-003
11352	-2,1055e-003
11353	-1,435e-003
11354	-2,2553e-003
11355	-1,4469e-003
11356	-2,737e-003
11357	-1,6572e-003
11358	-1,296e-003
11359	-2,0492e-003
11360	-1,6643e-003
11361	-1,5379e-003
11362	-2,1408e-003
11363	-1,6249e-003
11364	-1,6651e-003
11365	-2,2442e-003
11366	-1,748e-003
11367	-2,7884e-003
11368	-1,5987e-003
11369	-2,2019e-003
11370	-1,5102e-003
11371	-1,6613e-003
11372	-3,1066e-003
11373	-1,674e-003
11374	-2,3129e-003
11375	-1,5733e-003
11376	-2,6557e-003
11377	-2,2701e-003
11378	-1,8036e-003
11379	-2,6264e-003
11380	-1,3085e-003
11381	-2,4772e-003
11382	-1,6343e-003
11383	-1,5653e-003
11384	-2,1506e-003
11385	-1,5674e-003
11386	-2,2581e-003
11387	-1,2714e-003
11388	-2,1234e-003
11389	-1,5189e-003
11390	-2,1026e-003
11391	-1,4355e-003
11392	-1,5571e-003
11393	-2,2645e-003
11394	-1,5888e-003
11395	-2,2379e-003
11396	-1,364e-003
11397	-2,2457e-003
11398	-1,4552e-003
11399	-1,3594e-003
11400	-2,3454e-003
11401	-1,5345e-003
11402	-2,6341e-003
11403	-1,6431e-003
11404	-1,5059e-003
11405	-2,1224e-003
11406	-1,8253e-002
11412	-6,5269e-003
11413	-8,0268e-003
11414	-8,1404e-003
11415	-8,0502e-003
11416	-8,0376e-003
11417	-9,6185e-003
11418	-4,3481e-003
11419	-7,7823e-003
11420	-1,0577e-002
11421	-8,05e-003
11422	-7,6969e-003
11423	-1,0248e-002
11424	-9,0635e-003
11425	-7,5427e-003
11426	-1,1982e-002
11427	-8,7765e-003
11428	-1,3523e-002
11429	-8,6238e-003
11430	-1,511e-002
11431	-9,1236e-003
11432	-1,3233e-002
11433	-9,7052e-003
11434	-1,0084e-002
11435	-1,8568e-002
11436	-1,5025e-002
11437	-1,7532e-002
11438	-2,4971e-002
11439	-1,8593e-002
11440	-1,6116e-002
11441	-1,5924e-002
11442	-1,7795e-002
11443	-1,8789e-002
11444	-2,5527e-002
11445	-1,398e-002
11446	-2,5951e-002
11447	-2,3944e-002
11448	-1,5634e-002
11449	-3,1516e-002
11450	-1,952e-002
11451	-2,0278e-002
11452	-3,4413e-002
11453	-2,1068e-002
11454	-1,9777e-002
11455	-3,8173e-002
11456	-2,1199e-002
11457	-1,9823e-002
11458	-2,9631e-002
11459	-1,9523e-002
11460	-2,7298e-002
11461	-1,7732e-002
11462	-2,9153e-002
11463	-1,8022e-002
11464	-2,044e-002
11465	-1,3816e-002
11466	-1,5365e-002
11467	-2,3683e-002
11468	-1,1678e-002
11469	-1,4334e-002
11470	-1,5662e-002
11471	-1,3426e-002
11472	-1,303e-002
11473	-1,9464e-002
11474	-1,1953e-002
11475	-1,7115e-002
11476	-1,1034e-002
11477	-1,0289e-002
11478	-1,3461e-002
11479	-7,7946e-003
11480	-1,1928e-002
11481	-8,2015e-003
11482	-1,0789e-002
11483	-6,0889e-003
11484	-8,3754e-003
11485	-6,6119e-003
