Node Number	LOC_DEFX ()
1	2,4983
2	2,5851
3	1,5789
4	0,73955
5	4,7287e-002
6	-0,44278
7	-0,69161
8	-0,67937
9	-0,40703
10	0,1037
11	0,81213
12	1,6618
13	2,5851
14	2,5851
15	2,5851
16	2,5851
17	2,5851
18	2,3912
19	1,4373
20	0,50279
21	-0,39673
22	-1,2461
23	-2,031
24	-2,7382
25	-3,3558
26	-3,8735
27	-4,2825
28	-4,576
29	-4,749
30	-4,7985
31	-4,7239
32	-4,5262
33	-4,2089
34	-3,7773
35	-3,2387
36	-2,602
37	-1,8781
38	-1,079
39	-0,21836
40	0,68949
41	1,6292
42	2,4769
43	2,4555
44	2,4341
45	2,4126
46	2,5851
47	2,5851
48	2,5851
49	2,5851
50	2,5851
51	2,5851
52	2,5851
53	2,5851
54	2,5851
55	2,5851
56	2,5851
57	2,5851
58	2,5851
59	2,5851
60	2,5851
61	2,5851
62	2,5851
63	2,5851
64	2,5851
65	2,5851
66	2,3912
67	2,3912
68	2,3912
69	2,3912
70	2,3912
71	2,4983
72	2,401
73	2,4107
74	2,4204
75	2,4302
76	2,4399
77	2,4496
78	2,4594
79	2,4691
80	2,4789
81	2,4886
82	2,4983
83	2,4983
84	2,4983
85	2,4983
86	2,1886
87	1,7933
88	1,4003
89	1,0107
90	0,62568
91	0,24628
92	-0,12638
93	-0,49121
94	-0,84717
95	-1,1932
96	-1,5284
97	-1,8517
98	-2,1622
99	-2,459
100	-2,7413
101	-3,0082
102	-3,2589
103	-3,4928
104	-3,7092
105	-3,9074
106	-4,0869
107	-4,2472
108	-4,3877
109	-4,5081
110	-4,6081
111	-4,6873
112	-4,7456
113	-4,7827
114	-4,7985
115	-4,7931
116	-4,7664
117	-4,7184
118	-4,6494
119	-4,5596
120	-4,4491
121	-4,3184
122	-4,1677
123	-3,9975
124	-3,8084
125	-3,6008
126	-3,3754
127	-3,1328
128	-2,8737
129	-2,5988
130	-2,309
131	-2,0051
132	-1,688
133	-1,3585
134	-1,0176
135	-0,66638
136	-0,30575
137	6,3216e-002
138	0,43946
139	0,82188
140	1,2094
141	1,6009
142	1,9952
143	2,1042
144	1,7169
145	1,3421
146	0,98506
147	0,651
148	0,34468
149	7,0481e-002
150	-0,16766
151	-0,36632
152	-0,52266
153	-0,63444
154	-0,70005
155	-0,71855
156	-0,68968
157	-0,61385
158	-0,49215
159	-0,32632
160	-0,11874
161	0,12761
162	0,4092
163	0,72199
164	1,0615
165	1,4228
166	1,8009
167	2,1901
168	0,41593
169	2,4653
170	2,3705
171	2,2245
172	2,0375
173	1,8178
174	1,5717
175	1,3042
176	1,0195
177	0,72196
178	0,62378
179	0,83941
180	1,0608
181	1,2852
182	1,5089
183	1,7266
184	1,9314
185	2,1135
186	2,2603
187	2,3572
188	0,54489
189	0,19068
190	-0,15081
191	-0,47779
192	-0,78851
193	-1,0813
194	-1,3547
195	-1,6071
196	-1,8373
197	-2,044
198	-2,2261
199	-2,3827
200	-2,513
201	-2,6161
202	-2,6917
203	-2,7393
204	-2,7586
205	-2,7495
206	-2,7121
207	-2,6466
208	-2,5533
209	-2,4327
210	-2,2856
211	-2,1125
212	-1,9145
213	-1,6927
214	-1,4481
215	-1,1821
216	-0,89615
217	-0,5917
218	-0,27038
219	6,6089e-002
220	2,5528
221	2,4604
222	2,3179
223	2,1352
224	1,9203
225	1,6793
226	1,4171
227	1,1378
228	0,84563
229	0,76104
230	0,98477
231	1,214
232	1,446
233	1,6769
234	1,9014
235	2,1122
236	2,2996
237	2,4505
238	2,5501
239	1,8894
240	2,1534
241	1,81
242	2,0961
243	1,6011
244	1,4048
245	1,7026
246	1,2361
247	1,4868
248	1,0635
249	1,2811
250	0,87153
251	1,0499
252	0,65286
253	0,81901
