Node Number	LOC_DEFY (mm)
1	5,4859
2	9,7979
3	6,3268
4	7,2994
5	8,261
6	9,0705
7	9,6091
8	13,245
9	10,66
10	11,521
11	12,383
12	3,1573
13	3,9426
14	4,8172
15	5,7573
16	6,7374
17	7,7307
18	8,7103
19	9,6494
20	10,522
21	11,306
22	11,978
23	12,521
24	12,919
25	13,163
26	4,9037
27	4,3216
28	3,7394
29	9,7979
30	9,7979
31	9,7979
32	9,7979
33	9,7979
34	9,7979
35	13,245
36	10,181
37	10,564
38	10,947
39	11,33
40	11,713
41	12,096
42	12,479
43	12,862
44	13,245
45	13,245
46	13,245
47	13,245
48	13,245
49	3,1573
50	3,1573
51	3,1573
52	3,1573
53	3,1573
54	3,1573
55	5,4859
56	3,416
57	3,6748
58	3,9335
59	4,1922
60	4,4509
61	4,7097
62	4,9684
63	5,2271
64	5,4859
65	5,4859
66	5,4859
67	5,4859
68	5,4859
69	13,232
70	13,192
71	13,127
72	13,036
73	12,919
74	12,778
75	12,612
76	12,423
77	12,212
78	11,978
79	11,724
80	11,45
81	11,157
82	10,848
83	10,522
84	10,183
85	9,8301
86	9,466
87	9,0922
88	8,7103
89	8,3218
90	7,9286
91	7,5323
92	7,1347
93	6,7374
94	6,3423
95	5,951
96	5,5653
97	5,1868
98	4,8172
99	4,4581
100	4,1111
101	3,7777
102	3,4593
103	5,7979
104	6,1437
105	6,5152
106	6,9035
107	7,2994
108	7,6935
109	8,0765
110	8,4393
111	8,7732
112	9,0705
113	9,3239
114	9,5275
115	9,6766
116	9,7674
117	5,8361
118	5,4887
119	5,4989
120	5,5199
121	5,5544
122	5,6038
123	5,668
124	5,7461
125	5,4523
126	5,068
127	4,6878
128	4,3181
129	3,9686
130	3,6538
131	3,3949
132	3,2199
133	11,161
134	10,984
135	10,774
136	10,534
137	10,266
138	9,9708
139	9,6522
140	9,3127
141	8,9552
142	8,5827
143	8,1985
144	7,8058
145	7,4082
146	7,009
147	6,6116
148	6,2195
149	9,8396
150	9,953
151	10,115
152	10,307
153	10,515
154	10,73
155	10,947
156	11,487
157	11,802
158	12,105
159	12,392
160	12,656
161	12,888
162	13,076
163	13,201
164	3,6085
165	13,163
166	3,7248
167	13,047
168	3,9818
169	12,921
170	4,3215
171	12,677
172	4,6942
173	12,416
174	5,0026
175	12,128
176	5,3542
177	11,814
178	5,706
179	11,459
180	13,175
181	13,129
182	13,024
183	12,926
184	12,799
185	12,643
186	12,472
187	12,279
188	12,059
189	11,816
190	11,553
191	11,269
192	10,967
193	10,65
194	10,32
195	9,9781
196	9,6216
197	9,254
198	8,8779
199	8,4925
200	8,1033
201	7,7108
202	7,3161
203	6,9196
204	6,5217
205	6,1322
206	5,7536
207	5,3826
208	5,0102
209	4,643
210	4,2503
211	3,8616
212	3,5729
213	11,156
214	10,91
215	10,645
216	10,346
217	10,019
218	9,6655
219	9,2915
220	8,901
221	8,4947
222	8,0764
223	7,6613
224	7,2311
225	6,806
226	6,42
227	6,0548
228	11,457
229	3,9348
230	13,097
231	4,2861
232	12,882
233	4,7014
234	12,66
235	4,9639
236	12,414
237	5,2865
238	12,132
239	5,6307
240	11,821
241	5,9124
242	13,032
243	12,834
244	12,731
245	12,59
246	12,436
247	12,262
248	12,062
249	11,841
250	11,59
251	11,326
252	11,034
253	10,723
254	10,409
255	10,079
256	9,7488
257	9,3785
258	9,0251
259	8,64
260	8,2579
261	7,8768
262	7,4901
263	7,105
264	6,6981
265	6,303
266	5,9487
267	5,5908
268	5,248
269	4,8702
270	4,5376
271	11,49
272	11,301
273	11,026
274	10,734
275	10,414
276	10,055
277	9,6685
278	9,2517
279	8,8205
280	8,3853
281	7,9546
282	7,496
283	7,0512
284	6,6278
285	6,2227
286	11,801
287	5,1556
288	12,604
289	12,376
290	5,5603
291	12,158
292	5,9583
293	12,324
294	12,162
295	11,976
296	11,792
297	11,611
298	11,324
299	11,087
300	10,741
301	10,43
302	10,175
303	9,8227
304	9,51
305	9,1394
306	8,7965
307	8,4023
308	7,9923
309	7,6739
310	7,3132
311	6,8881
312	6,4637
313	6,0793
314	5,7931
315	5,5246
316	11,756
317	11,105
318	10,813
319	10,479
320	10,06
321	9,6477
322	9,1544
323	8,7463
324	8,3018
325	7,7975
326	7,3148
327	6,8594
328	12,462
329	12,055
330	11,396
331	6,4221
332	5,839
333	11,454
334	10,945
335	10,37
336	10,09
337	9,414
338	8,7494
339	8,0393
340	7,6902
341	7,0187
342	6,7291
343	11,146
344	9,0454
345	6,1493
346	11,693
347	5,757
348	9,7892
349	5,8209
350	9,9277
351	5,8722
352	10,078
353	5,9346
354	10,187
355	6,0132
356	10,359
357	6,0766
358	10,604
359	6,0309
360	6,3817
361	6,7785
362	7,1724
363	7,5445
364	7,9208
365	8,2954
366	8,6479
367	8,9658
368	9,2533
369	9,5273
370	9,6593
371	10,5
372	10,274
373	10,141
374	9,8334
375	9,5353
376	9,3102
377	8,9656
378	8,5723
379	8,2892
380	7,9296
381	7,4852
382	7,1778
383	6,8118
384	6,4485
385	6,1437
386	10,716
387	9,7489
388	6,1685
389	9,9093
390	6,1871
391	6,3536
392	10,062
393	6,4818
394	10,288
