Node Number	LOC_DEFX ()
1	10,811
2	10,804
3	10,782
4	10,746
5	10,696
6	10,631
7	10,552
8	10,459
9	10,352
10	10,231
11	10,096
12	9,9478
13	9,7863
14	9,6116
15	9,4241
16	9,2239
17	9,0113
18	8,7867
19	8,5503
20	8,3024
21	8,0433
22	7,7734
23	7,4931
24	7,2027
25	6,9026
26	6,5931
27	6,2748
28	5,948
29	5,6131
30	5,2706
31	4,921
32	4,5647
33	4,2021
34	3,8338
35	3,4603
36	3,082
37	2,6994
38	2,313
39	1,9234
40	1,5311
41	1,1365
42	0,74021
43	0,34275
44	-5,5371e-002
45	-0,45362
46	-0,85147
47	-1,2484
48	-1,6439
49	-2,0374
50	-2,4285
51	-2,8165
52	-3,2011
53	-3,5816
54	-3,9576
55	-4,3286
56	-4,694
57	-5,0535
58	-5,4066
59	-5,7527
60	-6,0914
61	-6,4223
62	-6,7449
63	-7,0589
64	-7,3637
65	-7,659
66	-7,9444
67	-8,2196
68	-8,4841
69	-8,7376
70	-8,9798
71	-9,2104
72	-9,429
73	-9,6354
74	-9,8293
75	-10,01
76	-10,179
77	-10,333
78	-10,475
79	-10,603
80	-10,717
81	-10,817
82	-10,903
83	-10,975
84	-11,033
85	-11,076
86	-11,105
87	-11,119
88	-11,119
89	-11,105
90	-11,076
91	-11,033
92	-10,975
93	-10,903
94	-10,817
95	-10,717
96	-10,603
97	-10,475
98	-10,333
99	-10,179
100	-10,01
101	-9,8293
102	-9,6354
103	-9,429
104	-9,2104
105	-8,9798
106	-8,7376
107	-8,4841
108	-8,2196
109	-7,9444
110	-7,659
111	-7,3637
112	-7,0589
113	-6,7449
114	-6,4223
115	-6,0914
116	-5,7527
117	-5,4066
118	-5,0535
119	-4,694
120	-4,3286
121	-3,9576
122	-3,5816
123	-3,2011
124	-2,8165
125	-2,4285
126	-2,0374
127	-1,6439
128	-1,2484
129	-0,85147
130	-0,45362
131	-5,5371e-002
132	0,34275
133	0,74021
134	1,1365
135	1,5311
136	1,9234
137	2,313
138	2,6994
139	3,082
140	3,4603
141	3,8338
142	4,2021
143	4,5647
144	4,921
145	5,2706
146	5,6131
147	5,948
148	6,2748
149	6,5931
150	6,9026
151	7,2027
152	7,4931
153	7,7734
154	8,0433
155	8,3024
156	8,5503
157	8,7867
158	9,0113
159	9,2239
160	9,4241
161	9,6116
162	9,7863
163	9,9478
164	10,096
165	10,231
166	10,352
167	10,459
168	10,552
169	10,631
170	10,696
171	10,746
172	10,782
173	10,804
174	10,811
175	10,766
176	10,63
177	10,405
178	10,092
179	9,6942
180	9,2149
181	8,6579
182	8,028
183	7,3302
184	6,5703
185	5,7548
186	4,8903
187	3,984
188	3,0433
189	2,0762
190	1,0906
191	9,4688e-002
192	-0,90331
193	-1,8951
194	-2,8725
195	-3,8273
196	-4,7518
197	-5,6381
198	-6,479
199	-7,2675
200	-7,9971
201	-8,6616
202	-9,2557
203	-9,7744
204	-10,213
205	-10,569
206	-10,838
207	-11,019
208	-11,11
209	-11,11
210	-11,019
211	-10,838
212	-10,569
213	-10,213
214	-9,7744
215	-9,2557
216	-8,6616
217	-7,9971
218	-7,2675
219	-6,479
220	-5,6381
221	-4,7518
222	-3,8273
223	-2,8725
224	-1,8951
225	-0,90331
226	9,4688e-002
227	1,0906
228	2,0762
229	3,0433
230	3,984
231	4,8903
232	5,7548
233	6,5703
234	7,3302
235	8,028
236	8,6579
237	9,2149
238	9,6942
239	10,092
240	10,405
241	10,63
242	10,766
243	4,8838
244	4,787
245	4,5002
246	4,0346
247	3,408
248	2,6444
249	1,7733
250	0,82807
251	-0,15494
252	-1,138
253	-2,0832
254	-2,9543
255	-3,7179
256	-4,3445
257	-4,8101
258	-5,0969
259	-5,1937
260	-5,0969
261	-4,8101
262	-4,3445
263	-3,7179
264	-2,9543
265	-2,0832
266	-1,138
267	-0,15494
268	0,82807
269	1,7733
270	2,6444
271	3,408
272	4,0346
273	4,5002
274	4,787
275	4,8838
276	4,8683
277	4,8218
278	4,7446
279	4,6372
280	4,5002
281	4,3346
282	4,1413
283	3,9215
284	3,6765
285	3,408
286	3,1175
287	2,8068
288	2,4778
289	2,1326
290	1,7733
291	1,4021
292	1,0213
293	0,63329
294	0,24039
295	-0,15494
296	-0,55028
297	-0,94317
298	-1,3312
299	-1,712
300	-2,0832
301	-2,4425
302	-2,7877
303	-3,1166
304	-3,4273
305	-3,7179
306	-3,9864
307	-4,2314
308	-4,4512
309	-4,6445
310	-4,8101
311	-4,9471
312	-5,0545
313	-5,1316
314	-5,1781
315	-5,1937
316	-5,1781
317	-5,1316
318	-5,0545
319	-4,9471
320	-4,8101
321	-4,6445
322	-4,4512
323	-4,2314
324	-3,9864
325	-3,7179
326	-3,4273
327	-3,1166
328	-2,7877
329	-2,4425
330	-2,0832
331	-1,712
332	-1,3312
333	-0,94317
334	-0,55028
335	-0,15494
336	0,24039
337	0,63329
338	1,0213
339	1,4021
340	1,7733
341	2,1326
342	2,4778
343	2,8068
344	3,1175
345	3,408
346	3,6765
347	3,9215
348	4,1413
349	4,3346
350	4,5002
351	4,6372
352	4,7446
353	4,8218
354	4,8683
355	7,8476
356	7,8376
357	7,8078
358	7,7582
359	7,6889
360	7,6001
361	7,4921
362	7,365
363	7,2192
364	7,0551
365	6,8731
366	6,6736
367	6,4571
368	6,2241
369	5,9754
370	5,7113
371	5,4327
372	5,1402
373	4,8346
374	4,5165
375	4,1868
376	3,8463
377	3,4959
378	3,1364
379	2,7687
380	2,3938
381	2,0125
382	1,6258
383	1,2347
384	0,84012
385	0,44309
386	4,4568e-002
387	-0,35445
388	-0,75297
389	-1,15
390	-1,5446
391	-1,9357
392	-2,3224
393	-2,7036
394	-3,0786
395	-3,4463
396	-3,8058
397	-4,1562
398	-4,4967
399	-4,8264
400	-5,1444
401	-5,4501
402	-5,7426
403	-6,0212
404	-6,2852
405	-6,534
406	-6,7669
407	-6,9834
408	-7,1829
409	-7,365
410	-7,5291
411	-7,6749
412	-7,8019
413	-7,91
414	-7,9988
415	-8,0681
416	-8,1177
417	-8,1475
418	-8,1575
419	-8,1475
420	-8,1177
421	-8,0681
422	-7,9988
423	-7,91
424	-7,8019
425	-7,6749
426	-7,5291
427	-7,365
428	-7,1829
429	-6,9834
430	-6,7669
431	-6,534
432	-6,2852
433	-6,0212
434	-5,7426
435	-5,4501
436	-5,1444
437	-4,8264
438	-4,4967
439	-4,1562
440	-3,8058
441	-3,4463
442	-3,0786
443	-2,7036
444	-2,3224
445	-1,9357
446	-1,5446
447	-1,15
448	-0,75297
449	-0,35445
450	4,4568e-002
451	0,44309
452	0,84012
453	1,2347
454	1,6258
455	2,0125
456	2,3938
457	2,7687
458	3,1364
459	3,4959
460	3,8463
461	4,1868
462	4,5165
463	4,8346
464	5,1402
465	5,4327
466	5,7113
467	5,9754
468	6,2241
469	6,4571
470	6,6736
471	6,8731
472	7,0551
473	7,2192
474	7,365
475	7,4921
476	7,6001
477	7,6889
478	7,7582
479	7,8078
480	7,8376
481	10,789
482	10,775
483	10,746
484	10,703
485	10,645
486	10,574
487	10,488
488	10,388
489	10,274
490	10,146
491	10,005
492	9,8503
493	9,6825
494	9,5017
495	9,3082
496	9,1022
497	8,8839
498	8,6538
499	8,412
500	8,159
501	7,8949
502	7,6203
503	7,3354
504	7,0406
505	6,7363
506	6,423
507	6,1009
508	5,7706
509	5,4325
510	5,0871
511	4,7347
512	4,3758
513	4,011
514	3,6407
515	3,2654
516	2,8856
