Node Number	Normal Stress (MPa)
15593	-1,4574e-002
15599	-1,3854e-002
15605	-9,3306e-003
15606	-1,0404e-002
15607	-1,0024e-002
15608	-1,2118e-002
15609	-1,8392e-002
15610	-8,789e-003
15611	-1,4323e-002
15612	-1,0386e-002
15613	-9,7716e-003
15614	-1,9206e-002
15615	-1,3047e-002
15616	-1,8238e-002
15617	-8,663e-003
15618	-1,3525e-002
15619	-9,9667e-003
15620	-1,3603e-002
15621	-1,0711e-002
15622	-1,6793e-002
15623	-1,0655e-002
15624	-1,0002e-002
15625	-1,7867e-002
15626	-7,9304e-003
15627	-1,3146e-002
15628	-1,7997e-002
15629	-1,2301e-002
15630	-1,1928e-002
15631	-1,7179e-002
15632	-1,1241e-002
15633	-1,9526e-002
15634	-1,0914e-002
15635	-1,7585e-002
15636	-1,1443e-002
15637	-1,2383e-002
15638	-2,014e-002
15639	-1,2532e-002
15640	-1,6566e-002
15641	-1,1049e-002
15642	-2,1639e-002
15643	-1,3026e-002
15644	-1,3014e-002
15645	-2,0227e-002
15646	-1,0273e-002
15647	-1,6735e-002
15648	-1,073e-002
15649	-1,097e-002
15650	-1,5313e-002
15651	-9,9861e-003
15652	-1,4182e-002
15653	-6,6427e-003
15654	-1,2156e-002
15655	-9,5153e-003
15656	-1,0778e-002
15657	-6,1743e-003
15658	-7,1531e-003
15659	-8,748e-003
15660	-6,2237e-003
15661	-1,0503e-002
15662	-6,6853e-003
15663	-9,6866e-003
15664	-6,6339e-003
15665	-7,0148e-003
15666	-9,9524e-003
15667	-6,7352e-003
15668	-1,2102e-002
15669	-8,698e-003
15670	-6,8432e-003
15671	-8,8127e-003
15672	-1,7649e-003
15678	-9,6311e-004
15679	-8,5061e-004
15680	-8,5147e-004
15681	-1,1498e-003
15682	-1,e-003
15683	-7,1896e-004
15684	-9,3507e-004
15685	-7,6997e-004
15686	-1,1516e-003
15687	-8,91e-004
15688	-8,6686e-004
15689	-1,5089e-003
15690	-1,0004e-003
15691	-8,8546e-004
15692	-1,3124e-003
15693	-9,9264e-004
15694	-1,7845e-003
15695	-1,2942e-003
15696	-1,8787e-003
15697	-1,3696e-003
15698	-1,8688e-003
15699	-1,6535e-003
15700	-1,8195e-003
15701	-3,4151e-003
15702	-2,1245e-003
15703	-2,2499e-003
15704	-3,5194e-003
