0	Time [s]	Pressure sensor 19 (NormX) [MPa]	Pressure sensor 19 (NormY) [MPa]	Pressure sensor 19 (NormZ) [MPa]	Pressure sensor 19 (ShearXY) [MPa]	Pressure sensor 19 (ShearYZ) [MPa]	Pressure sensor 19 (ShearXZ) [MPa]	Pressure sensor 19 (Equivalent (von-Mises)) [MPa]	Pressure sensor 19 (Maximum Principal) [MPa]	Pressure sensor 19 (Middle Principal) [MPa]	Pressure sensor 19 (Minimum Principal) [MPa]	Pressure sensor 19 (Intensity) [MPa] 
1	1,6667e-002	-1,4265e-004	-1,4273e-004	-1,4855e-004	-1,0622e-007	1,0301e-004	1,0016e-004	2,4892e-004	-1,9679e-006	-1,4258e-004	-2,8938e-004	2,8741e-004 
2	3,3333e-002	-2,9136e-004	-2,9152e-004	-3,0372e-004	-1,1938e-007	2,0905e-004	2,039e-004	5,0595e-004	-5,5574e-006	-2,9132e-004	-5,8973e-004	5,8417e-004 
3	5,8333e-002	-5,0924e-004	-5,0951e-004	-5,3162e-004	4,6564e-008	3,6604e-004	3,5446e-004	8,8282e-004	-1,0822e-005	-5,0942e-004	-1,0301e-003	1,0193e-003 
4	9,5833e-002	-8,3533e-004	-8,3572e-004	-8,7391e-004	6,9449e-007	6,0146e-004	5,8108e-004	1,449e-003	-1,7838e-005	-8,3621e-004	-1,6909e-003	1,6731e-003 
5	0,15208	-1,3294e-003	-1,3299e-003	-1,3953e-003	2,5827e-006	9,5522e-004	9,2406e-004	2,3029e-003	-3,1717e-005	-1,3322e-003	-2,6907e-003	2,6589e-003 
6	0,23646	-2,0611e-003	-2,0616e-003	-2,1735e-003	7,4281e-006	1,4832e-003	1,4329e-003	3,5738e-003	-5,0583e-005	-2,0688e-003	-4,1769e-003	4,1263e-003 
7	0,36302	-3,1614e-003	-3,1619e-003	-3,3578e-003	1,928e-005	2,2756e-003	2,2014e-003	5,4875e-003	-8,2121e-005	-3,1809e-003	-6,4181e-003	6,3359e-003 
8	0,52969	-4,5827e-003	-4,5824e-003	-4,9128e-003	4,2953e-005	3,3096e-003	3,2004e-003	7,9814e-003	-1,1851e-004	-4,6255e-003	-9,3339e-003	9,2154e-003 
9	0,69635	-5,9768e-003	-5,9753e-003	-6,4672e-003	7,578e-005	4,339e-003	4,1975e-003	1,0469e-002	-1,3998e-004	-6,0518e-003	-1,2227e-002	1,2087e-002 
10	0,86302	-7,3709e-003	-7,3676e-003	-8,0499e-003	1,1797e-004	5,3696e-003	5,1962e-003	1,2962e-002	-1,6781e-004	-7,4872e-003	-1,5133e-002	1,4966e-002 
11	1,	-8,491e-003	-8,4857e-003	-9,3435e-003	1,591e-004	6,2093e-003	6,0068e-003	1,4991e-002	-1,8223e-004	-8,6475e-003	-1,7491e-002	1,7308e-002 
