Node Number	LOC_DEFX ()
1	6,2599
2	6,249
3	6,2163
4	6,162
5	6,0862
6	5,989
7	5,8709
8	5,7322
9	5,5732
10	5,3945
11	5,1965
12	4,98
13	4,7454
14	4,4936
15	4,2253
16	3,9412
17	3,6422
18	3,3293
19	3,0033
20	2,6652
21	2,3161
22	1,9569
23	1,5888
24	1,2128
25	0,83007
26	0,44176
27	4,9003e-002
28	-0,34701
29	-0,74511
30	-1,1441
31	-1,5428
32	-1,94
33	-2,3345
34	-2,7252
35	-3,1109
36	-3,4904
37	-3,8626
38	-4,2264
39	-4,5806
40	-4,9244
41	-5,2565
42	-5,5761
43	-5,8822
44	-6,1738
45	-6,4501
46	-6,7103
47	-6,9536
48	-7,1792
49	-7,3865
50	-7,5749
51	-7,7439
52	-7,8928
53	-8,0212
54	-8,1289
55	-8,2154
56	-8,2805
57	-8,324
58	-8,3458
59	-8,3458
60	-8,324
61	-8,2805
62	-8,2154
63	-8,1289
64	-8,0212
65	-7,8928
66	-7,7439
67	-7,5749
68	-7,3865
69	-7,1792
70	-6,9536
71	-6,7103
72	-6,4501
73	-6,1738
74	-5,8822
75	-5,5761
76	-5,2565
77	-4,9244
78	-4,5806
79	-4,2264
80	-3,8626
81	-3,4904
82	-3,1109
83	-2,7252
84	-2,3345
85	-1,94
86	-1,5428
87	-1,1441
88	-0,74511
89	-0,34701
90	4,9003e-002
91	0,44176
92	0,83007
93	1,2128
94	1,5888
95	1,9569
96	2,3161
97	2,6652
98	3,0033
99	3,3293
100	3,6422
101	3,9412
102	4,2253
103	4,4936
104	4,7454
105	4,98
106	5,1965
107	5,3945
108	5,5732
109	5,7322
110	5,8709
111	5,989
112	6,0862
113	6,162
114	6,2163
115	6,249
116	6,2599
117	6,1919
118	5,989
119	5,6552
120	5,1965
121	4,6216
122	3,9412
123	3,1679
124	2,3161
125	1,4017
126	0,44176
127	-0,54587
128	-1,5428
129	-2,5304
130	-3,4904
131	-4,4048
132	-5,2565
133	-6,0299
134	-6,7103
135	-7,2852
136	-7,7438
137	-8,0777
138	-8,2805
139	-8,3486
140	-8,2805
141	-8,0777
142	-7,7438
143	-7,2852
144	-6,7103
145	-6,0299
146	-5,2565
147	-4,4048
148	-3,4904
149	-2,5304
150	-1,5428
151	-0,54587
152	0,44176
153	1,4017
154	2,3161
155	3,1679
156	3,9412
157	4,6216
158	5,1965
159	5,6552
160	5,989
161	6,1919
162	2,365
163	2,2269
164	1,8237
165	1,1883
166	0,37194
167	-0,55914
168	-1,5295
169	-2,4606
170	-3,2769
171	-3,9124
172	-4,3155
