0	Time [s]	Pressure sensor 33 (NormX) [MPa]	Pressure sensor 33 (NormY) [MPa]	Pressure sensor 33 (NormZ) [MPa]	Pressure sensor 33 (ShearXY) [MPa]	Pressure sensor 33 (ShearYZ) [MPa]	Pressure sensor 33 (ShearXZ) [MPa]	Pressure sensor 33 (Equivalent (von-Mises)) [MPa]	Pressure sensor 33 (Maximum Principal) [MPa]	Pressure sensor 33 (Middle Principal) [MPa]	Pressure sensor 33 (Minimum Principal) [MPa]	Pressure sensor 33 (Intensity) [MPa] 
1	1,6667e-002	-4,815e-007	-5,0478e-007	-5,0265e-007	6,3546e-011	-1,814e-005	2,1422e-006	3,1638e-005	1,7763e-005	-4,818e-007	-1,877e-005	3,6533e-005 
2	3,3333e-002	-9,2241e-007	-9,6589e-007	-9,6668e-007	-2,8931e-010	-3,6587e-005	4,3258e-006	6,3812e-005	3,5876e-005	-9,2307e-007	-3,7808e-005	7,3684e-005 
3	5,8333e-002	-1,6211e-006	-1,6897e-006	-1,7076e-006	-1,6133e-009	-6,4237e-005	7,5621e-006	1,1203e-004	6,2982e-005	-1,6224e-006	-6,6378e-005	1,2936e-004 
4	9,5833e-002	-2,5123e-006	-2,6045e-006	-2,6705e-006	-5,3318e-009	-1,0569e-004	1,2453e-005	1,8432e-004	1,0378e-004	-2,5148e-006	-1,0905e-004	2,1284e-004 
5	0,15208	-3,5916e-006	-3,6871e-006	-3,8795e-006	-1,4643e-008	-1,6716e-004	1,9663e-005	2,9153e-004	1,6453e-004	-3,5963e-006	-1,7209e-004	3,3663e-004 
6	0,23646	-5,4973e-006	-5,5288e-006	-6,0661e-006	-3,7814e-008	-2,6039e-004	3,0667e-005	4,5413e-004	2,564e-004	-5,5065e-006	-2,6799e-004	5,2438e-004 
7	0,36302	-7,3549e-006	-7,1349e-006	-8,4656e-006	-9,1172e-008	-3,9845e-004	4,6728e-005	6,9486e-004	3,9339e-004	-7,373e-006	-4,0897e-004	8,0236e-004 
8	0,52969	-9,7586e-006	-8,9231e-006	-1,1881e-005	-1,9761e-007	-5,8017e-004	6,8283e-005	1,0118e-003	5,738e-004	-9,793e-006	-5,9457e-004	1,1684e-003 
9	0,69635	-1,159e-005	-9,8158e-006	-1,5041e-005	-3,4352e-007	-7,6216e-004	8,9405e-005	1,3292e-003	7,5499e-004	-1,1646e-005	-7,7979e-004	1,5348e-003 
10	0,86302	-1,1937e-005	-8,9324e-006	-1,6959e-005	-5,2562e-007	-9,3971e-004	1,1035e-004	1,6388e-003	9,3327e-004	-1,2018e-005	-9,5908e-004	1,8923e-003 
11	1,	-1,2573e-005	-8,3122e-006	-1,9158e-005	-7,0598e-007	-1,0872e-003	1,2765e-004	1,8961e-003	1,081e-003	-1,2678e-005	-1,1084e-003	2,1894e-003 
