Node Number	Normal Stress (MPa)
12455	-4,6817e-004
12461	-6,935e-004
12467	-5,279e-004
12468	-6,9335e-004
12469	-5,9777e-004
12470	-7,5458e-004
12471	-9,7474e-004
12472	-6,1343e-004
12473	-1,0081e-003
12474	-6,8e-004
12475	-5,5861e-004
12476	-1,1114e-003
12477	-6,993e-004
12478	-3,5632e-004
12479	-4,824e-004
12480	-6,853e-004
12481	-5,722e-004
12482	-8,018e-004
12483	-5,5439e-004
12484	-8,4117e-004
12485	-4,9942e-004
12486	-4,7198e-004
12487	-7,3042e-004
12488	-4,4166e-004
12489	-4,4117e-004
12490	-6,4567e-004
12491	-4,1667e-004
12492	-5,1648e-004
12493	-6,0538e-004
12494	-4,9545e-004
12495	-7,4063e-004
12496	-4,1819e-004
12497	-5,6575e-004
12498	-3,6954e-004
12499	-3,892e-004
12500	-5,7276e-004
12501	-4,1441e-004
12502	-4,7063e-004
12503	-4,3521e-004
12504	-8,2527e-004
12505	-5,1288e-004
12506	-4,6478e-004
12507	-6,6513e-004
12508	-3,6241e-004
12509	-6,4556e-004
12510	-4,0959e-004
12511	-4,0543e-004
12512	-5,7031e-004
12513	-4,0198e-004
12514	-5,5998e-004
12515	-3,0989e-004
12516	-4,9975e-004
12517	-4,1198e-004
12518	-5,0009e-004
12519	-3,4816e-004
12520	-3,9467e-004
12521	-6,259e-004
12522	-3,2775e-004
12523	-5,6859e-004
12524	-3,2615e-004
12525	-4,9067e-004
12526	-3,382e-004
12527	-3,4142e-004
12528	-5,9656e-004
12529	-3,1577e-004
12530	-6,1366e-004
12531	-4,2289e-004
12532	-4,0634e-004
12533	-7,2535e-004
12534	-4,4862e-002
12540	-4,787e-002
12541	-3,5894e-002
12542	-3,5786e-002
12543	-6,3519e-002
12544	-4,8398e-002
12545	-3,4718e-002
12546	-3,9897e-002
12547	-3,5488e-002
12548	-5,5369e-002
12549	-3,8459e-002
12550	-4,553e-002
12551	-5,2774e-002
12552	-4,4666e-002
12553	-4,2124e-002
12554	-5,8083e-002
12555	-3,7882e-002
12556	-6,6907e-002
