Node Number	Normal Stress (MPa)
52300	-1,2057e-002
52306	-1,3995e-002
52312	-1,1319e-002
52313	-7,4504e-003
52314	-7,7063e-003
52315	-1,0078e-002
52316	-1,3196e-002
52317	-7,4517e-003
52318	-1,3431e-002
52319	-7,7431e-003
52320	-8,1233e-003
52321	-9,3105e-003
52322	-9,7239e-003
52323	-1,4923e-002
52324	-7,9294e-003
52325	-1,1145e-002
52326	-6,7772e-003
52327	-1,2694e-002
52328	-9,1451e-003
52329	-1,3746e-002
52330	-9,1037e-003
52331	-8,7856e-003
52332	-1,0884e-002
52333	-9,1708e-003
52334	-9,6276e-003
52335	-1,2437e-002
52336	-1,1204e-002
52337	-1,1134e-002
52338	-1,5865e-002
52339	-1,1317e-002
52340	-1,8121e-002
52341	-1,17e-002
52342	-1,5284e-002
52343	-8,6406e-003
52344	-1,0505e-002
52345	-1,5323e-002
52346	-1,2034e-002
52347	-1,545e-002
52348	-9,6258e-003
52349	-1,7428e-002
52350	-1,5783e-002
52351	-1,2441e-002
52352	-1,9144e-002
52353	-1,0306e-002
52354	-1,7081e-002
52355	-1,3084e-002
52356	-1,3207e-002
52357	-1,7068e-002
52358	-8,7811e-003
52359	-1,387e-002
52360	-6,4111e-003
52361	-1,3369e-002
52362	-8,4975e-003
52363	-1,1549e-002
52364	-8,3076e-003
52365	-9,4554e-003
52366	-1,4575e-002
52367	-8,188e-003
52368	-1,3069e-002
52369	-8,8545e-003
52370	-1,2086e-002
52371	-7,6869e-003
52372	-7,4861e-003
52373	-1,2088e-002
52374	-7,5389e-003
52375	-1,3486e-002
52376	-7,8062e-003
52377	-6,6071e-003
52378	-1,1957e-002
52379	-2,98e-003
52385	-3,1742e-003
52386	-1,4503e-003
52387	-1,8638e-003
52388	-2,1476e-003
52389	-1,8576e-003
52390	-1,869e-003
52391	-1,4784e-003
52392	-1,7182e-003
52393	-2,5284e-003
52394	-1,8753e-003
52395	-1,8519e-003
52396	-3,0904e-003
52397	-2,1189e-003
52398	-1,8719e-003
52399	-3,1071e-003
52400	-2,0159e-003
52401	-3,3969e-003
52402	-2,2902e-003
52403	-2,0467e-003
52404	-4,398e-003
52405	-3,1418e-003
52406	-2,8275e-003
52407	-3,2187e-003
52408	-2,1667e-003
52409	-4,557e-003
52410	-4,1826e-003
52411	-6,3038e-003
52412	-4,3659e-003
52413	-4,028e-003
52414	-7,7958e-003
52415	-5,2943e-003
52416	-8,3177e-003
52417	-6,9137e-003
52418	-6,3512e-003
52419	-1,1092e-002
52420	-1,0472e-002
52421	-6,2786e-003
52422	-1,4091e-002
52423	-1,0877e-002
52424	-1,4851e-002
52425	-1,3661e-002
52426	-1,7805e-002
52427	-1,3899e-002
52428	-2,9283e-002
52429	-1,7326e-002
52430	-2,2961e-002
52431	-1,9894e-002
52432	-2,3346e-002
52433	-1,7127e-002
52434	-3,8208e-002
52435	-2,9948e-002
52436	-3,051e-002
52437	-3,8895e-002
52438	-2,7056e-002
52439	-2,8357e-002
52440	-4,5627e-002
52441	-2,9846e-002
52442	-4,9955e-002
52443	-3,2985e-002
52444	-5,4298e-002
52445	-3,2652e-002
52446	-3,0852e-002
52447	-5,6747e-002
52448	-3,2395e-002
52449	-6,7379e-002
52450	-4,566e-002
52451	-4,4897e-002
52452	-5,919e-002
52453	-4,2578e-002
52454	-4,3528e-002
52455	-5,3865e-002
52456	-3,2723e-002
52457	-5,6315e-002
52458	-3,9247e-002
52459	-4,7315e-002
52460	-2,9438e-002
52461	-4,5925e-002
52462	-3,4239e-002
52463	-4,8426e-002
52464	-3,225e-002
52465	-3,7556e-002
52466	-2,5145e-002
52467	-2,6192e-002
52468	-3,3086e-002
52469	-2,3533e-002
52470	-2,2479e-002
52471	-3,1688e-002
52472	-2,1382e-002
52473	-3,0885e-002
52474	-1,687e-002
52475	-2,2681e-002
52476	-1,6023e-002
52477	-1,9625e-002
52478	-8,193e-003
52479	-1,5631e-002
52480	-1,1343e-002
52481	-1,4495e-002
52482	-9,7444e-003
52483	-7,2769e-003
52484	-9,3926e-003
52485	-8,4399e-003
52486	-9,9628e-003
52487	-5,4971e-003
52488	-8,5384e-003
52489	-5,8893e-003
52490	-7,8511e-003
52491	-9,5433e-003
52492	-5,2996e-003
52493	-6,4829e-003
52494	-5,9682e-003
52495	-9,509e-003
52496	-3,0825e-003
52497	-4,2146e-003
52503	-1,8982e-003
52504	-3,7214e-003
52505	-2,9561e-003
52506	-4,1139e-003
52507	-2,931e-003
52508	-5,0908e-003
52509	-2,4731e-003
52510	-2,2124e-003
52511	-4,0599e-003
52512	-2,6568e-003
52513	-3,7769e-003
52514	-2,6088e-003
52515	-2,9931e-003
52516	-3,1118e-003
52517	-2,5807e-003
52518	-2,9385e-003
52519	-4,2582e-003
52520	-2,053e-003
52521	-3,6601e-003
52522	-2,2029e-003
52523	-3,6538e-003
52524	-2,2993e-003
52525	-3,7153e-003
52526	-2,9208e-003
52527	-3,5154e-003
52528	-2,4304e-003
52529	-4,1153e-003
52530	-2,6793e-003
52531	-4,2948e-003
52532	-2,9458e-003
52533	-4,0953e-003
52534	-3,3012e-003
52535	-2,5305e-003
52536	-3,385e-003
52537	-2,3412e-003
52538	-4,5936e-003
52539	-2,9168e-003
52540	-3,9585e-003
52541	-2,3793e-003
52542	-3,3176e-003
52543	-2,3504e-003
52544	-3,3922e-003
