Node Number	Normal Stress (MPa)
52746	-3,7011e-003
52752	-3,1812e-003
52758	-2,6518e-003
52759	-1,8605e-003
52760	-2,1533e-003
52761	-2,4969e-003
52762	-3,1826e-003
52763	-1,9206e-003
52764	-3,2931e-003
52765	-2,1707e-003
52766	-1,753e-003
52767	-3,706e-003
52768	-2,5882e-003
52769	-3,5429e-003
52770	-1,7983e-003
52771	-2,2851e-003
52772	-1,4819e-003
52773	-2,4071e-003
52774	-1,8256e-003
52775	-2,5645e-003
52776	-2,0572e-003
52777	-2,0027e-003
52778	-2,7998e-003
52779	-1,5827e-003
52780	-1,6848e-003
52781	-3,0713e-003
52782	-1,9002e-003
52783	-1,9333e-003
52784	-2,354e-003
52785	-1,6906e-003
52786	-3,0848e-003
52787	-1,7922e-003
52788	-2,489e-003
52789	-1,7868e-003
52790	-1,735e-003
52791	-3,1707e-003
52792	-2,0293e-003
52793	-2,5095e-003
52794	-2,0103e-003
52795	-3,6268e-003
52796	-2,4488e-003
52797	-2,0953e-003
52798	-3,1278e-003
52799	-1,944e-003
52800	-3,1891e-003
52801	-2,289e-003
52802	-2,2817e-003
52803	-3,1721e-003
52804	-1,6328e-003
52805	-2,6187e-003
52806	-1,6623e-003
52807	-2,7515e-003
52808	-2,1603e-003
52809	-2,4165e-003
52810	-2,1053e-003
52811	-2,1137e-003
52812	-2,56e-003
52813	-1,9996e-003
52814	-2,5885e-003
52815	-1,7432e-003
52816	-2,7867e-003
52817	-1,8365e-003
52818	-1,8124e-003
52819	-3,0913e-003
52820	-1,8927e-003
52821	-3,4873e-003
52822	-2,1173e-003
52823	-3,1333e-003
52824	-1,4202e-003
52825	-1,7866e-002
52831	-3,1198e-003
52832	-1,1529e-002
52833	-7,228e-003
52834	-1,4849e-002
52835	-9,6035e-003
52836	-9,5901e-003
52837	-5,7065e-003
52838	-7,067e-003
52839	-8,3867e-003
52840	-1,4429e-002
52841	-1,1455e-002
52842	-1,1088e-002
52843	-1,544e-002
52844	-8,6369e-003
52845	-1,5156e-002
52846	-1,2754e-002
52847	-1,2592e-002
52848	-1,9178e-002
52849	-1,5912e-002
52850	-1,6323e-002
52851	-2,4465e-002
52852	-1,6232e-002
52853	-1,4803e-002
52854	-2,6266e-002
52855	-1,9419e-002
52856	-3,3988e-002
52857	-2,2565e-002
52858	-2,5671e-002
52859	-3,9587e-002
52860	-2,7918e-002
52861	-2,9258e-002
52862	-4,1669e-002
52863	-2,6697e-002
52864	-2,1813e-002
52865	-2,5528e-002
52866	-2,9197e-002
52867	-3,594e-002
52868	-3,0547e-002
52869	-3,6182e-002
52870	-6,1311e-002
52871	-2,9564e-002
52872	-3,7837e-002
52873	-2,598e-002
52874	-3,3652e-002
52875	-4,0028e-002
52876	-3,123e-002
52877	-2,937e-002
52878	-4,3176e-002
52879	-2,9135e-002
52880	-4,2296e-002
52881	-2,797e-002
52882	-3,1532e-002
52883	-3,854e-002
52884	-2,2345e-002
52885	-2,485e-002
52886	-3,2593e-002
52887	-2,0191e-002
52888	-2,8059e-002
52889	-1,6982e-002
52890	-1,5877e-002
52891	-2,4324e-002
52892	-1,5341e-002
52893	-2,2462e-002
52894	-1,2736e-002
52895	-2,1508e-002
52896	-1,2373e-002
52897	-9,9222e-003
52898	-1,5266e-002
52899	-1,0508e-002
52900	-9,9178e-003
52901	-1,0969e-002
52902	-7,3299e-003
52903	-8,3351e-003
52904	-1,0543e-002
52905	-6,6339e-003
52906	-8,6349e-003
52907	-5,5063e-003
52908	-8,1931e-003
52909	-4,6852e-003
52910	-6,3201e-003
52911	-4,0449e-003
52912	-4,0854e-003
52913	-5,2726e-003
52914	-3,4701e-003
52915	-4,2263e-003
52916	-3,58e-003
52917	-3,4577e-003
52918	-4,245e-003
52919	-2,8702e-003
52920	-4,8616e-003
52921	-3,0466e-003
52922	-2,6905e-003
52923	-2,8191e-003
52924	-1,7841e-003
52925	-1,9162e-003
52926	-2,1929e-003
52927	-1,7758e-003
52928	-2,0104e-003
52929	-1,3201e-003
52930	-1,8327e-003
52931	-1,0917e-003
52932	-1,5782e-003
52933	-1,0702e-003
52934	-9,6085e-004
52935	-1,4231e-003
52936	-1,4184e-003
52937	-1,0715e-003
52938	-1,6089e-003
52939	-1,0715e-003
52940	-1,1353e-003
52941	-7,9927e-004
52942	-2,2621e-003
52943	-1,7555e-002
52949	-4,6705e-003
52950	-1,3938e-002
52951	-1,0301e-002
52952	-1,29e-002
52953	-8,7607e-003
52954	-1,2826e-002
52955	-1,054e-002
52956	-8,5884e-003
52957	-1,2591e-002
52958	-9,3921e-003
52959	-9,8939e-003
52960	-1,6567e-002
52961	-1,1698e-002
52962	-1,131e-002
52963	-1,5045e-002
52964	-1,1977e-002
52965	-1,2431e-002
52966	-2,0152e-002
52967	-1,3103e-002
52968	-1,3009e-002
52969	-1,9943e-002
52970	-1,3493e-002
52971	-2,0647e-002
52972	-1,4302e-002
52973	-1,5127e-002
52974	-2,5807e-002
52975	-1,9354e-002
52976	-2,2148e-002
52977	-1,8142e-002
52978	-2,6838e-002
52979	-1,6442e-002
52980	-2,4186e-002
52981	-1,4555e-002
52982	-1,6354e-002
52983	-2,4123e-002
52984	-2,0691e-002
52985	-2,8785e-002
52986	-1,6426e-002
52987	-1,7538e-002
52988	-2,5205e-002
52989	-1,4636e-002
52990	-1,7605e-002
52991	-2,2766e-002
52992	-1,2812e-002
52993	-2,3677e-002
52994	-1,316e-002
52995	-1,2996e-002
52996	-1,7462e-002
52997	-1,1179e-002
52998	-1,7165e-002
52999	-1,1144e-002
53000	-9,9797e-003
53001	-1,5629e-002
53002	-9,4283e-003
53003	-1,1359e-002
53004	-1,3876e-002
53005	-1,2042e-002
53006	-1,3842e-002
53007	-9,7572e-003
53008	-9,737e-003
53009	-1,1935e-002
53010	-1,0432e-002
53011	-9,7698e-003
53012	-1,5527e-002
53013	-9,3467e-003
53014	-8,6576e-003
53015	-1,0536e-002
53016	-1,0551e-003
53017	-1,0249e-003
53018	-1,1369e-003
53019	-1,654e-003
53020	-9,0816e-004
53021	-1,0093e-003
53022	-1,7806e-003
53023	-1,0637e-003
53024	-1,468e-003
53025	-1,354e-003
53026	-1,2441e-003
53027	-1,6848e-003
53028	-1,2379e-003
53029	-1,2868e-003
