Node Number	Normal Stress (MPa)
27098	-8,4409e-003
27104	-4,7549e-003
27110	-6,6331e-003
27111	-5,3494e-003
27112	-4,6556e-003
27113	-6,0958e-003
27114	-8,0116e-003
27115	-3,9175e-003
27116	-6,8761e-003
27117	-4,6094e-003
27118	-3,9371e-003
27119	-8,0427e-003
27120	-5,5907e-003
27121	-3,8547e-003
27122	-3,7838e-003
27123	-5,2965e-003
27124	-3,8899e-003
27125	-6,3144e-003
27126	-4,2285e-003
27127	-6,53e-003
27128	-3,7103e-003
27129	-3,9095e-003
27130	-6,1863e-003
27131	-3,9034e-003
27132	-4,2975e-003
27133	-6,5319e-003
27134	-4,5069e-003
27135	-4,325e-003
27136	-5,9989e-003
27137	-4,0115e-003
27138	-8,2134e-003
27139	-4,7609e-003
27140	-6,6007e-003
27141	-4,9923e-003
27142	-4,7057e-003
27143	-6,2704e-003
27144	-4,2356e-003
27145	-6,2705e-003
27146	-3,355e-003
27147	-7,292e-003
27148	-6,4288e-003
27149	-4,8578e-003
27150	-7,7301e-003
27151	-4,7223e-003
27152	-7,0509e-003
27153	-4,9321e-003
27154	-4,8632e-003
27155	-6,8051e-003
27156	-4,2476e-003
27157	-5,9874e-003
27158	-3,8596e-003
27159	-6,2271e-003
27160	-4,7396e-003
27161	-6,3063e-003
27162	-4,7586e-003
27163	-4,4167e-003
27164	-5,8733e-003
27165	-3,5337e-003
27166	-6,8095e-003
27167	-4,2196e-003
27168	-6,467e-003
27169	-4,3441e-003
27170	-4,0147e-003
27171	-6,7152e-003
27172	-4,3686e-003
27173	-7,4889e-003
27174	-4,265e-003
27175	-4,1478e-003
27176	-6,0224e-003
27177	-8,5509e-003
27183	-2,0562e-003
27184	-4,4757e-003
27185	-3,2203e-003
27186	-4,7173e-003
27187	-3,8359e-003
27188	-4,1033e-003
27189	-1,1977e-003
27190	-2,8784e-003
27191	-4,0078e-003
27192	-3,3983e-003
27193	-3,4018e-003
27194	-5,2105e-003
27195	-3,4139e-003
27196	-2,8966e-003
27197	-4,8474e-003
27198	-3,516e-003
27199	-6,1141e-003
27200	-3,7907e-003
27201	-6,4125e-003
27202	-4,0602e-003
27203	-5,695e-003
27204	-4,8873e-003
27205	-5,6318e-003
27206	-1,0357e-002
27207	-6,0892e-003
27208	-9,0393e-003
27209	-9,2613e-003
27210	-8,8853e-003
27211	-1,0425e-002
27212	-1,056e-002
27213	-1,2197e-002
27214	-1,1954e-002
27215	-1,7817e-002
27216	-1,3168e-002
27217	-2,1942e-002
27218	-2,1019e-002
