0	Time [s]	Pressure sensor 44 (NormX) [MPa]	Pressure sensor 44 (NormY) [MPa]	Pressure sensor 44 (NormZ) [MPa]	Pressure sensor 44 (ShearXY) [MPa]	Pressure sensor 44 (ShearYZ) [MPa]	Pressure sensor 44 (ShearXZ) [MPa]	Pressure sensor 44 (Equivalent (von-Mises)) [MPa]	Pressure sensor 44 (Maximum Principal) [MPa]	Pressure sensor 44 (Middle Principal) [MPa]	Pressure sensor 44 (Minimum Principal) [MPa]	Pressure sensor 44 (Intensity) [MPa] 
1	1,6667e-002	1,7362e-007	1,592e-007	1,8398e-007	-4,4279e-009	-1,502e-005	3,9353e-006	2,6894e-005	1,5701e-005	1,7052e-007	-1,5354e-005	3,1055e-005 
2	3,3333e-002	4,0575e-007	3,788e-007	4,2626e-007	-9,5354e-009	-3,0232e-005	7,9248e-006	5,4133e-005	3,1659e-005	3,9934e-007	-3,0848e-005	6,2507e-005 
3	5,8333e-002	7,077e-007	6,6615e-007	7,3657e-007	-1,8252e-008	-5,2932e-005	1,3712e-005	9,4707e-005	5,5386e-005	6,9623e-007	-5,3972e-005	1,0936e-004 
4	9,5833e-002	1,2468e-006	1,1924e-006	1,2808e-006	-3,3764e-008	-8,6582e-005	2,2472e-005	1,5493e-004	9,0698e-005	1,227e-006	-8,8205e-005	1,789e-004 
5	0,15208	2,0492e-006	1,9956e-006	2,0665e-006	-6,2504e-008	-1,3674e-004	3,5589e-005	2,4473e-004	1,4335e-004	2,0153e-006	-1,3925e-004	2,8259e-004 
6	0,23646	3,4579e-006	3,4501e-006	3,4028e-006	-1,1836e-007	-2,1262e-004	5,5312e-005	3,8053e-004	2,2316e-004	3,3997e-006	-2,1624e-004	4,394e-004 
7	0,36302	5,9019e-006	6,0624e-006	5,6303e-006	-2,3e-007	-3,2554e-004	8,4733e-005	5,8263e-004	3,4228e-004	5,8e-006	-3,3049e-004	6,7277e-004 
8	0,52969	9,7298e-006	1,0285e-005	8,9873e-006	-4,2502e-007	-4,7146e-004	1,2292e-004	8,439e-004	4,9695e-004	9,5576e-006	-4,775e-004	9,7445e-004 
9	0,69635	1,3888e-005	1,5038e-005	1,2443e-005	-6,7536e-007	-6,1731e-004	1,608e-004	1,1049e-003	6,5178e-004	1,3632e-005	-6,2404e-004	1,2758e-003 
10	0,86302	1,8379e-005	2,0326e-005	1,5995e-005	-9,8479e-007	-7,6363e-004	1,9931e-004	1,367e-003	8,0756e-004	1,8022e-005	-7,7088e-004	1,5784e-003 
11	1,	2,297e-005	2,57e-005	1,9698e-005	-1,2726e-006	-8,8068e-004	2,2976e-004	1,5764e-003	9,3308e-004	2,2522e-005	-8,8724e-004	1,8203e-003 
