Node Number	LOC_DEFX ()
1	9,5
2	9,4917
3	9,4667
4	9,4251
5	9,367
6	9,2924
7	9,2015
8	9,0945
9	8,9716
10	8,8329
11	8,6787
12	8,5093
13	8,3249
14	8,126
15	7,9128
16	7,6857
17	7,4451
18	7,1915
19	6,9252
20	6,6468
21	6,3567
22	6,0555
23	5,7437
24	5,4218
25	5,0904
26	4,75
27	4,4013
28	4,0449
29	3,6814
30	3,3114
31	2,9357
32	2,5547
33	2,1693
34	1,7801
35	1,3878
36	0,99302
37	0,59651
38	0,19895
39	-0,19895
40	-0,59651
41	-0,99302
42	-1,3878
43	-1,7801
44	-2,1693
45	-2,5547
46	-2,9357
47	-3,3114
48	-3,6814
49	-4,0449
50	-4,4013
51	-4,75
52	-5,0904
53	-5,4218
54	-5,7437
55	-6,0555
56	-6,3567
57	-6,6468
58	-6,9252
59	-7,1915
60	-7,4451
61	-7,6857
62	-7,9128
63	-8,126
64	-8,3249
65	-8,5093
66	-8,6787
67	-8,8329
68	-8,9716
69	-9,0945
70	-9,2015
71	-9,2924
72	-9,367
73	-9,4251
74	-9,4667
75	-9,4917
76	-9,5
77	-9,4917
78	-9,4667
79	-9,4251
80	-9,367
81	-9,2924
82	-9,2015
83	-9,0945
84	-8,9716
85	-8,8329
86	-8,6787
87	-8,5093
88	-8,3249
89	-8,126
90	-7,9128
91	-7,6857
92	-7,4451
93	-7,1915
94	-6,9252
95	-6,6468
96	-6,3567
97	-6,0555
98	-5,7437
99	-5,4218
100	-5,0904
101	-4,75
102	-4,4013
103	-4,0449
104	-3,6814
105	-3,3114
106	-2,9357
107	-2,5547
108	-2,1693
109	-1,7801
110	-1,3878
111	-0,99302
112	-0,59651
113	-0,19895
114	0,19895
115	0,59651
116	0,99302
117	1,3878
118	1,7801
119	2,1693
120	2,5547
121	2,9357
122	3,3114
123	3,6814
124	4,0449
125	4,4013
126	4,75
127	5,0904
128	5,4218
129	5,7437
130	6,0555
131	6,3567
132	6,6468
133	6,9252
134	7,1915
135	7,4451
136	7,6857
137	7,9128
138	8,126
139	8,3249
140	8,5093
141	8,6787
142	8,8329
143	8,9716
144	9,0945
145	9,2015
146	9,2924
147	9,367
148	9,4251
149	9,4667
150	9,4917
151	9,5
152	9,448
153	9,2924
154	9,035
155	8,6787
156	8,2272
157	7,6857
158	7,0599
159	6,3567
160	5,584
161	4,75
162	3,864
163	2,9357
164	1,9752
165	0,99302
166	2,0513e-014
167	-0,99302
