Node Number	LOC_DEFY (mm)
1	-6,5547e-010
2	0,39782
3	0,79494
4	1,1907
5	1,5843
6	1,9752
7	2,3626
8	2,7458
9	3,1242
10	3,4972
11	3,864
12	4,224
13	4,5767
14	4,9213
15	5,2572
16	5,584
17	5,9009
18	6,2075
19	6,5032
20	6,7875
21	7,0599
22	7,3199
23	7,567
24	7,8009
25	8,0211
26	8,2272
27	8,4189
28	8,5959
29	8,7577
30	8,9042
31	9,035
32	9,15
33	9,249
34	9,3317
35	9,3981
36	9,448
37	9,4813
38	9,4979
39	9,4979
40	9,4813
41	9,448
42	9,3981
43	9,3317
44	9,249
45	9,15
46	9,035
47	8,9042
48	8,7577
49	8,5959
50	8,4189
51	8,2272
52	8,0211
53	7,8009
54	7,567
55	7,3199
56	7,0599
57	6,7875
58	6,5032
59	6,2075
60	5,9009
61	5,584
62	5,2572
63	4,9213
64	4,5767
65	4,224
66	3,864
67	3,4972
68	3,1242
69	2,7458
70	2,3626
71	1,9752
72	1,5843
73	1,1907
74	0,79494
75	0,39782
76	1,4661e-010
77	-0,39782
78	-0,79494
79	-1,1907
80	-1,5843
81	-1,9752
82	-2,3626
83	-2,7458
84	-3,1242
85	-3,4972
86	-3,864
87	-4,224
88	-4,5767
89	-4,9213
90	-5,2572
91	-5,584
92	-5,9009
93	-6,2075
94	-6,5032
95	-6,7875
96	-7,0599
97	-7,3199
98	-7,567
99	-7,8009
100	-8,0211
101	-8,2272
102	-8,4189
103	-8,5959
104	-8,7577
105	-8,9042
106	-9,035
107	-9,15
108	-9,249
109	-9,3317
110	-9,3981
111	-9,448
112	-9,4813
113	-9,4979
114	-9,4979
115	-9,4813
116	-9,448
117	-9,3981
118	-9,3317
119	-9,249
120	-9,15
121	-9,035
122	-8,9042
123	-8,7577
124	-8,5959
125	-8,4189
126	-8,2272
127	-8,0211
128	-7,8009
129	-7,567
130	-7,3199
131	-7,0599
132	-6,7875
133	-6,5032
134	-6,2075
135	-5,9009
136	-5,584
137	-5,2572
138	-4,9213
139	-4,5767
140	-4,224
141	-3,864
142	-3,4972
143	-3,1242
