Node Number	LOC_DEFX ()
1	10,605
2	10,596
3	10,568
4	10,523
5	10,46
6	10,38
7	10,281
8	10,166
9	10,033
10	9,8827
11	9,7163
12	9,5336
13	9,3351
14	9,1211
15	8,892
16	8,6484
17	8,3907
18	8,1194
19	7,8352
20	7,5385
21	7,2301
22	6,9104
23	6,5803
24	6,2403
25	5,8912
26	5,5336
27	5,1683
28	4,7961
29	4,4176
30	4,0337
31	3,6452
32	3,2529
33	2,8574
34	2,4598
35	2,0607
36	1,661
37	1,2615
38	0,86304
39	0,46641
40	7,2414e-002
41	-0,31813
42	-0,70442
43	-1,0857
44	-1,4611
45	-1,83
46	-2,1915
47	-2,545
48	-2,8896
49	-3,2248
50	-3,5497
51	-3,8638
52	-4,1665
53	-4,457
54	-4,7348
55	-4,9993
56	-5,2501
57	-5,4865
58	-5,7081
59	-5,9144
60	-6,1051
61	-6,2797
62	-6,4379
63	-6,5793
64	-6,7037
65	-6,8107
66	-6,9003
67	-6,9722
68	-7,0262
69	-7,0623
70	-7,0804
71	-7,0804
72	-7,0623
73	-7,0262
74	-6,9722
75	-6,9003
76	-6,8107
77	-6,7037
78	-6,5793
79	-6,4379
80	-6,2797
81	-6,1051
82	-5,9144
83	-5,7081
84	-5,4865
85	-5,2501
86	-4,9993
87	-4,7348
88	-4,457
89	-4,1665
90	-3,8638
91	-3,5497
92	-3,2248
93	-2,8896
94	-2,545
95	-2,1915
96	-1,83
97	-1,4611
98	-1,0857
99	-0,70442
100	-0,31813
101	7,2414e-002
102	0,46641
103	0,86304
104	1,2615
105	1,661
106	2,0607
107	2,4598
108	2,8574
109	3,2529
110	3,6452
111	4,0337
112	4,4176
113	4,7961
114	5,1683
115	5,5336
116	5,8912
117	6,2403
118	6,5803
119	6,9104
120	7,2301
121	7,5385
122	7,8352
123	8,1194
124	8,3907
125	8,6484
126	8,892
127	9,1211
128	9,3351
129	9,5336
130	9,7163
131	9,8827
132	10,033
133	10,166
134	10,281
135	10,38
136	10,46
137	10,523
138	10,568
139	10,596
140	10,605
141	10,549
142	10,383
143	10,108
144	9,7287
145	9,249
146	8,6751
147	8,0143
148	7,2748
149	6,466
150	5,598
151	4,6818
152	3,7288
153	2,7511
154	1,7609
155	0,77077
156	-0,20694
157	-1,1599
158	-2,0761
159	-2,9441
160	-3,7529
161	-4,4924
162	-5,1533
