0	Time [s]	Pressure sensor 15 (NormX) [MPa]	Pressure sensor 15 (NormY) [MPa]	Pressure sensor 15 (NormZ) [MPa]	Pressure sensor 15 (ShearXY) [MPa]	Pressure sensor 15 (ShearYZ) [MPa]	Pressure sensor 15 (ShearXZ) [MPa]	Pressure sensor 15 (Equivalent (von-Mises)) [MPa]	Pressure sensor 15 (Maximum Principal) [MPa]	Pressure sensor 15 (Middle Principal) [MPa]	Pressure sensor 15 (Minimum Principal) [MPa]	Pressure sensor 15 (Intensity) [MPa] 
1	1,6667e-002	-2,8764e-004	-2,8832e-004	-3,021e-004	2,8555e-007	1,9302e-005	1,522e-004	2,6611e-004	-1,4125e-004	-2,8838e-004	-4,4844e-004	3,0719e-004 
2	3,3333e-002	-5,7289e-004	-5,7445e-004	-6,0213e-004	6,0651e-007	3,7663e-005	3,0506e-004	5,3315e-004	-2,7972e-004	-5,7458e-004	-8,9517e-004	6,1544e-004 
3	5,8333e-002	-1,0014e-003	-1,0047e-003	-1,0537e-003	1,132e-006	6,6838e-005	5,3386e-004	9,3327e-004	-4,8879e-004	-1,005e-003	-1,5661e-003	1,0773e-003 
4	9,5833e-002	-1,648e-003	-1,6548e-003	-1,7369e-003	2,028e-006	1,1013e-004	8,7613e-004	1,5319e-003	-8,0808e-004	-1,6551e-003	-2,5764e-003	1,7683e-003 
5	0,15208	-2,5992e-003	-2,6131e-003	-2,7463e-003	3,6121e-006	1,7167e-004	1,3852e-003	2,4217e-003	-1,2746e-003	-2,6138e-003	-4,0702e-003	2,7956e-003 
6	0,23646	-4,0317e-003	-4,0607e-003	-4,2755e-003	6,5715e-006	2,6755e-004	2,148e-003	3,7564e-003	-1,9849e-003	-4,0619e-003	-6,3211e-003	4,3362e-003 
7	0,36302	-6,1417e-003	-6,203e-003	-6,5492e-003	1,222e-005	4,0962e-004	3,2821e-003	5,7415e-003	-3,0306e-003	-6,2051e-003	-9,6583e-003	6,6277e-003 
8	0,52969	-8,8903e-003	-9,0116e-003	-9,5488e-003	2,1835e-005	5,9056e-004	4,7675e-003	8,3429e-003	-4,4025e-003	-9,0151e-003	-1,4033e-002	9,6307e-003 
9	0,69635	-1,1588e-002	-1,1789e-002	-1,2537e-002	3,3968e-005	7,7402e-004	6,2455e-003	1,0935e-002	-5,7489e-003	-1,1795e-002	-1,8371e-002	1,2623e-002 
10	0,86302	-1,4244e-002	-1,4543e-002	-1,5521e-002	4,8606e-005	9,5755e-004	7,7144e-003	1,3514e-002	-7,0788e-003	-1,4551e-002	-2,2679e-002	1,56e-002 
11	1,	-1,6399e-002	-1,6794e-002	-1,7976e-002	6,2329e-005	1,1034e-003	8,919e-003	1,5631e-002	-8,1608e-003	-1,6803e-002	-2,6205e-002	1,8044e-002 
