Node Number	LOC_DEFX ()
1	9,9786
2	9,9681
3	9,9366
4	9,8843
5	9,8113
6	9,7177
7	9,6039
8	9,4702
9	9,3169
10	9,1444
11	8,9533
12	8,7441
13	8,5173
14	8,2736
15	8,0136
16	7,7382
17	7,448
18	7,1439
19	6,8267
20	6,4973
21	6,1567
22	5,8057
23	5,4453
24	5,0766
25	4,7006
26	4,3183
27	3,9308
28	3,5392
29	3,1445
30	2,7479
31	2,3504
32	1,9533
33	1,5575
34	1,1642
35	0,77451
36	0,38947
37	1,0176e-002
38	-0,36232
39	-0,72697
40	-1,0828
41	-1,4287
42	-1,7639
43	-2,0873
44	-2,398
45	-2,6953
46	-2,9782
47	-3,246
48	-3,4979
49	-3,7332
50	-3,9513
51	-4,1515
52	-4,3334
53	-4,4963
54	-4,6399
55	-4,7637
56	-4,8674
57	-4,9508
58	-5,0135
59	-5,0554
60	-5,0763
61	-5,0763
62	-5,0554
63	-5,0135
64	-4,9508
65	-4,8674
66	-4,7637
67	-4,6399
68	-4,4963
69	-4,3334
70	-4,1515
71	-3,9513
72	-3,7332
73	-3,4979
74	-3,246
75	-2,9782
76	-2,6953
77	-2,398
78	-2,0873
79	-1,7639
80	-1,4287
81	-1,0828
82	-0,72697
83	-0,36232
84	1,0176e-002
85	0,38947
86	0,77451
87	1,1642
88	1,5575
89	1,9533
90	2,3504
91	2,7479
92	3,1445
93	3,5392
94	3,9308
95	4,3183
96	4,7006
97	5,0766
98	5,4453
99	5,8057
100	6,1567
101	6,4973
102	6,8267
103	7,1439
104	7,448
105	7,7382
106	8,0136
107	8,2736
108	8,5173
109	8,7441
110	8,9533
111	9,1444
112	9,3169
113	9,4702
114	9,6039
115	9,7177
116	9,8113
117	9,8843
118	9,9366
119	9,9681
120	9,9786
121	9,9142
122	9,722
123	9,4055
124	8,9699
125	8,4228
126	7,7735
127	7,033
128	6,2142
129	5,331
130	4,3984
131	3,4325
132	2,4498
133	1,4671
134	0,50123
135	-0,43132
136	-1,3146
137	-2,1334
138	-2,8738
139	-3,5232
140	-4,0703
141	-4,5059
142	-4,8224
143	-5,0145
144	-5,079
145	-5,0145
146	-4,8224
147	-4,5059
148	-4,0703
149	-3,5232
150	-2,8738
151	-2,1334
152	-1,3146
153	-0,43132
154	0,50123
155	1,4671
156	2,4498
157	3,4325
158	4,3984
159	5,331
160	6,2142
161	7,033
162	7,7735
163	8,4228
164	8,9699
165	9,4055
166	9,722
167	9,9142
168	6,0261
169	5,8934
170	5,5054
171	4,8908
172	4,0951
173	3,1774
174	2,2058
175	1,2522
176	0,38747
177	-0,32432
178	-0,83036
179	-1,0931
180	-1,0931
181	-0,83036
182	-0,32432
183	0,38747
184	1,2522
185	2,2058
186	3,1774
187	4,0951
188	4,8908
189	5,5054
190	5,8934
191	6,0261
192	6,0044
193	5,9395
194	5,8323
195	5,684
196	5,4965
197	5,272
198	5,0132
199	4,7233
200	4,4058
201	4,0646
202	3,7038
203	3,3277
204	2,941
205	2,5484
206	2,1545
207	1,7642
208	1,3823
209	1,0133
210	0,66169
211	0,33184
212	2,7692e-002
213	-0,24705
214	-0,48906
215	-0,6954
216	-0,86355
217	-0,99149
218	-1,0777
219	-1,121
220	-1,121
221	-1,0777
222	-0,99149
223	-0,86355
224	-0,6954
225	-0,48906
226	-0,24705
227	2,7692e-002
228	0,33184
229	0,66169
230	1,0133
231	1,3823
232	1,7642
233	2,1545
234	2,5484
235	2,941
236	3,3277
237	3,7038
238	4,0646
239	4,4058
240	4,7233
241	5,0132
242	5,272
243	5,4965
244	5,684
245	5,8323
246	5,9395
247	6,0044
248	8,0023
249	7,9882
250	7,9458
251	7,8754
252	7,7774
253	7,6522
254	7,5006
255	7,3231
256	7,1209
257	6,8948
258	6,6461
259	6,376
260	6,0859
261	5,7773
262	5,4517
263	5,1108
264	4,7564
265	4,3902
266	4,0141
267	3,6301
268	3,24
269	2,8459
270	2,4498
271	2,0537
272	1,6596
273	1,2695
274	0,88549
275	0,50941
276	0,14322
277	-0,21122
278	-0,5521
279	-0,87768
280	-1,1863
281	-1,4764
282	-1,7465
283	-1,9952
284	-2,2213
285	-2,4235
286	-2,6009
287	-2,7526
288	-2,8778
289	-2,9758
290	-3,0462
291	-3,0885
292	-3,1027
293	-3,0885
294	-3,0462
295	-2,9758
296	-2,8778
297	-2,7526
298	-2,6009
299	-2,4235
300	-2,2213
301	-1,9952
302	-1,7465
303	-1,4764
304	-1,1863
305	-0,87768
306	-0,5521
307	-0,21122
308	0,14322
309	0,50941
310	0,88549
311	1,2695
312	1,6596
313	2,0537
314	2,4498
315	2,8459
316	3,24
317	3,6301
318	4,0141
319	4,3902
320	4,7564
321	5,1108
322	5,4517
323	5,7773
324	6,0859
325	6,376
326	6,6461
327	6,8948
328	7,1209
329	7,3231
330	7,5006
331	7,6522
332	7,7774
333	7,8754
334	7,9458
335	7,9882
336	8,3408
337	8,3107
338	8,2509
339	8,1614
340	8,0429
341	7,8958
342	7,721
343	7,5193
344	7,2918
345	7,0397
346	6,7641
347	6,4666
348	6,1486
349	5,8117
350	5,4577
