0	Time [s]	Pressure sensor 13 (NormX) [MPa]	Pressure sensor 13 (NormY) [MPa]	Pressure sensor 13 (NormZ) [MPa]	Pressure sensor 13 (ShearXY) [MPa]	Pressure sensor 13 (ShearYZ) [MPa]	Pressure sensor 13 (ShearXZ) [MPa]	Pressure sensor 13 (Equivalent (von-Mises)) [MPa]	Pressure sensor 13 (Maximum Principal) [MPa]	Pressure sensor 13 (Middle Principal) [MPa]	Pressure sensor 13 (Minimum Principal) [MPa]	Pressure sensor 13 (Intensity) [MPa] 
1	1,6667e-002	-1,8104e-006	-1,807e-006	-1,8869e-006	-9,1643e-010	1,6148e-005	-2,4744e-006	2,8295e-005	1,4489e-005	-1,8106e-006	-1,8183e-005	3,2672e-005 
2	3,3333e-002	-3,6244e-006	-3,6147e-006	-3,7804e-006	-2,2638e-009	3,2863e-005	-4,9695e-006	5,7568e-005	2,9539e-005	-3,6249e-006	-3,6934e-005	6,6473e-005 
3	5,8333e-002	-6,326e-006	-6,3021e-006	-6,6056e-006	-5,0358e-009	5,748e-005	-8,7137e-006	1,007e-004	5,1683e-005	-6,3269e-006	-6,459e-005	1,1627e-004 
4	9,5833e-002	-1,0306e-005	-1,0251e-005	-1,078e-005	-1,081e-008	9,3947e-005	-1,4227e-005	1,6458e-004	8,4504e-005	-1,0308e-005	-1,0553e-004	1,9004e-004 
5	0,15208	-1,6262e-005	-1,6134e-005	-1,7053e-005	-2,3423e-008	1,4925e-004	-2,2594e-005	2,6146e-004	1,3436e-004	-1,6266e-005	-1,6755e-004	3,0191e-004 
6	0,23646	-2,5013e-005	-2,4719e-005	-2,6332e-005	-5,0998e-008	2,3183e-004	-3,5192e-005	4,0615e-004	2,0897e-004	-2,5021e-005	-2,6001e-004	4,6898e-004 
7	0,36302	-3,7987e-005	-3,7323e-005	-4,0225e-005	-1,1112e-007	3,5559e-004	-5,3764e-005	6,2291e-004	3,2087e-004	-3,8005e-005	-3,984e-004	7,1927e-004 
8	0,52969	-5,4225e-005	-5,2853e-005	-5,7874e-005	-2,2484e-007	5,1678e-004	-7,8268e-005	9,0531e-004	4,6733e-004	-5,4261e-005	-5,7803e-004	1,0454e-003 
9	0,69635	-7,0387e-005	-6,8053e-005	-7,5715e-005	-3,766e-007	6,7828e-004	-1,0237e-004	1,1881e-003	6,1412e-004	-7,0446e-005	-7,5782e-004	1,3719e-003 
10	0,86302	-8,5617e-005	-8,208e-005	-9,2845e-005	-5,6626e-007	8,3799e-004	-1,2649e-004	1,4679e-003	7,6008e-004	-8,5705e-005	-9,3491e-004	1,695e-003 
11	1,	-9,7973e-005	-9,3269e-005	-1,0695e-004	-7,4966e-007	9,6857e-004	-1,4617e-004	1,6967e-003	8,7951e-004	-9,809e-005	-1,0796e-003	1,9591e-003 
