Node Number	LOC_DEFY (mm)
1	-7,3057
2	-6,9075
3	-6,5102
4	-6,1147
5	-5,7218
6	-5,3324
7	-4,9473
8	-4,5674
9	-4,1935
10	-3,8265
11	-3,4671
12	-3,1161
13	-2,7744
14	-2,4426
15	-2,1215
16	-1,8118
17	-1,5142
18	-1,2293
19	-0,95777
20	-0,70019
21	-0,45713
22	-0,22912
23	-1,6673e-002
24	0,17975
25	0,35973
26	0,52285
27	0,66876
28	0,79714
29	0,90772
30	1,0002
31	1,0745
32	1,1303
33	1,1676
34	1,1863
35	1,1863
36	1,1676
37	1,1303
38	1,0745
39	1,0002
40	0,90772
41	0,79714
42	0,66876
43	0,52285
44	0,35973
45	0,17975
46	-1,6673e-002
47	-0,22912
48	-0,45713
49	-0,70019
50	-0,95777
51	-1,2293
52	-1,5142
53	-1,8118
54	-2,1215
55	-2,4426
56	-2,7744
57	-3,1161
58	-3,4671
59	-3,8265
60	-4,1935
61	-4,5674
62	-4,9473
63	-5,3324
64	-5,7218
65	-6,1147
66	-6,5102
67	-6,9075
68	-7,3057
69	-7,7038
70	-8,1011
71	-8,4966
72	-8,8895
73	-9,2789
74	-9,664
75	-10,044
76	-10,418
77	-10,785
78	-11,144
79	-11,495
80	-11,837
81	-12,169
82	-12,49
83	-12,8
84	-13,097
85	-13,382
86	-13,654
87	-13,911
88	-14,154
89	-14,382
90	-14,595
91	-14,791
92	-14,971
93	-15,134
94	-15,28
95	-15,408
96	-15,519
97	-15,612
98	-15,686
99	-15,742
100	-15,779
101	-15,798
102	-15,798
103	-15,779
104	-15,742
105	-15,686
106	-15,612
107	-15,519
108	-15,408
109	-15,28
110	-15,134
111	-14,971
112	-14,791
113	-14,595
114	-14,382
115	-14,154
116	-13,911
117	-13,654
118	-13,382
119	-13,097
120	-12,8
121	-12,49
122	-12,169
123	-11,837
124	-11,495
125	-11,144
126	-10,785
127	-10,418
128	-10,044
129	-9,664
130	-9,2789
131	-8,8895
132	-8,4966
133	-8,1011
134	-7,7038
135	-7,3057
136	-8,2918
137	-9,2646
138	-10,211
139	-11,118
140	-11,973
141	-12,766
142	-13,484
143	-14,119
144	-14,662
145	-15,105
146	-15,443
147	-15,671
148	-15,786
149	-15,786
150	-15,671
151	-15,443
152	-15,105
153	-14,662
154	-14,119
155	-13,484
156	-12,766
157	-11,973
158	-11,118
159	-10,211
160	-9,2646
161	-8,2918
162	-7,3057
163	-6,3195
164	-5,3467
165	-4,4004
166	-3,4934
167	-2,638
168	-1,8456
169	-1,1271
170	-0,4922
171	5,0604e-002
172	0,49393
173	0,83177
174	1,0596
175	1,1743
176	1,1743
177	1,0596
178	0,83177
179	0,49393
180	5,0604e-002
181	-0,4922
182	-1,1271
183	-1,8456
184	-2,638
185	-3,4934
186	-4,4004
187	-5,3467
188	-6,3195
189	-7,3057
190	-8,2902
191	-9,2077
192	-9,9955
193	-10,6
194	-10,98
195	-11,11
196	-10,98
197	-10,6
198	-9,9955
199	-9,2077
200	-8,2902
201	-7,3057
202	-6,3211
203	-5,4037
204	-4,6158
205	-4,0113
206	-3,6313
207	-3,5017
208	-3,6313
209	-4,0113
210	-4,6158
211	-5,4037
212	-6,3211
213	-7,3057
214	-7,7033
215	-8,0966
216	-8,4812
217	-8,8529
218	-9,2077
219	-9,5416
220	-9,851
221	-10,133
222	-10,383
223	-10,6
224	-10,781
225	-10,923
226	-11,027
227	-11,089
228	-11,11
229	-11,089
230	-11,027
231	-10,923
232	-10,781
233	-10,6
234	-10,383
235	-10,133
236	-9,851
237	-9,5416
238	-9,2077
239	-8,8529
240	-8,4812
241	-8,0966
242	-7,7033
243	-7,3057
244	-6,908
245	-6,5148
246	-6,1302
247	-5,7584
248	-5,4037
249	-5,0697
250	-4,7603
251	-4,4787
252	-4,2282
