Node Number	Normal Stress (MPa)
31469	-4,1984e-003
31475	-2,9134e-002
31476	-3,7155e-003
31477	-3,0767e-003
31478	-2,1605e-003
31479	-3,8371e-003
31480	-2,5246e-003
31481	-2,9682e-003
31482	-1,9873e-003
31483	-2,7741e-003
31484	-2,0713e-003
31485	-2,9753e-003
31486	-2,6612e-003
31487	-2,7467e-003
31488	-3,4373e-003
31489	-3,188e-003
31490	-2,9228e-003
31491	-5,0436e-003
31492	-3,5651e-003
31493	-4,0986e-003
31494	-6,2499e-003
31495	-3,9124e-003
31496	-7,0281e-003
31497	-6,8155e-003
31498	-6,9086e-003
31499	-1,2589e-002
31500	-1,236e-002
31501	-9,5085e-003
31502	-1,7332e-002
31503	-1,309e-002
31504	-2,2488e-002
31505	-2,1311e-002
31506	-1,9218e-002
31507	-3,3761e-002
31508	-2,5816e-002
31509	-3,9828e-002
31510	-2,4141e-002
31511	-5,6998e-002
31512	-4,0917e-002
31513	-3,3503e-002
31514	-6,3401e-002
31515	-3,9624e-002
31516	-5,7119e-002
31517	-4,4966e-002
31518	-6,6595e-002
31519	-3,9498e-002
31520	-4,252e-002
31521	-7,7828e-002
31522	-6,3316e-002
31523	-8,3593e-002
31524	-4,536e-002
31525	-4,8493e-002
31526	-6,3044e-002
31527	-4,526e-002
31528	-4,2195e-002
31529	-5,358e-002
31530	-3,5623e-002
31531	-4,8794e-002
31532	-3,1229e-002
31533	-4,3098e-002
31534	-2,9148e-002
31535	-4,0079e-002
31536	-2,7231e-002
31537	-2,2689e-002
31538	-2,2022e-002
31539	-2,8025e-002
31540	-1,9538e-002
31541	-1,9113e-002
31542	-2,4924e-002
31548	-9,7214e-003
31554	-4,3865e-003
31560	-3,5635e-003
31561	-1,7588e-003
31562	-2,1123e-003
31563	-2,5652e-003
31564	-3,5245e-003
31565	-1,7336e-003
31566	-2,8984e-003
31567	-1,8174e-003
31568	-1,5922e-003
31569	-2,3019e-003
31570	-2,4069e-003
31571	-3,9641e-003
31572	-1,6834e-003
31573	-2,958e-003
31574	-2,446e-003
31575	-3,9275e-003
31576	-3,1722e-003
31577	-4,6807e-003
31578	-2,9325e-003
31579	-2,8415e-003
31580	-4,5993e-003
31581	-3,0695e-003
31582	-3,5137e-003
31583	-5,7022e-003
31584	-4,4301e-003
31585	-4,257e-003
31586	-6,9074e-003
31587	-5,0244e-003
31588	-9,0756e-003
31589	-5,5159e-003
31590	-8,2459e-003
31591	-5,5838e-003
31592	-6,143e-003
31593	-1,1625e-002
31594	-8,1143e-003
31595	-1,0341e-002
31596	-7,4736e-003
31597	-1,3808e-002
31598	-9,9897e-003
31599	-9,7261e-003
31600	-1,4194e-002
31601	-8,2828e-003
31602	-1,2105e-002
31603	-8,2099e-003
31604	-8,6249e-003
31605	-1,2963e-002
31606	-9,2435e-003
31607	-1,2709e-002
31608	-7,5612e-003
31609	-1,1364e-002
31610	-8,1526e-003
31611	-1,0054e-002
31612	-8,1951e-003
31613	-7,3387e-003
31614	-1,2212e-002
31615	-6,3757e-003
31616	-1,0975e-002
31617	-6,3881e-003
31618	-9,6052e-003
31619	-6,8333e-003
31620	-7,1029e-003
31621	-1,2355e-002
31622	-6,3251e-003
31623	-1,2278e-002
31624	-8,595e-003
31625	-8,2425e-003
31626	-1,4761e-002
31627	-3,7221e-002
31628	-2,0338e-002
31629	-2,6693e-002
31630	-5,321e-003
31631	-2,5087e-002
31632	-1,9282e-002
31633	-3,5211e-002
31634	-2,5937e-002
31635	-2,68e-002
31636	-4,1721e-002
31637	-3,0265e-002
31638	-2,9592e-002
31639	-4,5348e-002
31640	-2,8068e-002
31641	-4,3307e-002
31642	-3,0457e-002
31643	-3,4795e-002
31644	-4,7203e-002
31645	-3,1161e-002
31646	-3,0781e-002
31647	-4,5992e-002
31648	-3,1059e-002
31649	-2,8791e-002
31650	-5,0685e-002
31651	-3,2874e-002
31652	-5,591e-002
31653	-4,1761e-002
31654	-3,8012e-002
31655	-5,2673e-002
31656	-4,2254e-002
31657	-3,7156e-002
31658	-4,4273e-002
31659	-2,3027e-002
31660	-3,3528e-002
31661	-2,7404e-002
31662	-4,6417e-002
31663	-2,2306e-002
31664	-3,9321e-002
31665	-2,5587e-002
31666	-2,7859e-002
31667	-3,2143e-002
31668	-1,8649e-002
31669	-1,9248e-002
31670	-3,5898e-002
31671	-1,7656e-002
31672	-1,6762e-002
31673	-2,2158e-002
31674	-1,4314e-002
31675	-1,9854e-002
31676	-1,2579e-002
31677	-2,0177e-002
31678	-1,1317e-002
31679	-1,3596e-002
31680	-8,4497e-003
31681	-8,8167e-003
31682	-1,4099e-002
31683	-9,131e-003
31684	-8,8434e-003
31685	-1,0823e-002
31686	-7,2757e-003
31687	-7,8154e-003
31688	-1,0825e-002
31689	-6,7025e-003
31690	-9,9111e-003
31691	-6,3891e-003
31692	-5,6808e-003
31693	-7,2008e-003
31694	-4,0272e-003
31695	-6,5057e-003
31696	-4,2306e-003
31697	-5,8082e-003
31698	-3,9205e-003
31699	-4,7734e-003
31700	-4,0839e-003
31701	-3,4717e-003
31702	-5,3883e-003
31703	-3,4227e-003
31704	-5,1781e-003
31705	-3,3677e-003
31706	-4,5471e-003
31707	-3,401e-003
31708	-3,4658e-003
31709	-4,9206e-003
31710	-2,6848e-003
31711	-4,244e-003
31712	-2,5651e-003
31713	-2,4581e-003
31714	-4,6457e-003
31715	-2,652e-003
31716	-4,6046e-003
31717	-3,3625e-003
31718	-3,2323e-003
31719	-3,8791e-003
31720	-2,4097e-003
31721	-2,512e-003
31722	-3,7663e-003
31723	-2,1325e-003
31724	-3,3963e-003
31725	-2,0978e-003
31726	-3,2347e-003
31727	-1,6574e-003
31728	-3,1118e-003
31729	-2,1446e-003
31730	-2,1283e-003
31731	-3,6869e-003
31732	-2,1843e-003
31733	-2,5111e-003
31734	-3,6706e-003
31735	-2,1016e-003
31736	-1,9825e-003
31737	-2,2232e-003
31738	-3,7149e-003
31739	-9,1683e-003
31740	-4,6215e-003
31741	-4,3334e-003
31742	-6,7992e-003
31743	-4,3461e-003
31744	-4,6036e-003
31745	-6,6113e-003
31746	-4,9987e-003
31747	-8,3287e-003
31748	-6,1675e-003
31749	-5,8585e-003
31750	-1,0034e-002
31751	-7,3952e-003
31752	-8,0022e-003
31753	-1,234e-002
