0	Time [s]	Pressure sensor 13 (NormX) [MPa]	Pressure sensor 13 (NormY) [MPa]	Pressure sensor 13 (NormZ) [MPa]	Pressure sensor 13 (ShearXY) [MPa]	Pressure sensor 13 (ShearYZ) [MPa]	Pressure sensor 13 (ShearXZ) [MPa]	Pressure sensor 13 (Equivalent (von-Mises)) [MPa]	Pressure sensor 13 (Maximum Principal) [MPa]	Pressure sensor 13 (Middle Principal) [MPa]	Pressure sensor 13 (Minimum Principal) [MPa]	Pressure sensor 13 (Intensity) [MPa] 
1	1,6667e-002	-3,5725e-005	-3,5806e-005	-3,7045e-005	-5,4561e-008	6,2367e-005	2,3343e-005	1,1535e-004	3,0156e-005	-3,5699e-005	-1,0303e-004	1,3319e-004 
2	3,3333e-002	-7,2379e-005	-7,2512e-005	-7,5106e-005	-9,6572e-008	1,2658e-004	4,6845e-005	2,3378e-004	6,114e-005	-7,2333e-005	-2,088e-004	2,6994e-004 
3	5,8333e-002	-1,2547e-004	-1,2562e-004	-1,3032e-004	-1,3128e-007	2,1974e-004	8,0796e-005	4,0555e-004	1,0614e-004	-1,254e-004	-3,6214e-004	4,6827e-004 
4	9,5833e-002	-2,0525e-004	-2,0529e-004	-2,1348e-004	-1,2828e-007	3,6036e-004	1,3154e-004	6,645e-004	1,7422e-004	-2,0517e-004	-5,9306e-004	7,6728e-004 
5	0,15208	-3,2683e-004	-3,2639e-004	-3,4068e-004	7,0206e-009	5,739e-004	2,1002e-004	1,0586e-003	2,7761e-004	-3,2678e-004	-9,4472e-004	1,2223e-003 
6	0,23646	-5,0692e-004	-5,0507e-004	-5,301e-004	4,9745e-007	8,9275e-004	3,2482e-004	1,6456e-003	4,3255e-004	-5,0702e-004	-1,4676e-003	1,9002e-003 
7	0,36302	-7,7492e-004	-7,6946e-004	-8,1424e-004	1,8775e-006	1,3668e-003	4,9787e-004	2,52e-003	6,633e-004	-7,7549e-004	-2,2464e-003	2,9097e-003 
8	0,52969	-1,1265e-003	-1,1135e-003	-1,1912e-003	4,8719e-006	1,9933e-003	7,2441e-004	3,6741e-003	9,6969e-004	-1,1281e-003	-3,2728e-003	4,2424e-003 
9	0,69635	-1,4724e-003	-1,4486e-003	-1,5668e-003	9,2004e-006	2,6162e-003	9,5157e-004	4,8231e-003	1,2784e-003	-1,4756e-003	-4,2907e-003	5,5691e-003 
10	0,86302	-1,8164e-003	-1,7788e-003	-1,945e-003	1,4836e-005	3,2377e-003	1,1772e-003	5,969e-003	1,5868e-003	-1,8215e-003	-5,3054e-003	6,8922e-003 
11	1,	-2,0917e-003	-2,0404e-003	-2,2513e-003	2,0379e-005	3,745e-003	1,3591e-003	6,9031e-003	1,8431e-003	-2,0988e-003	-6,1278e-003	7,9709e-003 
