Node Number	Normal Stress (MPa)
12881	-7,7367e-003
12887	-7,0214e-003
12893	-1,0011e-002
12894	-7,1803e-003
12895	-6,4049e-003
12896	-7,7398e-003
12897	-1,024e-002
12898	-5,1905e-003
12899	-8,9686e-003
12900	-6,36e-003
12901	-5,337e-003
12902	-8,8239e-003
12903	-6,474e-003
12904	-7,5377e-003
12905	-4,3459e-003
12906	-7,6196e-003
12907	-5,3424e-003
12908	-8,5725e-003
12909	-6,1985e-003
12910	-9,8254e-003
12911	-6,4683e-003
12912	-6,6465e-003
12913	-9,8524e-003
12914	-6,246e-003
12915	-6,5238e-003
12916	-1,2159e-002
12917	-6,9964e-003
12918	-7,4982e-003
12919	-1,0164e-002
12920	-6,6073e-003
12921	-1,126e-002
12922	-8,4296e-003
12923	-1,1291e-002
12924	-7,5615e-003
12925	-7,383e-003
12926	-1,263e-002
12927	-7,7328e-003
12928	-1,0278e-002
12929	-6,115e-003
12930	-1,2518e-002
12931	-1,0603e-002
12932	-7,8501e-003
12933	-1,1236e-002
12934	-6,2967e-003
12935	-1,1589e-002
12936	-6,8422e-003
12937	-6,9067e-003
12938	-1,0785e-002
12939	-5,6194e-003
12940	-1,0012e-002
12941	-6,3418e-003
12942	-8,7595e-003
12943	-7,1198e-003
12944	-8,2591e-003
12945	-6,7442e-003
12946	-6,896e-003
12947	-8,2579e-003
12948	-5,5745e-003
12949	-8,0075e-003
12950	-4,8339e-003
12951	-7,9242e-003
12952	-5,5637e-003
12953	-5,132e-003
12954	-8,1112e-003
12955	-5,4129e-003
12956	-9,4461e-003
12957	-5,1639e-003
12958	-6,4308e-003
12959	-7,4887e-003
12960	-3,3744e-003
12966	-3,4036e-003
12967	-1,8043e-003
12968	-1,6936e-003
12969	-2,644e-003
12970	-2,0543e-003
12971	-2,377e-003
12972	-7,1251e-004
12973	-1,8074e-003
12974	-2,439e-003
12975	-2,08e-003
12976	-2,0359e-003
12977	-3,3149e-003
12978	-2,2044e-003
12979	-1,9296e-003
12980	-3,1314e-003
12981	-2,3395e-003
12982	-3,9535e-003
12983	-2,4508e-003
12984	-4,0394e-003
12985	-3,0635e-003
12986	-4,6711e-003
12987	-3,3604e-003
12988	-3,4318e-003
12989	-6,5847e-003
12990	-5,4403e-003
12991	-6,0691e-003
12992	-9,778e-003
12993	-6,6973e-003
12994	-6,4818e-003
12995	-9,0707e-003
12996	-6,2812e-003
12997	-6,5476e-003
12998	-1,261e-002
12999	-7,8916e-003
13000	-1,5449e-002
13001	-1,3036e-002
13002	-9,2684e-003
13003	-1,8592e-002
13004	-1,343e-002
13005	-1,2978e-002
13006	-2,1435e-002
13007	-1,4269e-002
13008	-1,4237e-002
13009	-2,9173e-002
13010	-1,82e-002
13011	-1,8829e-002
13012	-2,8384e-002
13013	-1,5181e-002
13014	-2,9493e-002
13015	-1,8256e-002
13016	-3,6011e-002
13017	-2,1134e-002
13018	-3,0562e-002
13019	-2,1469e-002
13020	-2,016e-002
13021	-3,5362e-002
13022	-2,0035e-002
13023	-2,5045e-002
13024	-2,6551e-002
13025	-2,4595e-002
13026	-2,3429e-002
13027	-3,6184e-002
13028	-2,5751e-002
13029	-3,6849e-002
13030	-2,5219e-002
13031	-2,4144e-002
13032	-3,154e-002
13033	-1,7007e-002
13034	-2,4624e-002
13035	-1,7441e-002
13036	-2,5851e-002
13037	-1,4106e-002
13038	-1,7081e-002
13039	-2,7756e-002
13040	-1,4651e-002
13041	-2,0964e-002
13042	-1,409e-002
13043	-2,1914e-002
13044	-1,3074e-002
13045	-1,7047e-002
13046	-1,068e-002
13047	-1,0581e-002
13048	-1,6431e-002
13049	-9,464e-003
13050	-1,4201e-002
13051	-9,1825e-003
13052	-9,375e-003
13053	-1,342e-002
13054	-9,5102e-003
13055	-1,0168e-002
13056	-1,0051e-002
13057	-7,3639e-003
13058	-1,0341e-002
13059	-6,1177e-003
13060	-6,5807e-003
13061	-9,0118e-003
13062	-6,4252e-003
13063	-8,0119e-003
13064	-4,6921e-003
13065	-7,28e-003
13066	-4,2737e-003
13067	-6,3106e-003
13068	-4,1595e-003
13069	-3,9954e-003
13070	-6,5424e-003
13071	-6,1509e-003
13072	-4,7868e-003
13073	-6,8646e-003
13074	-4,9486e-003
13075	-5,5078e-003
13076	-5,4667e-003
13077	-8,4355e-003
13078	-2,8361e-003
13084	-2,4689e-003
13085	-2,1318e-003
13086	-1,436e-003
13087	-3,0213e-003
13088	-1,8644e-003
13089	-3,42e-003
13090	-1,9443e-003
13091	-2,1211e-003
13092	-3,228e-003
13093	-1,5672e-003
13094	-2,9352e-003
13095	-2,0501e-003
13096	-2,3846e-003
13097	-2,4006e-003
13098	-1,9496e-003
13099	-1,918e-003
13100	-3,0035e-003
13101	-1,7432e-003
13102	-2,9375e-003
13103	-1,89e-003
13104	-3,0832e-003
13105	-1,9623e-003
13106	-3,1763e-003
13107	-2,3877e-003
13108	-2,8247e-003
13109	-2,5426e-003
13110	-3,8487e-003
13111	-2,487e-003
13112	-3,7126e-003
13113	-3,0353e-003
13114	-3,3899e-003
13115	-2,8476e-003
13116	-2,7643e-003
13117	-3,4619e-003
13118	-2,5542e-003
13119	-4,1401e-003
13120	-2,6431e-003
13121	-3,6442e-003
13122	-2,14e-003
13123	-3,863e-003
13124	-3,1297e-003
13125	-3,7825e-003
13126	-2,4485e-003
13127	-4,2431e-003
13128	-3,3342e-003
13129	-2,8655e-003
13130	-4,4858e-003
13131	-2,5043e-003
13132	-2,9649e-003
13133	-3,9646e-003
13134	-2,6973e-003
13135	-4,0065e-003
13136	-3,1813e-003
13137	-3,1483e-003
13138	-3,6286e-003
13139	-2,9797e-003
13140	-5,4627e-003
13141	-3,1376e-003
13142	-4,5438e-003
13143	-3,0517e-003
13144	-4,1448e-003
13145	-3,7885e-003
13146	-3,432e-003
13147	-4,8933e-003
13148	-3,0124e-003
13149	-3,2982e-003
13150	-5,5555e-003
13151	-7,9961e-003
13152	-4,3926e-003
13153	-4,8552e-003
13154	-6,9744e-003
13155	-4,3312e-003
13156	-4,8841e-003
13157	-8,897e-003
13158	-5,1786e-003
13159	-8,1703e-003
13160	-5,9566e-003
13161	-5,8351e-003
13162	-9,5287e-003
13163	-5,9891e-003
13164	-5,6714e-003
13165	-8,3764e-003
13166	-5,9357e-003
13167	-9,507e-003
13168	-7,6211e-003
13169	-1,0196e-002
13170	-7,1389e-003
13171	-1,1033e-002
13172	-8,2765e-003
13173	-7,9374e-003
13174	-1,2833e-002
13175	-9,5742e-003
13176	-1,13e-002
13177	-1,5468e-002
13178	-1,0161e-002
13179	-1,2841e-002
13180	-7,3208e-003
13181	-1,4582e-002
13182	-1,1039e-002
13183	-1,8216e-002
13184	-1,3538e-002
13185	-1,776e-002
13186	-1,518e-002
13187	-1,5084e-002
13188	-1,9372e-002
13189	-1,1421e-002
13190	-1,8022e-002
13191	-1,5038e-002
13192	-2,0424e-002
13193	-1,5979e-002
13194	-2,5461e-002
13195	-1,8423e-002
13196	-1,9965e-002
13197	-1,515e-002
13198	-2,3483e-002
13199	-1,3854e-002
13200	-1,1557e-002
13201	-1,9725e-002
13202	-1,1641e-002
13203	-1,8063e-002
13204	-1,0753e-002
13205	-1,1655e-002
13206	-1,5721e-002
13207	-1,1519e-002
13208	-1,3167e-002
13209	-1,0043e-002
13210	-1,0197e-002
13211	-1,508e-002
13212	-1,1714e-002
13213	-9,4707e-003
13214	-1,4211e-002
13215	-9,7143e-003
13216	-9,9065e-003
13217	-8,8147e-003
13218	-8,553e-003
13219	-1,1382e-002
13220	-6,4161e-003
13221	-6,5756e-003
13222	-9,3828e-003
13223	-1,1035e-002
13224	-7,1282e-003
13225	-6,355e-003
13226	-8,4526e-003
13227	-7,2329e-003
13228	-7,7717e-003
13229	-4,3283e-003
13230	-6,5525e-003
13231	-3,6875e-003
13232	-4,3347e-003
13233	-6,8437e-003
13234	-3,4856e-003
13235	-5,8797e-003
13236	-3,19e-003
13237	-3,1702e-003
13238	-4,1678e-003
13239	-2,9126e-003
13240	-3,7418e-003
13241	-2,4779e-003
13242	-2,3715e-003
13243	-3,7093e-003
13244	-1,805e-003
