Node Number	LOC_DEFX ()
1	-1,1352
2	-1,1352
3	-2,0789
4	-2,8356
5	-3,2556
6	-3,2556
7	-2,8356
8	-2,0789
9	-1,1352
10	-1,1352
11	-1,1352
12	-1,1352
13	-1,1352
14	-2,0999
15	-3,0317
16	-3,8989
17	-4,672
18	-5,3246
19	-5,8346
20	-6,1846
21	-6,3626
22	-6,3626
23	-6,1846
24	-5,8346
25	-5,3246
26	-4,672
27	-3,8989
28	-3,0317
29	-2,0999
30	-1,1352
31	-0,19162
32	0,56511
33	0,98506
34	0,98506
35	0,56511
36	-0,19162
37	-1,1352
38	-1,1352
39	-1,1352
40	-1,1352
41	-0,17061
42	0,76118
43	1,6284
44	2,4015
45	3,0541
46	3,5641
47	3,9141
48	4,0921
49	4,0921
50	3,9141
51	3,5641
52	3,0541
53	2,4015
54	1,6284
55	0,76118
56	-0,17061
57	-1,1352
58	-1,1352
59	-1,1352
60	-1,1352
61	-1,1352
62	-1,1352
63	-1,1352
64	-1,1352
65	-1,1352
66	-1,1352
67	-1,1352
68	-1,1352
69	-1,1352
70	-1,1352
71	-1,1352
72	-1,1352
73	-1,1352
74	-1,1352
75	-1,1352
76	-1,1352
77	-1,1352
78	-1,1352
79	-1,1352
80	-1,1352
81	-1,1352
82	-1,1352
83	-1,1352
84	-1,1352
85	-1,1352
86	-1,1352
87	-1,1352
88	-1,1352
89	-1,1352
90	-1,1352
91	-1,1352
92	-1,1352
93	-1,1352
94	-1,1352
95	-1,1352
96	-0,74294
97	-0,35282
98	3,2928e-002
99	0,41214
100	0,7827
101	1,1425
102	1,4896
103	1,822
104	2,1379
105	2,4355
106	2,7131
107	2,9692
108	3,2023
109	3,4112
110	3,5946
111	3,7516
112	3,8813
113	3,9829
114	4,0559
115	4,0998
116	4,1145
117	4,0998
118	4,0559
119	3,9829
120	3,8813
121	3,7516
122	3,5946
123	3,4112
124	3,2023
125	2,9692
126	2,7131
127	2,4355
128	2,1379
129	1,822
130	1,4896
131	1,1425
132	0,7827
133	0,41214
134	3,2928e-002
135	-0,35282
136	-0,74294
137	-1,1352
138	-1,1352
139	-1,1352
140	-1,1352
141	-1,1352
142	-1,1352
143	-1,1352
144	-1,1352
145	-1,1352
146	-1,1352
147	-1,1352
148	-0,75759
149	-0,39141
150	-4,7831e-002
151	0,26271
152	0,53077
153	0,74821
154	0,90843
155	1,0065
156	1,0396
157	1,0065
158	0,90843
159	0,74821
160	0,53077
161	0,26271
