Node Number	LOC_DEFY (mm)
1	9,6776
2	13,457
3	9,9308
4	10,623
5	11,567
6	12,512
7	13,204
8	16,714
9	14,271
10	15,086
11	15,9
12	6,4209
13	6,5085
14	6,7684
15	7,1917
16	7,7641
17	8,4659
18	9,2734
19	10,159
20	11,093
21	12,042
22	12,976
23	13,861
24	14,669
25	15,371
26	15,943
27	16,366
28	16,626
29	2,6412
30	2,8944
31	3,5861
32	4,5311
33	5,476
34	6,1677
35	-0,6155
36	0,19868
37	1,0129
38	1,827
39	-0,52787
40	-0,26797
41	0,15536
42	0,7277
43	1,4296
44	2,237
45	3,1226
46	4,0562
47	5,0059
48	5,9395
49	6,8251
50	7,6325
51	8,3344
52	8,9067
53	9,3301
54	9,59
55	13,457
56	13,457
57	13,457
58	13,457
59	13,457
60	13,457
61	16,714
62	13,819
63	14,181
64	14,543
65	14,905
66	15,267
67	15,628
68	15,99
69	16,352
70	16,714
71	16,714
72	16,714
73	16,714
74	16,714
75	2,6412
76	2,6412
77	2,6412
78	2,6412
79	2,6412
80	2,6412
81	-0,6155
82	2,2794
83	1,9175
84	1,5557
85	1,1938
86	0,83193
87	0,47007
88	0,10821
89	-0,25364
90	-0,6155
91	-0,6155
92	-0,6155
93	-0,6155
94	-0,6155
95	9,6776
96	-0,6004
97	-0,55519
98	-0,48013
99	-0,37565
100	-0,24239
101	-8,1113e-002
102	0,10723
103	0,32153
104	0,56054
105	0,82285
106	1,1069
107	1,4111
108	1,7336
109	2,0724
110	2,4258
111	2,7914
112	3,1673
113	3,5512
114	3,9408
115	4,3339
116	4,7282
117	5,1213
118	5,5109
119	5,8948
120	6,2707
121	6,6363
122	6,9897
123	7,3286
124	7,651
125	7,9552
126	8,2393
127	8,5016
128	8,7406
129	8,9549
130	9,1432
131	9,3045
132	9,4378
133	9,5422
134	9,6173
135	9,6625
136	9,6776
137	9,6776
138	9,6776
139	9,6776
140	9,6776
141	6,4209
142	6,4209
143	6,4209
144	6,4209
145	6,4209
146	6,4209
147	6,3796
148	6,2575
149	6,06
150	5,7956
151	5,476
152	5,115
153	4,7286
154	4,3335
155	3,9471
156	3,5861
157	3,2665
158	3,0022
159	2,8046
160	2,6825
161	16,699
162	16,654
163	16,579
164	16,474
165	16,341
166	16,18
167	15,991
168	15,777
169	15,538
170	15,276
171	14,992
172	14,687
173	14,365
174	14,026
175	13,673
176	13,307
177	12,931
178	12,547
179	12,158
180	11,765
181	11,37
182	10,977
183	10,588
184	10,204
185	9,8278
186	9,4621
187	9,1088
188	8,7699
189	8,4475
190	8,1433
191	7,8592
192	7,5969
193	7,3579
194	7,1436
195	6,9553
196	6,794
197	6,6607
198	6,5563
199	6,4812
200	6,436
201	9,7189
202	9,841
203	10,039
204	10,303
205	10,623
206	10,983
207	11,37
208	11,765
209	12,151
210	12,512
211	12,832
212	13,096
213	13,294
214	13,416
215	1,4124
216	-0,57242
217	-0,45113
218	-0,26916
219	-4,3649e-002
220	0,21255
221	0,49095
222	0,78591
223	1,0939
224	1,602
225	1,7956
226	1,989
227	2,1766
228	2,3504
229	2,4985
230	2,6028
231	8,0492
232	8,0277
233	7,9631
234	7,8565
235	7,709
236	7,5226
237	7,2994
238	7,0422
239	6,7542
240	6,4389
241	6,1002
242	5,7422
243	5,3694
244	4,9863
245	4,5975
246	4,208
247	3,8224
248	3,4456
249	3,082
250	2,7363
251	2,4126
252	2,1148
253	1,8468
254	1,6117
255	9,6368
256	9,5164
257	9,3224
258	9,0645
259	8,7558
260	8,4116
261	7,6869
262	7,3427
263	7,034
264	6,7761
265	6,5821
266	6,4617
267	14,686
268	14,487
269	14,252
270	13,984
271	13,686
272	13,362
273	13,016
274	12,653
275	12,276
276	11,89
277	11,501
278	11,112
279	10,729
280	10,356
281	9,9983
282	9,6596
283	9,3443
284	9,0563
285	8,7991
286	8,5759
287	8,3895
288	8,242
289	8,1354
290	8,0708
291	13,496
292	13,6
293	13,748
294	13,922
295	14,109
296	14,303
297	14,497
298	15,005
299	15,313
300	15,608
301	15,886
302	16,142
303	16,368
304	16,55
305	16,671
306	7,5471
307	7,2166
308	6,9472
309	6,7284
310	6,5606
311	16,63
312	16,512
313	16,379
314	16,17
315	15,934
316	15,627
317	15,345
318	15,035
319	14,788
320	14,675
321	14,37
322	14,057
323	13,721
324	13,358
325	12,97
326	12,559
327	12,134
328	11,708
329	11,281
330	10,863
331	10,453
332	10,055
333	9,6719
334	9,298
335	8,9928
336	8,6836
337	8,4318
338	8,206
339	8,0099
340	7,788
341	7,7097
342	16,641
343	16,584
344	16,367
345	16,04
346	15,843
347	15,623
348	15,377
349	15,105
350	14,813
351	14,504
352	14,178
353	13,831
354	13,469
355	13,1
356	12,725
357	12,339
358	11,946
359	11,552
360	11,162
361	10,776
362	10,39
363	10,012
364	9,6479
365	9,2923
366	8,9506
367	8,6245
368	8,3115
369	8,0153
370	7,7428
371	7,4967
372	7,2754
373	7,0777
374	6,9041
375	6,7583
376	6,641
377	6,5525
378	6,4761
379	16,488
380	16,215
381	7,3862
382	7,1158
383	6,899
384	6,7401
385	16,549
386	16,412
387	16,155
388	15,886
389	15,596
390	15,309
391	15,017
392	14,767
393	14,447
394	14,107
395	13,743
396	13,329
397	12,894
398	12,418
399	11,95
400	11,492
401	11,051
402	10,601
403	10,157
404	9,7357
405	9,34
406	8,9758
407	8,646
408	8,3462
409	8,0391
410	7,8477
411	7,6472
412	7,3673
413	16,219
414	15,822
415	16,015
416	15,633
417	15,408
418	15,15
419	14,875
420	14,59
421	14,287
422	13,949
423	13,582
424	13,222
425	12,87
426	12,504
427	12,112
428	11,722
429	11,336
430	10,958
431	10,584
432	10,212
433	9,8548
434	9,4906
435	9,1549
436	8,8387
437	8,5242
438	8,2156
439	7,9318
440	7,6798
441	7,4709
442	7,2678
443	7,0933
444	6,9412
445	6,8053
446	6,7036
447	14,991
448	7,4509
449	16,316
450	7,0153
451	16,088
452	15,823
453	15,537
454	15,261
455	15,194
456	14,844
457	14,491
458	14,193
459	13,676
460	13,233
461	12,709
462	12,233
463	11,723
464	11,282
465	10,793
466	10,303
467	9,8262
468	9,4238
469	8,9843
470	8,6548
471	8,3204
472	7,721
473	7,5312
474	7,3308
475	7,1671
476	15,553
477	15,721
478	15,4
479	15,118
480	14,882
481	14,602
482	14,373
483	14,054
484	13,663
485	13,271
486	12,968
487	12,645
488	12,279
489	11,885
490	11,511
491	11,107
492	10,77
493	10,43
494	10,044
495	9,6711
496	9,335
497	9,0536
498	8,7989
499	8,4526
500	8,1661
501	7,8699
