0	Time [s]	Pressure sensor 20 (NormX) [MPa]	Pressure sensor 20 (NormY) [MPa]	Pressure sensor 20 (NormZ) [MPa]	Pressure sensor 20 (ShearXY) [MPa]	Pressure sensor 20 (ShearYZ) [MPa]	Pressure sensor 20 (ShearXZ) [MPa]	Pressure sensor 20 (Equivalent (von-Mises)) [MPa]	Pressure sensor 20 (Maximum Principal) [MPa]	Pressure sensor 20 (Middle Principal) [MPa]	Pressure sensor 20 (Minimum Principal) [MPa]	Pressure sensor 20 (Intensity) [MPa] 
1	1,6667e-002	-2,2012e-006	-2,2013e-006	-2,2915e-006	2,566e-010	4,5852e-006	4,9787e-006	1,1724e-005	4,5224e-006	-2,2015e-006	-9,0148e-006	1,3537e-005 
2	3,3333e-002	-4,459e-006	-4,4594e-006	-4,6427e-006	7,5747e-010	9,3125e-006	1,0167e-005	2,3881e-005	9,2371e-006	-4,46e-006	-1,8338e-005	2,7575e-005 
3	5,8333e-002	-7,7703e-006	-7,771e-006	-8,0923e-006	1,9308e-009	1,624e-005	1,7785e-005	4,1716e-005	1,6154e-005	-7,7726e-006	-3,2015e-005	4,817e-005 
4	9,5833e-002	-1,2749e-005	-1,275e-005	-1,3282e-005	4,6912e-009	2,6641e-005	2,9359e-005	6,8668e-005	2,6632e-005	-1,2754e-005	-5,2659e-005	7,9291e-005 
5	0,15208	-2,0278e-005	-2,0282e-005	-2,1138e-005	1,117e-008	4,2429e-005	4,6947e-005	1,0961e-004	4,2577e-005	-2,0291e-005	-8,3983e-005	1,2656e-004 
6	0,23646	-3,1233e-005	-3,1241e-005	-3,2585e-005	2,5623e-008	6,5328e-005	7,2993e-005	1,6967e-004	6,6062e-005	-3,1263e-005	-1,2986e-004	1,9592e-004 
7	0,36302	-4,7651e-005	-4,7669e-005	-4,9777e-005	5,8662e-008	9,979e-005	1,124e-004	2,6035e-004	1,0162e-004	-4,7719e-005	-1,99e-004	3,0062e-004 
8	0,48958	-6,4011e-005	-6,4043e-005	-6,6953e-005	1,0533e-007	1,3419e-004	1,521e-004	3,5133e-004	1,374e-004	-6,4134e-005	-2,6828e-004	4,0568e-004 
9	0,65625	-8,5564e-005	-8,5622e-005	-8,9649e-005	1,8795e-007	1,7961e-004	2,0473e-004	4,7174e-004	1,8483e-004	-8,5783e-005	-3,5989e-004	5,4472e-004 
10	0,82292	-1,0706e-004	-1,0715e-004	-1,1237e-004	2,9454e-007	2,2509e-004	2,575e-004	5,924e-004	2,3243e-004	-1,0741e-004	-4,5161e-004	6,8404e-004 
11	0,91146	-1,1838e-004	-1,1849e-004	-1,2436e-004	3,607e-007	2,4916e-004	2,8548e-004	6,5634e-004	2,5772e-004	-1,188e-004	-5,0015e-004	7,5787e-004 
12	1,	-1,2991e-004	-1,3005e-004	-1,3661e-004	4,3556e-007	2,7367e-004	3,1443e-004	7,2204e-004	2,8379e-004	-1,3042e-004	-5,4994e-004	8,3373e-004 
