Node Number	LOC_DEFY (mm)
1	-9,2407
2	-4,1777
3	-9,048
4	-8,4993
5	-7,678
6	-6,7092
7	-5,7404
8	-4,9192
9	-4,3704
10	-0,6406
11	-3,2934
12	-2,4092
13	-1,5249
14	-12,778
15	-12,703
16	-12,481
17	-12,116
18	-11,619
19	-11,
20	-10,276
21	-9,4643
22	-8,5845
23	-7,6585
24	-6,7092
25	-5,7599
26	-4,8339
27	-3,9541
28	-3,1422
29	-2,4181
30	-1,7996
31	-1,302
32	-0,93762
33	-0,71532
34	-17,841
35	-17,648
36	-17,099
37	-16,278
38	-15,309
39	-14,341
40	-13,519
41	-12,971
42	-21,378
43	-20,494
44	-19,609
45	-18,725
46	-21,303
47	-21,081
48	-20,716
49	-20,219
50	-19,6
51	-18,876
52	-18,064
53	-17,185
54	-16,259
55	-15,309
56	-14,36
57	-13,434
58	-12,554
59	-11,742
60	-11,018
61	-10,4
62	-9,9022
63	-9,5377
64	-9,3154
65	-4,1777
66	-4,1777
67	-4,1777
68	-4,1777
69	-4,1777
70	-4,1777
71	-0,6406
72	-3,7847
73	-3,3917
74	-2,9987
75	-2,6057
76	-2,2126
77	-1,8196
78	-1,4266
79	-1,0336
80	-0,6406
81	-0,6406
82	-0,6406
83	-0,6406
84	-0,6406
85	-17,841
86	-17,841
87	-17,841
88	-17,841
89	-17,841
90	-17,841
91	-21,378
92	-18,234
93	-18,627
94	-19,02
95	-19,413
96	-19,806
97	-20,199
98	-20,592
99	-20,985
100	-21,378
101	-21,378
102	-21,378
103	-21,378
104	-21,378
105	-9,2407
106	-21,365
107	-21,326
108	-21,261
109	-21,171
110	-21,056
111	-20,916
112	-20,752
113	-20,565
114	-20,355
115	-20,124
116	-19,872
117	-19,6
118	-19,311
119	-19,004
120	-18,681
121	-18,344
122	-17,993
123	-17,632
124	-17,26
125	-16,88
126	-16,493
127	-16,101
128	-15,706
129	-15,309
130	-14,912
131	-14,517
132	-14,125
133	-13,739
134	-13,359
135	-12,987
136	-12,625
137	-12,275
138	-11,938
139	-11,615
140	-11,308
141	-11,018
142	-10,747
143	-10,495
144	-10,263
145	-10,054
146	-9,8666
147	-9,7027
148	-9,5628
149	-9,4475
150	-9,3573
151	-9,2926
152	-9,2537
153	-9,2407
154	-9,2407
155	-9,2407
156	-9,2407
157	-9,2407
158	-12,778
159	-12,778
160	-12,778
161	-12,778
162	-12,778
163	-12,778
164	-12,809
165	-12,902
166	-13,054
167	-13,261
168	-13,519
169	-13,821
170	-14,16
171	-14,527
172	-14,913
173	-15,309
174	-15,705
175	-16,092
176	-16,459
177	-16,797
178	-17,099
179	-17,357
180	-17,565
181	-17,717
182	-17,81
183	-0,65359
184	-0,69252
185	-0,75721
186	-0,84738
187	-0,96266
188	-1,1025
189	-1,2664
190	-1,4536
191	-1,6633
192	-1,8947
193	-2,1466
194	-2,4181
195	-2,7079
196	-3,0149
197	-3,3377
198	-3,6749
199	-4,0251
200	-4,3869
201	-4,7585
202	-5,1385
203	-5,5253
204	-5,9171
205	-6,3123
206	-6,7092
207	-7,1061
208	-7,5013
209	-7,8931
210	-8,2799
211	-8,6599
212	-9,0316
213	-9,3933
214	-9,7435
215	-10,081
216	-10,404
217	-10,711
218	-11,
219	-11,272
220	-11,524
221	-11,755
222	-11,965
223	-12,152
224	-12,316
225	-12,456
226	-12,571
227	-12,661
228	-12,726
229	-12,765
230	-9,2096
231	-9,1168
232	-8,9648
233	-8,7572
234	-8,4993
235	-8,1972
236	-7,8585
237	-7,4915
238	-7,1052
239	-6,7092
240	-6,3132
241	-5,9269
242	-5,5599
243	-5,2212
244	-4,9192
245	-4,6612
246	-4,4536
247	-4,3016
248	-4,2089
249	-19,229
250	-21,341
251	-21,235
252	-21,074
253	-20,871
254	-20,638
255	-20,383
256	-20,111
257	-19,827
258	-19,532
259	-19,012
260	-18,791
261	-18,572
262	-18,36
263	-18,165
264	-17,999
265	-17,883
266	-11,009
267	-11,027
268	-11,08
269	-11,167
270	-11,289
271	-11,443
272	-11,629
273	-11,845
274	-12,09
275	-12,361
276	-12,656
277	-12,973
278	-13,31
279	-13,662
280	-14,028
281	-14,405
282	-14,789
283	-15,177
284	-15,566
285	-15,954
286	-16,336
287	-16,709
288	-17,071
289	-17,419
290	-17,749
291	-18,06
292	-18,347
293	-18,61
294	-18,846
295	-19,053
296	-9,2851
297	-9,4159
298	-9,6266
299	-9,9066
300	-10,242
301	-10,616
302	-11,403
303	-11,777
304	-12,112
305	-12,392
306	-12,603
307	-12,733
308	-2,7897
309	-2,9657
310	-3,1725
311	-3,4083
312	-3,6711
313	-3,9589
314	-4,2692
315	-4,5995
316	-4,9472
317	-5,3092
318	-5,6828
319	-6,0648
320	-6,452
321	-6,8414
322	-7,2297
323	-7,6137
324	-7,9903
325	-8,3564
326	-8,709
327	-9,0452
328	-9,3622
329	-9,6575
330	-9,9286
331	-10,173
332	-10,39
333	-10,576
334	-10,73
335	-10,851
336	-10,939
337	-10,992
338	-4,1351
339	-4,0192
340	-3,8536
341	-3,6582
342	-3,4466
343	-3,2272
344	-3,0066
345	-2,4866
346	-2,1918
347	-1,9073
348	-1,6356
349	-1,3805
350	-1,1476
351	-0,94485
352	-0,78357
353	-0,67775
354	-0,71819
355	-0,85138
