Node Number	Normal Stress (MPa)
117259	-9,9787e-002
117260	-5,8893e-002
117261	-8,4852e-002
117262	-7,5779e-002
117263	-6,8519e-002
117264	-6,5373e-002
117265	-6,5207e-002
117266	-6,5382e-002
117267	-6,6424e-002
117268	-6,5882e-002
117269	-6,2453e-002
117270	-6,2235e-002
117271	-6,1587e-002
117272	-6,1559e-002
117273	-6,1964e-002
117274	-6,2903e-002
117275	-6,217e-002
117276	-6,3361e-002
117277	-6,7462e-002
117278	-6,7917e-002
117279	-6,9399e-002
117280	-6,9462e-002
117281	-6,9751e-002
117282	-6,2207e-002
117283	-4,8194e-002
117284	-0,19483
117285	-9,8192e-002
117286	-0,11044
117287	-0,12049
117288	-0,12723
117289	-0,13052
117290	-0,13225
117291	-0,13383
117292	-0,13227
117293	-0,13661
117294	-0,14034
117295	-0,13238
117296	-0,13334
117297	-0,13387
117298	-0,13415
117299	-0,13283
117300	-0,13131
117301	-0,12868
117302	-0,12454
117303	-0,12361
117304	-0,12264
117305	-0,12205
117306	-0,12271
117307	-0,12661
117308	-0,13102
117309	-0,13983
117310	-0,15587
117311	-0,1648
117312	-5,5101e-002
117313	-4,586e-002
117314	-6,179e-002
117315	-6,7387e-002
117316	-6,8677e-002
117317	-6,6721e-002
117318	-6,6318e-002
117319	-6,6183e-002
117320	-6,5993e-002
117321	-6,1831e-002
117322	-6,1947e-002
117323	-6,0548e-002
117324	-5,8791e-002
117325	-6,1015e-002
117326	-6,191e-002
117327	-6,3023e-002
117328	-6,3954e-002
117329	-6,305e-002
117330	-6,5712e-002
117331	-6,4414e-002
117332	-6,4451e-002
117333	-6,9458e-002
117334	-7,4741e-002
117335	-8,3939e-002
117336	-0,18932
117337	-0,15935
117338	-0,15143
117339	-0,1414
117340	-0,13274
117341	-0,12864
117342	-0,125
117343	-0,12374
117344	-0,12346
117345	-0,12676
117346	-0,12498
117347	-0,12895
117348	-0,13272
117349	-0,13594
117350	-0,13456
117351	-0,13465
117352	-0,13377
117353	-0,13296
117354	-0,13796
117355	-0,13604
117356	-0,13328
117357	-0,13429
117358	-0,13375
117359	-0,13127
117360	-0,12887
117361	-0,12397
117362	-0,11186
117363	-5,5583e-002
117364	-9,4916e-002
117365	-7,6685e-002
117366	-5,3679e-002
117367	-0,12038
117368	-8,5891e-002
117369	-9,8624e-002
117370	-0,33325
117371	-0,12645
117372	-0,11234
117373	-9,8853e-002
117374	-5,4373e-002
117375	-4,8685e-002
117376	-7,1344e-002
117377	-9,3158e-002
117378	-0,13023
117379	-0,10563
117380	-0,10279
117381	-0,28492
117382	-9,5625e-002
117383	-0,10942
117384	-0,12315
117385	-4,7704e-002
117386	-6,7545e-002
117387	-5,1744e-002
117388	-4,8515e-002
117389	-4,7441e-002
117390	-4,7229e-002
117391	-4,6386e-002
117392	-5,5197e-002
117393	-4,797e-002
117394	-4,8146e-002
117395	-4,0734e-002
117396	-4,0881e-002
117397	-4,9872e-002
117398	-4,7734e-002
117399	-3,8403e-002
117400	-3,9989e-002
117401	-5,1156e-002
117402	-4,4008e-002
117403	-4,1099e-002
117404	-3,7509e-002
117405	-4,0226e-002
117406	-4,8252e-002
117407	-4,5227e-002
117408	-3,9736e-002
117409	-4,0715e-002
117410	-4,1317e-002
117411	-4,4137e-002
117412	-4,0743e-002
117413	-4,0435e-002
117414	-4,0354e-002
117415	-4,7492e-002
117416	-4,005e-002
117417	-3,8113e-002
117418	-3,6529e-002
117419	-3,8235e-002
117420	-4,033e-002
117421	-4,1012e-002
117422	-4,1829e-002
117423	-4,5842e-002
117424	-3,9507e-002
117425	-3,9081e-002
117426	-3,8775e-002
117427	-3,6075e-002
117428	-3,7506e-002
117429	-4,2358e-002
117430	-4,4238e-002
117431	-4,3101e-002
117432	-4,4481e-002
117433	-4,8741e-002
117434	-4,7348e-002
117435	-4,8898e-002
117436	-4,1061e-002
117437	-4,2165e-002
117438	-3,9172e-002
117439	-4,5562e-002
117440	-4,637e-002
117441	-4,0865e-002
117442	-4,2291e-002
117443	-4,3146e-002
117444	-4,8067e-002
117445	-4,1033e-002
117446	-3,8831e-002
117447	-4,0828e-002
117448	-3,8236e-002
117449	-3,8503e-002
117450	-4,4996e-002
117451	-4,4955e-002
117452	-4,5514e-002
117453	-4,29e-002
117454	-4,1864e-002
117455	-4,4968e-002
117456	-3,9642e-002
117457	-4,3627e-002
117458	-4,9996e-002
117459	-4,576e-002
117460	-4,4747e-002
117461	-4,4873e-002
117462	-4,1518e-002
117463	-4,5544e-002
117464	-4,3998e-002
117465	-3,7455e-002
117466	-3,8269e-002
117467	-3,9285e-002
117468	-3,9095e-002
117469	-4,026e-002
117470	-4,6746e-002
117471	-4,0133e-002
117472	-3,9999e-002
117473	-4,6007e-002
117474	-5,0256e-002
117475	-4,2005e-002
117476	-4,4047e-002
117477	-4,0663e-002
117478	-4,1683e-002
117479	-4,8306e-002
117480	-4,0339e-002
117481	-4,5398e-002
117482	-4,4166e-002
117483	-4,2749e-002
117484	-3,966e-002
117485	-4,2396e-002
117486	-4,8623e-002
117487	-5,0213e-002
117488	-5,3612e-002
117489	-4,361e-002
117490	-4,865e-002
117491	-4,883e-002
117492	-0,10226
117493	-0,10125
117494	-9,433e-002
117495	-4,5481e-002
117496	-9,2182e-002
117497	-0,10083
117498	-0,1016
117499	-5,1309e-002
117500	-4,6441e-002
117501	-4,8294e-002
117502	-5,404e-002
117503	-4,8088e-002
117504	-4,975e-002
117505	-5,1834e-002
117506	-4,9704e-002
117507	-4,7217e-002
117508	-4,6508e-002
117509	-4,9116e-002
117510	-4,8263e-002
117511	-4,8438e-002
117512	-4,7211e-002
117513	-5,0577e-002
117514	-5,1319e-002
117515	-5,3042e-002
117516	-4,615e-002
117517	-4,724e-002
117518	-5,1896e-002
117519	-5,1982e-002
117520	-5,1128e-002
117521	-4,9538e-002
117522	-5,4176e-002
117523	-4,8742e-002
117524	-4,7707e-002
117525	-4,8856e-002
117526	-5,1104e-002
117527	-5,3313e-002
117528	-5,0241e-002
117529	-5,0324e-002
117530	-4,7124e-002
117531	-4,7342e-002
117532	-4,7163e-002
117533	-4,0804e-002
117534	-4,9531e-002
117535	-5,0613e-002
117536	-5,1347e-002
117537	-5,3473e-002
117538	-5,1769e-002
117539	-4,4647e-002
117540	-4,9668e-002
117541	-4,8062e-002
117542	-4,7347e-002
117543	-4,9858e-002
117544	-5,3003e-002
117545	-5,0918e-002
117546	-4,4759e-002
117547	-5,1576e-002
117548	-4,8563e-002
117549	-5,0881e-002
117550	-5,0815e-002
117551	-4,4964e-002
117552	-4,6175e-002
117553	-4,5384e-002
117554	-4,7014e-002
117555	-4,3498e-002
117556	-4,6661e-002
117557	-5,1408e-002
117558	-4,8512e-002
117559	-4,7004e-002
117560	-4,8611e-002
117561	-4,4061e-002
117562	-4,4528e-002
117563	-4,3654e-002
117564	-4,225e-002
117565	-5,0697e-002
117566	-4,4172e-002
117567	-4,4129e-002
117568	-4,5628e-002
117569	-5,3732e-002
117570	-4,3252e-002
117571	-4,4729e-002
117572	-4,0651e-002
117573	-4,4702e-002
117574	-5,2219e-002
117575	-4,0441e-002
117576	-4,639e-002
117577	-4,4725e-002
117578	-4,4336e-002
117579	-4,3517e-002
117580	-4,32e-002
117581	-5,09e-002
117582	-4,7933e-002
117583	-4,7898e-002
117584	-4,3882e-002
117585	-5,6298e-002
117586	-5,237e-002
117587	-4,5978e-002
117588	-5,4512e-002
117589	-5,3708e-002
117590	-5,1317e-002
117591	-7,5644e-002
117592	-7,4627e-002
117593	-5,4544e-002
117594	-5,2041e-002
117595	-4,7784e-002
117596	-5,1782e-002
117597	-5,1365e-002
117598	-5,2641e-002
117599	-4,8077e-002
117600	-4,1686e-002
117601	-4,3863e-002
117602	-4,1314e-002
117603	-4,6905e-002
117604	-4,2121e-002
117605	-4,4758e-002
117606	-4,2692e-002
117607	-4,6236e-002
117608	-4,2782e-002
117609	-3,9718e-002
117610	-4,0405e-002
117611	-4,3887e-002
117612	-3,7065e-002
117613	-4,0722e-002
117614	-4,0401e-002
117615	-3,9986e-002
117616	-4,3306e-002
117617	-4,1693e-002
117618	-4,0244e-002
117619	-4,0392e-002
117620	-4,6011e-002
117621	-3,9652e-002
117622	-4,2075e-002
117623	-4,387e-002
117624	-4,4026e-002
117625	-4,0085e-002
117626	-4,4096e-002
117627	-4,0827e-002
117628	-3,4568e-002
117629	-4,0133e-002
117630	-3,767e-002
117631	-3,8396e-002
117632	-3,9318e-002
117633	-4,1082e-002
117634	-4,1543e-002
117635	-3,9902e-002
117636	-3,9394e-002
117637	-3,913e-002
117638	-4,714e-002
117639	-4,0453e-002
117640	-4,2211e-002
117641	-3,9089e-002
117642	-4,5454e-002
117643	-4,6058e-002
117644	-3,7503e-002
117645	-3,9405e-002
117646	-4,1311e-002
117647	-4,6159e-002
117648	-4,3498e-002
117649	-4,0209e-002
117650	-4,0224e-002
117651	-3,7077e-002
117652	-4,0399e-002
117653	-4,7564e-002
117654	-4,4057e-002
117655	-3,6417e-002
117656	-4,0528e-002
117657	-3,8275e-002
117658	-3,5561e-002
117659	-4,7068e-002
117660	-4,6618e-002
117661	-4,5801e-002
117662	-4,1299e-002
117663	-4,0787e-002
117664	-4,5291e-002
117665	-4,5592e-002
117666	-4,6306e-002
117667	-4,2902e-002
117668	-4,2841e-002
117669	-4,6231e-002
117670	-4,297e-002
117671	-3,8878e-002
117672	-4,0691e-002
117673	-3,2174e-002
117674	-4,3637e-002
117675	-4,7368e-002
117676	-4,0112e-002
117677	-3,9769e-002
117678	-3,9437e-002
117679	-4,0496e-002
117680	-4,4088e-002
117681	-4,4137e-002
117682	-3,9946e-002
117683	-4,0607e-002
117684	-4,2187e-002
117685	-5,0183e-002
117686	-4,4377e-002
117687	-4,2413e-002
117688	-4,4396e-002
117689	-4,2603e-002
117690	-4,3159e-002
117691	-3,983e-002
117692	-4,3502e-002
117693	-4,6812e-002
117694	-4,2048e-002
117695	-4,4555e-002
117696	-5,6508e-002
117697	-5,0667e-002
117698	-4,0943e-002
117699	-4,6333e-002
117700	-5,3661e-002
117701	-7,7261e-002
117702	-4,7523e-002
117703	-4,3129e-002
117704	-4,8818e-002
117705	-5,111e-002
117706	-4,7109e-002
117707	-4,5892e-002
117708	-4,7022e-002
117709	-5,2368e-002
117710	-5,588e-002
117711	-5,4702e-002
117712	-5,0872e-002
117713	-4,8049e-002
117714	-4,7565e-002
117715	-4,7453e-002
117716	-5,02e-002
117717	-4,7893e-002
117718	-4,7027e-002
117719	-4,5751e-002
117720	-4,5116e-002
117721	-5,0218e-002
117722	-5,2232e-002
117723	-4,4487e-002
117724	-5,0289e-002
117725	-5,5268e-002
117726	-5,2735e-002
117727	-5,3454e-002
117728	-5,766e-002
117729	-6,3174e-002
117730	-5,9829e-002
117731	-4,5152e-002
117732	-5,4713e-002
117733	-5,2693e-002
117734	-4,6405e-002
117735	-4,8053e-002
117736	-4,2432e-002
117737	-4,6674e-002
117738	-4,6798e-002
117739	-5,1505e-002
117740	-5,4684e-002
117741	-4,8174e-002
117742	-4,9707e-002
117743	-4,5476e-002
117744	-4,6234e-002
117745	-4,6452e-002
117746	-4,896e-002
117747	-5,4188e-002
117748	-4,704e-002
117749	-4,377e-002
117750	-5,1059e-002
117751	-4,9196e-002
117752	-4,7394e-002
117753	-4,5467e-002
117754	-4,5762e-002
117755	-4,4571e-002
117756	-5,0462e-002
117757	-4,9243e-002
117758	-4,5747e-002
117759	-4,9574e-002
117760	-4,4868e-002
117761	-4,3744e-002
117762	-4,4607e-002
117763	-5,0815e-002
117764	-4,9057e-002
117765	-4,8181e-002
117766	-4,7485e-002
117767	-4,5142e-002
117768	-4,2964e-002
117769	-4,8868e-002
117770	-4,7198e-002
117771	-4,6148e-002
117772	-4,2307e-002
117773	-4,2059e-002
117774	-4,3719e-002
117775	-4,3758e-002
117776	-5,0986e-002
117777	-5,2727e-002
117778	-4,324e-002
117779	-5,2024e-002
117780	-4,8337e-002
117781	-5,0333e-002
117782	-4,4275e-002
117783	-4,2831e-002
117784	-4,2979e-002
117785	-4,778e-002
117786	-5,0035e-002
117787	-5,445e-002
117788	-5,4057e-002
117789	-5,7131e-002
117790	-5,3843e-002
117791	-5,9675e-002
117792	-7,797e-002
117793	-0,3389
117794	-0,17193
117795	-0,5407
117796	-0,23901
117797	-0,31818
117798	-0,51189
117799	-9,4743e-002
117800	-0,19357
117801	-0,1906
117802	-0,19249
117803	-0,18109
117804	-0,17545
117805	-0,15633
117806	-0,14504
117807	-0,11251
117808	-0,1501
117809	-0,18322
117810	-0,19476
117811	-0,16213
117812	-0,11644
117813	-0,10904
117814	-0,20053
117815	-0,134
117816	-0,1483
117817	-0,16023
117818	-0,18453
117819	-0,13266
117820	-0,17791
117821	-0,15344
117822	-0,15099
117823	-0,1516
117824	-0,16197
117825	-0,15681
117826	-0,16223
117827	-0,13022
117828	-0,16467
117829	-0,16173
117830	-0,11183
117831	-0,15804
117832	-0,15801
117833	-0,11662
117834	-0,19004
117835	-0,15532
117836	-0,13507
117837	-0,17486
117838	-0,18648
117839	-0,15969
117840	-0,1205
117841	-0,12738
117842	-0,16558
117843	-0,1806
117844	-0,20402
117845	-0,17536
117846	-0,16234
117847	-0,16599
117848	-0,15368
117849	-0,13453
117850	-0,12845
117851	-0,12549
117852	-0,13853
117853	-0,13175
117854	-0,13242
117855	-0,14393
117856	-0,15409
117857	-0,18925
117858	-0,19417
117859	-0,16069
117860	-0,13657
117861	-0,1104
117862	-0,15301
117863	-0,1922
117864	-0,17474
117865	-0,14087
117866	-0,16194
117867	-0,19316
117868	-0,15234
117869	-0,14471
117870	-0,16082
117871	-0,14119
117872	-0,12907
117873	-0,17046
117874	-0,10768
117875	-0,18551
117876	-0,11905
117877	-0,15207
117878	-0,15314
117879	-0,13177
117880	-0,16266
117881	-0,14535
117882	-0,11958
117883	-0,18262
117884	-0,14294
117885	-0,13726
117886	-0,16646
117887	-0,18694
117888	-0,12763
117889	-0,13811
117890	-0,17083
117891	-0,19269
117892	-0,15091
117893	-0,13896
117894	-0,1443
117895	-0,14467
117896	-0,16416
117897	-0,16584
117898	-0,17217
117899	-1,4555e-002
117900	-3,3032e-002
117901	-0,17465
117902	-0,17651
117903	-3,2009e-002
117904	-7,5989e-003
117905	-0,38132
117906	-0,18289
117907	-0,16562
117908	-0,1845
117909	-0,13375
117910	-0,11888
117911	-0,15392
117912	-0,14512
117913	-0,18899
117914	-0,17706
