0	Time [s]	Pressure sensor 43 (NormX) [MPa]	Pressure sensor 43 (NormY) [MPa]	Pressure sensor 43 (NormZ) [MPa]	Pressure sensor 43 (ShearXY) [MPa]	Pressure sensor 43 (ShearYZ) [MPa]	Pressure sensor 43 (ShearXZ) [MPa]	Pressure sensor 43 (Equivalent (von-Mises)) [MPa]	Pressure sensor 43 (Maximum Principal) [MPa]	Pressure sensor 43 (Middle Principal) [MPa]	Pressure sensor 43 (Minimum Principal) [MPa]	Pressure sensor 43 (Intensity) [MPa] 
1	1,6667e-002	-4,6833e-005	-4,683e-005	-4,8767e-005	7,5798e-009	-4,4603e-005	-3,6026e-005	9,9325e-005	9,5475e-006	-4,6839e-005	-1,0514e-004	1,1469e-004 
2	3,3333e-002	-9,962e-005	-9,9605e-005	-1,0378e-004	3,2169e-008	-9,2338e-005	-7,3925e-005	2,0492e-004	1,6624e-005	-9,9645e-005	-2,1998e-004	2,3661e-004 
3	5,8333e-002	-1,8393e-004	-1,8388e-004	-1,9173e-004	1,0275e-007	-1,6567e-004	-1,3172e-004	3,6668e-004	2,3925e-005	-1,8401e-004	-3,9946e-004	4,2338e-004 
4	9,5833e-002	-3,0403e-004	-3,039e-004	-3,1724e-004	2,7558e-007	-2,7182e-004	-2,1537e-004	6,0082e-004	3,6403e-005	-3,0425e-004	-6,5732e-004	6,9373e-004 
5	0,15208	-4,9471e-004	-4,9436e-004	-5,1695e-004	7,0475e-007	-4,3651e-004	-3,4314e-004	9,6196e-004	4,9978e-005	-4,9526e-004	-1,0607e-003	1,1107e-003 
6	0,23646	-8,0554e-004	-8,0464e-004	-8,4354e-004	1,7645e-006	-6,9383e-004	-5,4086e-004	1,5242e-003	5,6564e-005	-8,0692e-004	-1,7034e-003	1,7599e-003 
7	0,36302	-1,2734e-003	-1,2712e-003	-1,3377e-003	4,2424e-006	-1,0803e-003	-8,3566e-004	2,3665e-003	6,3394e-005	-1,2767e-003	-2,669e-003	2,7324e-003 
8	0,52969	-1,9168e-003	-1,9118e-003	-2,0217e-003	9,2124e-006	-1,5989e-003	-1,2267e-003	3,4922e-003	5,2842e-005	-1,9239e-003	-3,9793e-003	4,0322e-003 
9	0,69635	-2,5871e-003	-2,578e-003	-2,7395e-003	1,6183e-005	-2,1286e-003	-1,6194e-003	4,6353e-003	2,3359e-005	-2,5994e-003	-5,3286e-003	5,352e-003 
10	0,86302	-3,2648e-003	-3,2504e-003	-3,4708e-003	2,5142e-005	-2,6621e-003	-2,0122e-003	5,7841e-003	-1,1891e-005	-3,2837e-003	-6,6903e-003	6,6784e-003 
11	1,	-3,8335e-003	-3,8135e-003	-4,0886e-003	3,409e-005	-3,1096e-003	-2,3361e-003	6,7421e-003	-4,6034e-005	-3,859e-003	-7,8305e-003	7,7845e-003 
