Node Number	LOC_DEFY (mm)
1	1,5
2	14,5
3	1,5726
4	1,7888
5	2,1437
6	2,6294
7	3,2352
8	3,9473
9	4,75
10	5,6253
11	6,5536
12	7,5143
13	8,4857
14	9,4464
15	10,375
16	11,25
17	12,053
18	12,765
19	13,371
20	13,856
21	14,211
22	14,427
23	17,5
24	15,5
25	16,5
26	-1,5
27	-1,448
28	-1,2924
29	-1,035
30	-0,67868
31	-0,22724
32	0,31434
33	0,94012
34	1,6433
35	2,416
36	3,25
37	4,136
38	5,0643
39	6,0248
40	7,007
41	8,
42	8,993
43	9,9752
44	10,936
45	11,864
46	12,75
47	13,584
48	14,357
49	15,06
50	15,686
51	16,227
52	16,679
53	17,035
54	17,292
55	17,448
56	-14,5
57	-14,427
58	-14,211
59	-13,856
60	-13,371
61	-12,765
62	-12,053
63	-11,25
64	-10,375
65	-9,4464
66	-8,4857
67	-7,5143
68	-6,5536
69	-5,6253
70	-4,75
71	-3,9473
72	-3,2352
73	-2,6294
74	-2,1437
75	-1,7888
76	-1,5726
77	-17,5
78	-16,5
79	-15,5
80	-17,448
81	-17,292
82	-17,035
83	-16,679
84	-16,227
85	-15,686
86	-15,06
87	-14,357
88	-13,584
89	-12,75
90	-11,864
91	-10,936
92	-9,9752
93	-8,993
94	-8,
95	-7,007
96	-6,0248
97	-5,0643
98	-4,136
99	-3,25
100	-2,416
101	-1,6433
102	-0,94012
103	-0,31434
104	0,22724
105	0,67868
106	1,035
107	1,2924
108	1,448
109	14,5
110	14,5
111	14,5
112	17,5
113	14,875
114	15,25
115	15,625
116	16,
117	16,375
118	16,75
119	17,125
120	17,5
121	17,5
122	-14,5
123	-14,5
124	-14,5
125	-17,5
126	-14,875
127	-15,25
128	-15,625
129	-16,
130	-16,375
131	-16,75
132	-17,125
133	-17,5
134	-17,5
135	1,5
136	-17,492
137	-17,467
138	-17,425
139	-17,367
140	-17,292
141	-17,202
142	-17,095
143	-16,972
144	-16,833
145	-16,679
146	-16,509
147	-16,325
148	-16,126
149	-15,913
150	-15,686
151	-15,445
152	-15,191
153	-14,925
154	-14,647
155	-14,357
156	-14,056
157	-13,744
158	-13,422
159	-13,09
160	-12,75
161	-12,401
162	-12,045
163	-11,681
164	-11,311
165	-10,936
166	-10,555
167	-10,169
168	-9,7801
169	-9,3878
170	-8,993
171	-8,5965
172	-8,199
173	-7,801
174	-7,4035
175	-7,007
176	-6,6122
177	-6,2199
178	-5,8307
179	-5,4453
180	-5,0643
181	-4,6886
182	-4,3186
183	-3,9551
184	-3,5987
185	-3,25
186	-2,9096
187	-2,5782
188	-2,2563
189	-1,9445
190	-1,6433
191	-1,3532
192	-1,0748
193	-0,80855
194	-0,55491
195	-0,31434
196	-8,7248e-002
197	0,12596
198	0,32491
199	0,50926
200	0,67868
201	0,83288
202	0,97158
203	1,0945
204	1,2015
205	1,2924
206	1,367
207	1,4251
208	1,4667
209	1,4917
210	1,5
211	1,5
212	-1,5
213	-1,5
214	-1,5
215	-1,5119
216	-1,5474
217	-1,6065
218	-1,6889
219	-1,7943
220	-1,9224
221	-2,0727
222	-2,2445
223	-2,4374
224	-2,6506
225	-2,8833
226	-3,1347
227	-3,4038
228	-3,6897
229	-3,9913
230	-4,3076
231	-4,6373
232	-4,9793
233	-5,3323
234	-5,6951
235	-6,0662
236	-6,4444
237	-6,8283
238	-7,2165
239	-7,6075
240	-8,
241	-8,3925
242	-8,7835
243	-9,1717
244	-9,5556
245	-9,9338
246	-10,305
247	-10,668
248	-11,021
249	-11,363
250	-11,692
251	-12,009
252	-12,31
253	-12,596
254	-12,865
255	-13,117
256	-13,349
257	-13,563
258	-13,755
259	-13,927
260	-14,078
261	-14,206
262	-14,311
263	-14,394
264	-14,453
265	-14,488
266	17,492
267	17,467
268	17,425
269	17,367
270	17,292
271	17,202
272	17,095
273	16,972
274	16,833
275	16,679
276	16,509
277	16,325
278	16,126
279	15,913
280	15,686
281	15,445
282	15,191
283	14,925
284	14,647
285	14,357
286	14,056
287	13,744
288	13,422
289	13,09
290	12,75
291	12,401
292	12,045
293	11,681
294	11,311
295	10,936
296	10,555
297	10,169
298	9,7801
299	9,3878
300	8,993
301	8,5965
302	8,199
303	7,801
304	7,4035
305	7,007
306	6,6122
307	6,2199
308	5,8307
309	5,4453
310	5,0643
311	4,6886
312	4,3186
313	3,9551
314	3,5987
315	3,25
316	2,9096
317	2,5782
318	2,2563
319	1,9445
320	1,6433
321	1,3532
322	1,0748
323	0,80855
324	0,55491
325	0,31434
326	8,7248e-002
327	-0,12596
328	-0,32491
329	-0,50926
330	-0,67868
331	-0,83288
332	-0,97158
333	-1,0945
334	-1,2015
335	-1,2924
336	-1,367
337	-1,4251
338	-1,4667
339	-1,4917
340	1,5119
341	1,5474
342	1,6065
343	1,6889
344	1,7943
345	1,9224
346	2,0727
347	2,2445
348	2,4374
349	2,6506
350	2,8833
351	3,1347
352	3,4038
353	3,6897
354	3,9913
355	4,3076
356	4,6373
357	4,9793
358	5,3323
359	5,6951
360	6,0662
361	6,4444
362	6,8283
363	7,2165
364	7,6075
365	8,
366	8,3925
367	8,7835
368	9,1717
369	9,5556
370	9,9338
371	10,305
372	10,668
373	11,021
374	11,363
375	11,692
376	12,009
377	12,31
378	12,596
379	12,865
380	13,117
381	13,349
382	13,563
383	13,755
384	13,927
385	14,078
386	14,206
387	14,311
388	14,394
389	14,453
390	14,488
391	15,858
392	17,455
393	17,331
394	17,149
395	16,928
396	16,681
397	16,416
398	16,141
399	15,604
400	15,351
401	15,107
402	14,881
403	14,687
404	14,551
405	6,7497e-009
406	9,687e-003
407	3,8725e-002
408	8,7042e-002
409	0,15452
410	0,241
411	0,34628
412	0,47008
413	0,61212
414	0,77206
415	0,9495
416	1,144
417	1,3551
418	1,5823
419	1,8251
420	2,0828
421	2,3548
422	2,6405
423	2,9392
424	3,2502
425	3,5726
426	3,9058
427	4,2488
428	4,601
429	4,9614
430	5,3292
431	5,7034
432	6,0832
433	6,4676
434	6,8557
435	7,2467
436	7,6394
437	8,033
438	8,4265
439	8,819
440	9,2095
441	9,5971
442	9,9808
443	10,36
444	10,733
445	11,1
446	11,459
447	11,809
448	12,151
449	12,482
450	12,803
451	13,112
452	13,408
453	13,692
454	13,961
455	14,217
456	14,457
457	14,681
458	14,89
459	15,081
460	15,256
461	15,413
462	15,552
463	15,673
464	15,775
465	-1,4489
466	-1,299
467	-1,0607
468	-0,75
469	-0,38823
470	0,38823
471	0,75
472	1,0607
473	1,299
474	1,4489
475	-15,858
476	-15,775
477	-15,673
478	-15,552
479	-15,413
480	-15,256
481	-15,081
482	-14,89
483	-14,681
484	-14,457
485	-14,217
486	-13,961
487	-13,692
488	-13,408
489	-13,112
490	-12,803
491	-12,482
492	-12,151
493	-11,809
494	-11,459
495	-11,1
496	-10,733
497	-10,36
498	-9,9808
499	-9,5971
500	-9,2095
501	-8,819
502	-8,4265
503	-8,033
504	-7,6394
505	-7,2467
506	-6,8557
507	-6,4676
508	-6,0832
509	-5,7034
510	-5,3292
511	-4,9614
512	-4,601
513	-4,2488
514	-3,9058
515	-3,5726
516	-3,2502
517	-2,9392
518	-2,6405
519	-2,3548
520	-2,0828
521	-1,8251
522	-1,5823
523	-1,3551
524	-1,144
525	-0,9495
526	-0,77206
527	-0,61212
528	-0,47008
529	-0,34628
530	-0,241
531	-0,15452
532	-8,7042e-002
533	-3,8725e-002
534	-9,687e-003
535	-14,551
536	-14,687
537	-14,881
538	-15,107
539	-15,351
540	-15,604
541	-16,141
542	-16,416
543	-16,681
544	-16,928
545	-17,149
546	-17,331
547	-17,455
548	-17,422
549	-17,303
550	-17,165
551	-16,941
552	-16,765
553	-16,476
554	0,59935
555	0,86221
556	1,1418
557	1,345
558	-16,164
559	-15,937
560	-15,793
561	-15,637
562	-15,466
563	-15,276
564	-15,066
565	-14,84
566	-14,6
567	-14,343
568	-14,069
569	-13,78
570	-13,478
571	-13,165
572	-12,841
573	-12,504
574	-12,153
575	-11,791
576	-11,422
577	-11,048
578	-10,668
579	-10,279
580	-9,8811
581	-9,4774
582	-9,0721
583	-8,6673
584	-8,262
585	-7,8536
586	-7,4426
587	-7,0327
588	-6,6269
589	-6,2252
590	-5,827
591	-5,4326
592	-5,0451
593	-4,6671
594	-4,2988
595	-3,9389
596	-3,587
597	-3,2443
598	-2,9134
599	-2,5961
600	-2,2931
601	-2,0034
602	-1,7266
603	-1,4645
604	-1,2195
605	-0,99132
606	-0,77914
607	-0,58358
608	-0,40604
609	-0,24733
610	-0,10631
611	1,6879e-002
612	0,12543
613	0,22042
614	0,27795
615	0,30608
616	-17,448
617	-17,398
618	-17,372
619	-17,285
620	-17,203
621	-17,097
622	-16,981
623	-16,846
624	-16,7
625	-16,546
626	-16,378
627	-16,183
628	-15,964
629	-15,739
630	-15,505
631	-15,268
632	-15,023
633	-14,748
634	-14,447
635	-14,15
636	-13,838
637	-13,521
638	-13,207
639	-12,887
640	-12,545
641	-12,182
642	-11,814
643	-11,44
644	-11,068
645	-10,703
646	-10,335
647	-9,9501
648	-9,5493
649	-9,1427
650	-8,7473
651	-8,3484
652	-7,963
653	-7,5848
654	-7,1905
655	-6,7812
656	-6,381
657	-5,9895
658	-5,613
659	-5,2504
660	-4,8791
661	-4,4958
662	-4,1236
663	-3,7582
664	-3,4084
665	-3,0705
666	-2,7484
667	-2,427
668	-2,1045
669	-1,7909
670	-1,4961
671	-1,2099
672	-0,94367
673	-0,69632
674	-0,45503
675	-0,21748
676	5,3018e-003
677	0,21281
678	0,4014
679	0,56933
680	0,72511
681	0,8725
682	1,0017
683	1,1149
684	1,2119
685	1,2913
686	1,3532
687	1,3895
688	1,4496
689	-16,197
690	0,32181
691	-17,35
692	-17,225
693	-17,045
694	-16,752
695	-16,495
696	0,61458
697	0,92251
698	1,2177
699	-16,276
700	-16,156
701	-16,01
702	-15,847
703	-15,662
704	-15,451
705	-15,223
706	-14,984
707	-14,728
708	-14,454
709	-14,159
710	-13,85
711	-13,533
712	-13,207
713	-12,868
714	-12,51
715	-12,137
716	-11,756
717	-11,374
718	-10,989
719	-10,596
720	-10,188
721	-9,7659
722	-9,3429
723	-8,9247
724	-8,5061
725	-8,0901
726	-7,6631
727	-7,2332
728	-6,8089
729	-6,392
730	-5,9774
731	-5,5623
732	-5,1517
733	-4,7542
734	-4,3716
735	-3,9985
736	-3,6311
737	-3,2684
738	-2,9134
739	-2,5751
740	-2,2478
741	-1,9478
742	-1,6542
743	-1,371
744	-1,1064
745	-0,86199
746	-0,63412
747	-0,41977
748	-0,22115
749	-4,3967e-002
750	0,11184
751	0,24645
752	0,3675
753	0,48823
754	0,62438
755	0,61244
756	-17,274
757	-17,112
758	-17,063
759	-16,91
760	-16,782
761	-16,639
762	-16,486
763	-16,379
764	-16,193
765	-15,97
766	-15,733
767	-15,492
768	-15,255
769	-15,072
770	-14,82
771	-14,513
772	-14,205
773	-13,886
774	-13,562
775	-13,248
776	-12,987
777	-12,675
778	-12,287
779	-11,917
780	-11,543
781	-11,163
782	-10,792
783	-10,485
784	-10,129
785	-9,7213
786	-9,2977
787	-8,8846
788	-8,4854
789	-8,0936
790	-7,7526
791	-7,4056
792	-6,988
793	-6,5671
794	-6,1579
795	-5,7727
796	-5,4359
797	-5,114
798	-4,7201
799	-4,3343
800	-3,9586
801	-3,595
802	-3,2474
803	-2,9451
804	-2,6632
805	-2,333
806	-2,0033
807	-1,6934
808	-1,3996
809	-1,1254
810	-0,86732
811	-0,66716
812	-0,42517
813	-0,19136
814	2,892e-002
815	0,2282
816	0,42022
817	0,54167
818	0,69286
819	0,83083
820	0,95143
821	1,0476
822	1,0951
823	1,1857
824	1,2672
825	-16,947
826	-16,556
827	-17,128
828	-16,952
829	-16,75
830	1,0883
831	-16,483
832	-16,351
833	-16,203
834	-16,036
835	-15,828
836	-15,591
837	-15,349
838	-15,101
839	-14,835
840	-14,535
841	-14,214
842	-13,893
843	-13,567
844	-13,232
845	-12,877
846	-12,491
847	-12,093
848	-11,698
849	-11,314
850	-10,922
851	-10,517
852	-10,077
853	-9,6208
854	-9,1932
855	-8,7625
856	-8,3481
857	-7,9104
858	-7,4578
859	-7,0073
860	-6,5809
861	-6,1575
862	-5,7246
863	-5,2855
864	-4,8576
865	-4,463
866	-4,0852
867	-3,7106
868	-3,3292
869	-2,951
870	-2,5765
871	-2,2458
872	-1,92
873	-1,6214
874	-1,3128
875	-1,0238
876	-0,76076
877	-0,52287
878	-0,2957
879	-7,2303e-002
880	0,12927
881	0,3003
882	0,44604
883	0,56614
884	0,68084
885	0,8247
886	0,85428
887	-16,89
888	-16,645
889	-16,518
890	-16,367
891	-16,198
892	-15,931
893	-15,688
894	-15,443
895	-15,189
896	-14,914
897	-14,549
898	-14,226
899	-13,904
900	-13,572
901	-13,241
902	-12,862
903	-12,415
904	-12,016
905	-11,628
906	-11,244
907	-10,853
908	-10,437
909	-9,9087
910	-9,4658
911	-9,0322
912	-8,6197
913	-8,1965
914	-7,7187
915	-7,2243
916	-6,7846
917	-6,358
918	-5,935
919	-5,4584
920	-4,9939
921	-4,5744
922	-4,1958
923	-3,8192
924	-3,4485
925	-3,0549
926	-2,626
927	-2,2745
928	-1,9451
929	-1,6359
930	-1,3304
931	-0,98307
932	-0,69954
933	-0,45137
934	-0,21871
935	5,1353e-003
936	0,2665
937	0,44256
938	0,59347
939	0,72362
940	0,83231
941	0,91197
942	0,96761
943	-16,713
944	-1,3799
945	-1,2318
946	-0,98188
947	-0,64983
948	-14,57
949	-14,684
950	-14,832
951	-15,027
952	-15,24
953	-1,5047
954	-1,5273
955	-1,6156
956	-1,7118
957	-1,8246
958	-1,9588
959	-2,12
960	-2,2989
961	-2,5128
962	-2,7418
963	-2,9886
964	-3,2527
965	-3,5326
966	-3,8287
967	-4,1394
968	-4,4668
969	-4,8078
970	-5,1582
971	-5,5189
972	-5,8885
973	-6,2608
974	-6,6447
975	-7,0354
976	-7,4272
977	-7,8209
978	-8,2165
979	-8,6123
980	-9,0067
981	-9,3956
982	-9,7767
983	-10,151
984	-10,52
985	-10,882
986	-11,231
987	-11,567
988	-11,891
989	-12,202
990	-12,497
991	-12,776
992	-13,036
993	-13,28
994	-13,505
995	-13,705
996	-13,888
997	-14,051
998	-14,191
999	-14,312
1000	-14,429
1001	-14,47
1002	-14,499
1003	-15,289
1004	-15,227
1005	-15,141
1006	-15,088
1007	-14,827
1008	-14,658
1009	-14,45
1010	-14,264
1011	-14,041
1012	-13,798
1013	-13,533
1014	-13,28
1015	-13,035
1016	-12,762
1017	-12,437
1018	-12,092
1019	-11,761
1020	-11,433
1021	-11,121
1022	-10,772
1023	-10,395
1024	-10,028
1025	-9,6682
1026	-9,3033
1027	-8,9322
1028	-8,5656
1029	-8,1846
1030	-7,8066
1031	-7,4401
1032	-7,0726
1033	-6,6975
1034	-6,3228
1035	-5,9549
1036	-5,5993
1037	-5,2582
1038	-4,9045
1039	-4,5631
1040	-4,2228
1041	-3,8931
1042	-3,5925
1043	-3,3088
1044	-3,0136
1045	-2,7252
1046	-2,4625
1047	-2,2139
1048	-1,9958
1049	-1,7622
1050	-1,5486
1051	-1,3526
1052	-1,179
1053	-1,0152
1054	-0,87743
1055	-0,76373
1056	-0,63577
1057	-0,56124
1058	-0,49366
1059	-0,48212
1060	-0,32646
1061	-1,4696
1062	-15,462
1063	-1,4018
1064	-1,2
1065	-0,91236
1066	-14,544
1067	-14,612
1068	-14,75
1069	-14,946
1070	-15,161
1071	-1,4463
1072	-1,5874
1073	-1,6605
1074	-1,7994
1075	-1,9513
1076	-2,0462
1077	-2,2995
1078	-2,5362
1079	-2,7814
1080	-3,0464
1081	-3,3269
1082	-3,6167
1083	-3,9256
1084	-4,2476
