0	Time [s]	Pressure sensor 43 (NormX) [MPa]	Pressure sensor 43 (NormY) [MPa]	Pressure sensor 43 (NormZ) [MPa]	Pressure sensor 43 (ShearXY) [MPa]	Pressure sensor 43 (ShearYZ) [MPa]	Pressure sensor 43 (ShearXZ) [MPa]	Pressure sensor 43 (Equivalent (von-Mises)) [MPa]	Pressure sensor 43 (Maximum Principal) [MPa]	Pressure sensor 43 (Middle Principal) [MPa]	Pressure sensor 43 (Minimum Principal) [MPa]	Pressure sensor 43 (Intensity) [MPa] 
1	1,6667e-002	-1,1441e-006	-1,1475e-006	-1,1742e-006	-3,2442e-009	-1,1693e-005	-2,1511e-006	2,0593e-005	1,0728e-005	-1,1431e-006	-1,3051e-005	2,3779e-005 
2	3,3333e-002	-2,1699e-006	-2,1756e-006	-2,2247e-006	-7,1793e-009	-2,4076e-005	-4,4732e-006	4,2415e-005	2,2287e-005	-2,1675e-006	-2,6689e-005	4,8976e-005 
3	5,8333e-002	-3,6713e-006	-3,6778e-006	-3,7653e-006	-1,2537e-008	-4,2388e-005	-7,901e-006	7,4684e-005	3,9395e-005	-3,667e-006	-4,6842e-005	8,6237e-005 
4	9,5833e-002	-5,7969e-006	-5,799e-006	-5,9499e-006	-2,0272e-008	-7,0085e-005	-1,312e-005	1,235e-004	6,5424e-005	-5,7897e-006	-7,718e-005	1,426e-004 
5	0,15208	-8,8441e-006	-8,8261e-006	-9,095e-006	-2,9961e-008	-1,12e-004	-2,0999e-005	1,9736e-004	1,0498e-004	-8,8327e-006	-1,2291e-004	2,279e-004 
6	0,23646	-1,3184e-005	-1,3105e-005	-1,3606e-005	-4,0444e-008	-1,7571e-004	-3,3041e-005	3,0967e-004	1,6542e-004	-1,3166e-005	-1,9215e-004	3,5758e-004 
7	0,36302	-1,8664e-005	-1,8421e-005	-1,938e-005	-4,5838e-008	-2,7114e-004	-5,0983e-005	4,7785e-004	2,5698e-004	-1,8639e-005	-2,948e-004	5,5178e-004 
8	0,48958	-2,3699e-005	-2,3203e-005	-2,4788e-005	-3,5958e-008	-3,6684e-004	-6,8997e-005	6,4653e-004	3,4926e-004	-2,3669e-005	-3,9728e-004	7,4655e-004 
9	0,65625	-3,005e-005	-2,9086e-005	-3,1778e-005	-1,7669e-010	-4,9499e-004	-9,3068e-005	8,7238e-004	4,7322e-004	-3,0017e-005	-5,3412e-004	1,0073e-003 
10	0,82292	-3,5834e-005	-3,4241e-005	-3,8357e-005	6,2512e-008	-6,237e-004	-1,1706e-004	1,0992e-003	5,9828e-004	-3,5803e-005	-6,7091e-004	1,2692e-003 
11	0,91146	-3,8711e-005	-3,6721e-005	-4,1714e-005	1,0642e-007	-6,9117e-004	-1,2945e-004	1,218e-003	6,6396e-004	-3,8682e-005	-7,4243e-004	1,4064e-003 
12	1,	-4,1229e-005	-3,8805e-005	-4,4743e-005	1,5779e-007	-7,579e-004	-1,4177e-004	1,3355e-003	7,2926e-004	-4,1204e-005	-8,1284e-004	1,5421e-003 
