Node Number	Normal Stress (MPa)
31333	-1,82e-002
31339	-5,0455e-003
31345	-3,9438e-003
31346	-2,0385e-003
31347	-2,9809e-003
31348	-3,5129e-003
31349	-4,7072e-003
31350	-2,4218e-003
31351	-4,1614e-003
31352	-2,3151e-003
31353	-2,3493e-003
31354	-3,2454e-003
31355	-3,5963e-003
31356	-4,8469e-003
31357	-2,1356e-003
31358	-3,6456e-003
31359	-2,4315e-003
31360	-4,0241e-003
31361	-3,0096e-003
31362	-5,349e-003
31363	-3,4598e-003
31364	-3,2343e-003
31365	-5,2025e-003
31366	-3,093e-003
31367	-4,3281e-003
31368	-6,252e-003
31369	-4,5022e-003
31370	-4,239e-003
31371	-6,2464e-003
31372	-4,5089e-003
31373	-8,0171e-003
31374	-4,97e-003
31375	-6,8771e-003
31376	-5,8763e-003
31377	-5,8158e-003
31378	-1,005e-002
31379	-5,9164e-003
31380	-8,7483e-003
31381	-8,9127e-003
31382	-1,445e-002
31383	-9,8331e-003
31384	-8,5482e-003
31385	-1,2973e-002
31386	-8,2166e-003
31387	-1,2871e-002
31388	-8,0562e-003
31389	-8,6388e-003
31390	-1,4663e-002
31391	-9,1553e-003
31392	-1,3552e-002
31393	-7,6786e-003
31394	-1,2999e-002
31395	-1,0457e-002
31396	-1,4471e-002
31397	-1,0255e-002
31398	-9,1939e-003
31399	-1,2968e-002
31400	-1,0399e-002
31401	-1,4298e-002
31402	-9,7118e-003
31403	-1,3974e-002
31404	-1,0255e-002
31405	-8,8584e-003
31406	-1,4761e-002
31407	-9,9335e-003
31408	-1,743e-002
31409	-1,0058e-002
31410	-9,625e-003
31411	-1,3452e-002
31412	-5,7647e-003
31418	-3,0649e-003
31419	-3,5502e-003
31420	-3,5097e-003
31421	-3,4804e-003
31422	-3,8392e-003
31423	-3,8318e-003
31424	-2,2826e-003
31425	-2,7445e-003
31426	-3,8955e-003
31427	-3,368e-003
31428	-3,6501e-003
31429	-5,317e-003
31430	-3,5159e-003
31431	-3,239e-003
31432	-5,0623e-003
31433	-3,6295e-003
31434	-6,6445e-003
31435	-5,1593e-003
31436	-6,709e-003
31437	-4,417e-003
31438	-6,8764e-003
31439	-4,8269e-003
31440	-5,0985e-003
31441	-9,8242e-003
31442	-6,9606e-003
31443	-7,9246e-003
31444	-1,2649e-002
31445	-8,2477e-003
31446	-9,994e-003
31447	-9,5592e-003
31448	-9,8293e-003
31449	-9,6412e-003
31450	-1,2079e-002
31451	-8,278e-003
31452	-1,5684e-002
31453	-1,4629e-002
31454	-1,1115e-002
31455	-1,9264e-002
31456	-1,407e-002
31457	-1,444e-002
31458	-1,7887e-002
31459	-1,2817e-002
31460	-1,2221e-002
31461	-2,1421e-002
31462	-1,5777e-002
31463	-1,5243e-002
31464	-2,1465e-002
31465	-1,0243e-002
31466	-1,9805e-002
31467	-1,1727e-002
31468	-2,3281e-002
31469	-1,3002e-002
31470	-1,5879e-002
31471	-1,3657e-002
31472	-1,1873e-002
31473	-2,0429e-002
31474	-1,3225e-002
31475	-1,2621e-002
31476	-1,5149e-002
31477	-9,9017e-003
31478	-9,0702e-003
31479	-1,8348e-002
31480	-1,1686e-002
31481	-1,6593e-002
31482	-1,1374e-002
31483	-1,0202e-002
31484	-1,4358e-002
31485	-9,5023e-003
31486	-1,1638e-002
31487	-7,2582e-003
31488	-1,0706e-002
31489	-7,8759e-003
31490	-8,8999e-003
31491	-7,844e-003
31492	-6,7154e-003
31493	-9,3828e-003
31494	-6,6837e-003
31495	-9,3414e-003
31496	-5,2022e-003
31497	-8,1204e-003
31498	-4,8694e-003
31499	-5,3557e-003
31500	-8,6322e-003
31501	-4,2616e-003
31502	-6,8172e-003
31503	-4,1133e-003
31504	-3,9451e-003
31505	-5,892e-003
31506	-4,7316e-003
31507	-7,2009e-003
31508	-4,626e-003
31509	-4,6006e-003
31510	-5,4681e-003
31511	-2,8067e-003
31512	-2,8814e-003
31513	-4,7834e-003
31514	-2,894e-003
31515	-4,4874e-003
31516	-2,6809e-003
31517	-3,745e-003
31518	-2,4184e-003
31519	-3,3644e-003
31520	-2,4423e-003
31521	-2,7008e-003
31522	-4,381e-003
31523	-2,8371e-003
31524	-2,9092e-003
31525	-4,2205e-003
31526	-2,8328e-003
31527	-2,919e-003
31528	-2,1203e-003
31529	-3,4525e-003
31530	-5,5994e-003
31536	-3,5982e-003
31537	-4,3586e-003
31538	-2,9292e-003
31539	-5,3578e-003
31540	-3,3915e-003
31541	-6,4286e-003
31542	-2,9603e-003
31543	-2,6981e-003
