0	Time [s]	Pressure sensor 8 (NormX) [MPa]	Pressure sensor 8 (NormY) [MPa]	Pressure sensor 8 (NormZ) [MPa]	Pressure sensor 8 (ShearXY) [MPa]	Pressure sensor 8 (ShearYZ) [MPa]	Pressure sensor 8 (ShearXZ) [MPa]	Pressure sensor 8 (Equivalent (von-Mises)) [MPa]	Pressure sensor 8 (Maximum Principal) [MPa]	Pressure sensor 8 (Middle Principal) [MPa]	Pressure sensor 8 (Minimum Principal) [MPa]	Pressure sensor 8 (Intensity) [MPa] 
1	1,6667e-002	-2,9067e-005	-2,9223e-005	-3,0122e-005	-7,7133e-008	6,4121e-005	1,5357e-005	1,1421e-004	3,625e-005	-2,9041e-005	-9,5621e-005	1,3187e-004 
2	3,3333e-002	-6,0484e-005	-6,0774e-005	-6,2743e-005	-1,4383e-007	1,3102e-004	3,0645e-005	2,3307e-004	7,2777e-005	-6,0435e-005	-1,9634e-004	2,6912e-004 
3	5,8333e-002	-1,1666e-004	-1,1709e-004	-1,2123e-004	-2,2536e-007	2,3631e-004	5,3816e-005	4,198e-004	1,2317e-004	-1,1658e-004	-3,6156e-004	4,8473e-004 
4	9,5833e-002	-2,032e-004	-2,0368e-004	-2,1155e-004	-2,9971e-007	3,9535e-004	8,7511e-005	7,0139e-004	1,9727e-004	-2,0309e-004	-6,126e-004	8,0987e-004 
5	0,15208	-3,4298e-004	-3,4312e-004	-3,5799e-004	-3,1343e-007	6,3911e-004	1,3645e-004	1,132e-003	3,0294e-004	-3,4285e-004	-1,0042e-003	1,3071e-003 
6	0,23646	-5,7274e-004	-5,7134e-004	-5,9987e-004	-1,2652e-007	1,0164e-003	2,0952e-004	1,7976e-003	4,5217e-004	-5,7263e-004	-1,6235e-003	2,0757e-003 
7	0,36302	-9,4404e-004	-9,3795e-004	-9,9338e-004	6,2699e-007	1,5923e-003	3,1331e-004	2,8113e-003	6,5737e-004	-9,4405e-004	-2,5887e-003	3,2461e-003 
8	0,52969	-1,4621e-003	-1,4452e-003	-1,5472e-003	2,3989e-006	2,3624e-003	4,4223e-004	4,1639e-003	9,0791e-004	-1,4624e-003	-3,9e-003	4,8079e-003 
9	0,69635	-2,0133e-003	-1,98e-003	-2,1418e-003	5,0327e-006	3,1464e-003	5,674e-004	5,5396e-003	1,1376e-003	-2,014e-003	-5,2587e-003	6,3963e-003 
10	0,86302	-2,5948e-003	-2,5396e-003	-2,7745e-003	8,4348e-006	3,9398e-003	6,836e-004	6,9292e-003	1,344e-003	-2,5961e-003	-6,6568e-003	8,0009e-003 
11	1,	-3,0772e-003	-2,9997e-003	-3,3033e-003	1,1761e-005	4,5885e-003	7,7457e-004	8,0646e-003	1,5053e-003	-3,0789e-003	-7,8066e-003	9,3119e-003 
