Node Number	LOC_DEFY (mm)
1	0,97121
2	7,5393
3	1,1042
4	1,4925
5	2,1047
6	2,891
7	3,7879
8	4,7226
9	5,6195
10	6,4058
11	7,0179
12	7,4062
13	12,987
14	8,4472
15	9,3551
16	10,263
17	11,171
18	12,079
19	-4,4763
20	-4,4214
21	-4,2573
22	-3,9863
23	-3,6116
24	-3,1379
25	-2,5713
26	-1,9189
27	-1,1888
28	-0,3902
29	0,46678
30	1,3714
31	2,3123
32	3,2776
33	4,2552
34	5,2329
35	6,1982
36	7,1391
37	8,0437
38	8,9007
39	9,6992
40	10,429
41	11,082
42	11,648
43	12,122
44	12,497
45	12,768
46	12,932
47	-11,044
48	-10,911
49	-10,523
50	-9,9109
51	-9,1245
52	-8,2277
53	-7,2929
54	-6,3961
55	-5,6097
56	-4,9976
57	-4,6093
58	-16,492
59	-15,584
60	-14,676
61	-13,768
62	-12,86
63	-11,952
64	-16,437
65	-16,273
66	-16,002
67	-15,627
68	-15,153
69	-14,587
70	-13,934
71	-13,204
72	-12,406
73	-11,549
74	-10,644
75	-9,7032
76	-8,7379
77	-7,7603
78	-6,7827
79	-5,8174
80	-4,8765
81	-3,9718
82	-3,1149
83	-2,3163
84	-1,5862
85	-0,93373
86	-0,36712
87	0,10652
88	0,48122
89	0,75229
90	0,9163
91	7,5393
92	7,5393
93	7,5393
94	7,5393
95	7,5393
96	12,987
97	7,9284
98	8,3175
99	8,7066
100	9,0957
101	9,4848
102	9,8739
103	10,263
104	10,652
105	11,041
106	11,43
107	11,819
108	12,209
109	12,598
110	12,987
111	12,987
112	12,987
113	12,987
114	-11,044
115	-11,044
116	-11,044
117	-11,044
118	-11,044
119	-16,492
120	-11,433
121	-11,823
122	-12,212
123	-12,601
124	-12,99
125	-13,379
126	-13,768
127	-14,157
128	-14,546
129	-14,935
130	-15,324
131	-15,714
132	-16,103
133	-16,492
134	-16,492
135	-16,492
136	-16,492
137	0,97121
138	-16,483
139	-16,456
140	-16,41
141	-16,347
142	-16,267
143	-16,168
144	-16,052
145	-15,919
146	-15,769
147	-15,602
148	-15,419
149	-15,221
150	-15,006
151	-14,777
152	-14,533
153	-14,276
154	-14,004
155	-13,72
156	-13,423
157	-13,115
158	-12,796
159	-12,466
160	-12,126
161	-11,777
162	-11,42
163	-11,056
164	-10,684
165	-10,307
166	-9,924
167	-9,5368
168	-9,1458
169	-8,752
170	-8,3562
171	-7,9591
172	-7,5615
173	-7,1644
174	-6,7686
175	-6,3748
176	-5,9838
177	-5,5966
178	-5,2138
179	-4,8363
180	-4,4649
181	-4,1003
182	-3,7432
183	-3,3945
184	-3,0549
185	-2,725
186	-2,4056
187	-2,0972
188	-1,8006
189	-1,5163
190	-1,245
191	-0,98717
192	-0,74339
193	-0,51415
194	-0,29993
195	-0,10117
196	8,1708e-002
197	0,24834
198	0,39837
199	0,53148
200	0,64742
201	0,74593
202	0,8268
203	0,88988
204	0,93503
205	0,96216
206	0,97121
207	0,97121
208	0,97121
209	0,97121
210	-4,4763
211	-4,4763
212	-4,4763
213	-4,4763
214	-4,4763
215	-4,5002
216	-4,5717
217	-4,6897
218	-4,8524
219	-5,0576
220	-5,3022
221	-5,5826
222	-5,8948
223	-6,2341
224	-6,5958
225	-6,9744
226	-7,3644
227	-7,7603
228	-8,1561
229	-8,5462
230	-8,9248
231	-9,2865
232	-9,6258
233	-9,938
234	-10,218
235	-10,463
236	-10,668
237	-10,831
238	-10,949
239	-11,02
240	12,978
241	12,951
242	12,905
243	12,842
244	12,761
245	12,663
246	12,547
247	12,414
248	12,264
249	12,097
250	11,914
251	11,716
252	11,501
253	11,272
254	11,028
255	10,771
256	10,499
257	10,215
258	9,9183
259	9,61
260	9,2905
261	8,9606
262	8,621
263	8,2723
264	7,9153
265	7,5507
266	7,1792
267	6,8017
268	6,419
269	6,0317
270	5,6408
271	5,247
272	4,8511
273	4,454
274	4,0565
275	3,6594
276	3,2635
277	2,8697
278	2,4788
279	2,0915
280	1,7087
281	1,3312
282	0,9598
283	0,5952
284	0,23818
285	-0,11051
286	-0,45015
287	-0,78005
288	-1,0995
289	-1,4079
290	-1,7045
291	-1,9887
292	-2,2601
293	-2,5179
294	-2,7617
295	-2,9909
296	-3,2051
297	-3,4039
298	-3,5868
299	-3,7534
300	-3,9034
301	-4,0365
302	-4,1525
303	-4,251
304	-4,3319
305	-4,3949
306	-4,4401
307	-4,4672
308	0,99515
309	1,0666
310	1,1846
311	1,3474
312	1,5525
313	1,7971
314	2,0775
315	2,3897
316	2,7291
317	3,0907
318	3,4693
319	3,8594
320	4,2552
321	4,6511
322	5,0412
323	5,4198
324	5,7814
325	6,1208
326	6,433
327	6,7134
328	6,9579
329	7,1631
330	7,3259
331	7,4438
332	7,5153
333	-13,115
334	-16,466
335	-16,389
336	-16,268
337	-16,107
338	-15,915
339	-15,697
340	-15,457
341	-15,201
342	-14,931
343	-14,649
344	-14,357
345	-14,057
346	-13,749
347	-13,435
348	-12,919
349	-12,72
350	-12,518
351	-12,317
352	-12,117
353	-11,921
354	-11,733
355	-11,554
356	-11,392
357	-11,251
358	-11,141
359	-11,069
360	-1,7525
361	-1,7653
362	-1,8035
363	-1,8669
364	-1,9554
365	-2,0684
366	-2,2057
367	-2,3665
368	-2,5502
369	-2,756
370	-2,983
371	-3,2303
372	-3,4968
373	-3,7814
374	-4,0829
375	-4,3999
376	-4,7313
377	-5,0755
378	-5,4311
379	-5,7965
380	-6,1703
381	-6,5509
382	-6,9365
383	-7,3257
384	-7,7167
385	-8,1079
386	-8,4976
387	-8,8842
388	-9,2661
389	-9,6415
390	-10,009
391	-10,367
392	-10,714
393	-11,048
394	-11,368
395	-11,673
396	-11,962
397	-12,233
398	-12,484
399	-12,716
400	-12,926
401	0,94348
402	0,86088
403	0,72507
404	0,53882
405	0,30593
406	3,1138e-002
407	-0,27997
408	-0,62105
409	-0,98516
410	-1,3649
411	-2,1402
412	-2,5199
413	-2,884
414	-3,2251
415	-3,5362
416	-3,811
417	-4,0439
418	-4,2301
419	-4,3659
420	-4,4485
421	9,6101
422	9,4214
423	9,2108
424	8,9792
425	8,7275
426	8,4569
427	8,1684
428	7,8634
429	7,543
430	7,2087
431	6,8618
432	6,5039
433	6,1364
434	5,761
435	5,3792
436	4,9926
437	4,6029
438	4,2117
439	3,8206
440	3,4315
441	3,0458
442	2,6653
443	2,2915
444	1,926
445	1,5704
446	1,2262
447	0,89489
448	0,57781
449	0,27633
450	-8,2733e-003
451	-0,27478
452	-0,52207
453	-0,7491
454	-0,95489
455	-1,1386
456	-1,2994
457	-1,4366
458	-1,5497
459	-1,6382
460	-1,7016
461	-1,7398
462	7,5641
