Node Number	LOC_DEFX ()
1	2,6091
2	2,6091
3	1,7441
4	1,0505
5	0,66555
6	0,66555
7	1,0505
8	1,7441
9	2,6091
10	2,6091
11	2,6091
12	2,6091
13	2,6091
14	1,6415
15	0,70679
16	-0,16311
17	-0,93861
18	-1,5933
19	-2,1049
20	-2,4559
21	-2,6345
22	-2,6345
23	-2,4559
24	-2,1049
25	-1,5933
26	-0,93861
27	-0,16311
28	0,70679
29	1,6415
30	2,6091
31	3,4741
32	4,1677
33	4,5527
34	4,5527
35	4,1677
36	3,4741
37	2,6091
38	2,6091
39	2,6091
40	2,6091
41	3,5767
42	4,5114
43	5,3813
44	6,1568
45	6,8115
46	7,3231
47	7,6741
48	7,8527
49	7,8527
50	7,6741
51	7,3231
52	6,8115
53	6,1568
54	5,3813
55	4,5114
56	3,5767
57	2,6091
58	2,6091
59	2,6091
60	2,6091
61	2,6091
62	2,6091
63	2,6091
64	2,6091
65	2,6091
66	2,6091
67	2,6091
68	2,6091
69	2,6091
70	2,6091
71	2,6091
72	2,6091
73	2,6091
74	2,6091
75	2,6091
76	2,6091
77	2,6091
78	2,6091
79	2,6091
80	2,6091
81	2,6091
82	2,6091
83	2,6091
84	2,6091
85	2,6091
86	2,6091
87	2,6091
88	2,6091
89	2,6091
90	2,6091
91	2,6091
92	2,6091
93	2,6091
94	2,6091
95	2,6091
96	2,6091
97	2,6091
98	3,0026
99	3,394
100	3,7809
101	4,1613
102	4,533
103	4,894
104	5,2421
105	5,5756
106	5,8924
107	6,1909
108	6,4694
109	6,7263
110	6,9601
111	7,1696
112	7,3537
113	7,5111
114	7,6412
115	7,7431
116	7,8163
117	7,8604
118	7,8752
119	7,8604
120	7,8163
121	7,7431
122	7,6412
123	7,5111
124	7,3537
125	7,1696
126	6,9601
127	6,7263
128	6,4694
129	6,1909
130	5,8924
131	5,5756
132	5,2421
133	4,894
134	4,533
135	4,1613
136	3,7809
137	3,394
138	3,0026
139	2,6091
140	2,6091
141	2,6091
142	2,6091
143	2,6091
144	2,6091
145	2,6091
146	2,6091
147	2,6091
148	2,6091
149	2,6091
150	2,998
151	3,372
152	3,7167
153	4,0188
154	4,2667
155	4,4509
156	4,5643
157	4,6026
158	4,5643
159	4,4509
160	4,2667
161	4,0188
162	3,7167
163	3,372
164	2,998
165	2,2156
166	1,8242
167	1,4373
168	1,0569
169	0,6852
170	0,32425
171	-2,3922e-002
172	-0,35737
173	-0,67423
174	-0,97272
175	-1,2512
176	-1,5081
177	-1,7419
178	-1,9514
179	-2,1354
180	-2,2929
181	-2,423
182	-2,5249
183	-2,5981
184	-2,6422
185	-2,6569
186	-2,6422
187	-2,5981
188	-2,5249
189	-2,423
190	-2,2929
191	-2,1354
192	-1,9514
193	-1,7419
194	-1,5081
195	-1,2512
196	-0,97272
197	-0,67423
198	-0,35737
199	-2,3921e-002
200	0,32425
201	0,6852
