Node Number	Normal Stress (MPa)
13310	-2,6435e-003
13316	-8,8664e-004
13322	-1,2894e-003
13323	-9,4671e-004
13324	-8,375e-004
13325	-9,9763e-004
13326	-1,3885e-003
13327	-6,4521e-004
13328	-1,1917e-003
13329	-8,6705e-004
13330	-6,6566e-004
13331	-1,3381e-003
13332	-8,9887e-004
13333	-6,431e-004
13334	-5,9184e-004
13335	-9,3467e-004
13336	-7,0105e-004
13337	-1,0635e-003
13338	-8,0087e-004
13339	-1,2886e-003
13340	-8,6234e-004
13341	-7,6548e-004
13342	-9,0251e-004
13343	-7,3732e-004
13344	-9,1037e-004
13345	-1,3156e-003
13346	-8,7516e-004
13347	-8,8843e-004
13348	-1,2963e-003
13349	-8,3436e-004
13350	-1,6999e-003
13351	-1,1177e-003
13352	-1,5623e-003
13353	-1,0663e-003
13354	-1,1664e-003
13355	-1,6826e-003
13356	-1,0536e-003
13357	-1,4385e-003
13358	-8,8271e-004
13359	-1,887e-003
13360	-1,77e-003
13361	-1,4261e-003
13362	-2,2344e-003
13363	-1,2435e-003
13364	-2,2348e-003
13365	-1,556e-003
13366	-1,517e-003
13367	-2,0983e-003
13368	-1,4004e-003
13369	-2,2215e-003
13370	-1,5126e-003
13371	-2,0713e-003
13372	-1,8154e-003
13373	-2,1405e-003
13374	-1,919e-003
13375	-1,8867e-003
13376	-2,64e-003
13377	-1,8729e-003
13378	-2,7375e-003
13379	-1,6209e-003
13380	-2,7063e-003
13381	-1,9985e-003
13382	-1,8216e-003
13383	-3,0744e-003
13384	-1,8917e-003
13385	-3,5387e-003
13386	-2,1118e-003
13387	-1,8025e-003
13388	-2,2042e-003
13389	-1,1834e-002
13395	-3,4155e-003
13396	-1,0307e-002
13397	-7,8574e-003
13398	-1,4619e-002
13399	-9,8574e-003
13400	-7,5173e-003
13401	-8,9837e-003
13402	-6,8009e-003
13403	-9,5536e-003
13404	-7,3032e-003
13405	-7,5366e-003
13406	-9,78e-003
13407	-6,1637e-003
13408	-5,4598e-003
13409	-8,7767e-003
13410	-6,1785e-003
13411	-8,9236e-003
13412	-6,9289e-003
13413	-9,2862e-003
13414	-5,4169e-003
13415	-8,2606e-003
13416	-6,4091e-003
13417	-6,4034e-003
13418	-9,7986e-003
13419	-7,1384e-003
13420	-6,9842e-003
13421	-1,1341e-002
13422	-8,1694e-003
13423	-7,2213e-003
13424	-1,0863e-002
13425	-8,1322e-003
13426	-7,8891e-003
13427	-1,0266e-002
13428	-7,0274e-003
13429	-1,0609e-002
13430	-9,6539e-003
13431	-5,9297e-003
13432	-1,0715e-002
13433	-6,6908e-003
13434	-7,3908e-003
13435	-9,5929e-003
13436	-5,5329e-003
13437	-9,0717e-003
13438	-2,0919e-003
13439	-7,567e-003
13440	-5,802e-003
13441	-8,7974e-003
13442	-4,51e-003
13443	-7,9102e-003
13444	-5,3702e-003
13445	-8,7822e-003
13446	-4,5745e-003
13447	-7,1924e-003
13448	-4,1229e-003
13449	-4,1394e-003
13450	-6,8897e-003
13451	-4,324e-003
13452	-4,5047e-003
13453	-7,0413e-003
13454	-3,9563e-003
13455	-4,3858e-003
13456	-5,5248e-003
13457	-2,9378e-003
13458	-5,136e-003
13459	-3,4502e-003
13460	-3,5208e-003
