Node Number	LOC_DEFX ()
1	4,6108
2	4,6108
3	3,6783
4	2,8877
5	2,3595
6	2,174
7	2,3595
8	2,8877
9	3,6783
10	4,6108
11	4,6108
12	4,6108
13	4,6108
14	4,6108
15	3,6665
16	2,7509
17	1,8919
18	1,1154
19	0,44516
20	-9,852e-002
21	-0,49911
22	-0,74444
23	-0,82705
24	-0,74444
25	-0,49911
26	-9,852e-002
27	0,44516
28	1,1154
29	1,8919
30	2,7509
31	3,6665
32	4,6108
33	5,5433
34	6,3338
35	6,862
36	7,0475
37	6,862
38	6,3338
39	5,5433
40	4,6108
41	4,6108
42	4,6108
43	4,6108
44	5,555
45	6,4706
46	7,3297
47	8,1061
48	8,7764
49	9,3201
50	9,7206
51	9,966
52	10,049
53	9,966
54	9,7206
55	9,3201
56	8,7764
57	8,1061
58	7,3297
59	6,4706
60	5,555
61	4,6108
62	4,6108
63	4,6108
64	4,6108
65	4,6108
66	4,6108
67	4,6108
68	4,6108
69	4,6108
70	4,6108
71	4,6108
72	4,6108
73	4,6108
74	4,6108
75	4,6108
76	4,6108
77	4,6108
78	4,6108
79	4,6108
80	4,6108
81	4,6108
82	4,6108
83	4,6108
84	4,6108
85	4,6108
86	4,6108
87	4,6108
88	4,6108
89	4,6108
90	4,6108
91	4,6108
92	4,6108
93	4,6108
94	4,6108
95	4,6108
96	4,6108
97	4,6108
98	4,6108
99	4,6108
100	5,0077
101	5,4025
102	5,7931
103	6,1774
104	6,5533
105	6,9189
106	7,2721
107	7,6112
108	7,9342
109	8,2395
110	8,5255
111	8,7905
112	9,0333
113	9,2524
114	9,4468
115	9,6154
116	9,7573
117	9,8718
118	9,9581
119	10,016
120	10,045
121	10,045
122	10,016
123	9,9581
124	9,8718
125	9,7573
126	9,6154
127	9,4468
128	9,2524
129	9,0333
130	8,7905
131	8,5255
132	8,2395
133	7,9342
134	7,6112
135	7,2721
136	6,9189
137	6,5533
138	6,1774
139	5,7931
140	5,4025
141	5,0077
142	4,6108
143	4,6108
144	4,6108
145	4,6108
146	4,6108
147	4,6108
148	4,6108
149	4,6108
150	4,6108
151	4,6108
152	4,6108
153	4,992
154	5,3638
155	5,717
156	6,043
157	6,3338
158	6,5821
159	6,7819
160	6,9282
161	7,0175
162	7,0475
163	7,0175
164	6,9282
165	6,7819
166	6,5821
167	6,3338
168	6,043
169	5,717
170	5,3638
171	4,992
172	4,2138
173	3,819
174	3,4284
175	3,0441
176	2,6682
177	2,3026
178	1,9494
179	1,6104
180	1,2873
181	0,98201
182	0,69606
183	0,431
184	0,18825
185	-3,0916e-002
186	-0,22531
187	-0,39391
188	-0,5358
189	-0,65023
190	-0,7366
191	-0,79443
192	-0,82342
193	-0,82342
194	-0,79443
195	-0,7366
196	-0,65023
197	-0,5358
198	-0,39391
199	-0,22531
200	-3,0916e-002
201	0,18825
202	0,431
203	0,69606
204	0,98201
205	1,2873
206	1,6104
207	1,9494
208	2,3026
209	2,6682
210	3,0441
211	3,4284
212	3,819
213	4,2138
214	4,2296
215	3,8578
216	3,5045
217	3,1785
218	2,8877
219	2,6394
220	2,4396
221	2,2933
222	2,204
223	2,174
224	2,204
225	2,2933
226	2,4396
227	2,6394
228	2,8877
229	3,1785
230	3,5045
231	3,8578
232	4,2296
233	6,1113
234	4,6593
235	4,7901
236	4,977
237	5,1952
238	5,4271
239	5,6615
240	5,8911
241	5,7973
242	5,4988
243	5,2247
244	4,9847
245	4,7904
246	4,6586
247	4,6108
248	4,9969
249	5,3794
250	5,7544
251	6,1184
252	6,4678
253	6,7994
254	7,1098
255	7,3962
256	7,6557
257	7,8858
258	8,0844
259	8,2494
260	8,3794
261	8,473
262	8,5294
263	8,548
264	8,5287
265	8,4715
266	8,3772
267	8,2465
268	8,0808
269	7,8816
270	7,6508
271	7,3908
272	7,1039
273	6,793
274	6,4611
275	4,6108
276	4,6108
277	4,6108
278	4,6108
279	4,6108
280	4,6108
281	4,6108
